frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.097546e+00;1.053251e+00;-1.336542e+01;-5.763741e+00;-1.334717e+01;-9.194288e+00;1.497112e+00;-1.036862e+00;-1.217357e+01;-8.283385e-01;-8.614868e+00;-1.653735e+00;6.813303e+00;-1.187866e+00
1;0.020000;-4.885180e+00;-1.971103e+00;-8.769800e+00;-1.129018e+00;-1.825649e+01;-7.626740e+00;-4.297768e+00;-8.156959e+00;-1.172092e+01;3.598509e+00;-4.971483e+00;3.363007e+00;1.381581e+01;-1.870270e+00
2;0.040000;-5.612342e+00;-1.513416e+00;-5.426479e+00;1.776410e+00;-1.692006e+01;-7.759612e+00;-6.926319e+00;-9.312881e+00;-4.215118e+00;9.667866e+00;-2.471079e+00;2.532120e+00;1.678730e+01;-2.778435e+00
3;0.060000;-3.713191e+00;-1.517170e+00;-6.861788e+00;1.306133e+00;-7.839827e+00;-9.230017e+00;-4.470383e+00;-8.272107e+00;-4.998517e+00;9.740184e+00;5.461762e-01;5.365361e+00;1.548853e+01;-2.374825e+00
4;0.080000;-3.408026e+00;-1.656020e+00;-7.704031e+00;3.311353e+00;-2.477958e+00;-1.160602e+01;-1.685063e+00;-4.922764e+00;-1.156550e+01;7.587729e+00;5.100149e+00;4.755699e+00;1.176068e+01;-1.373932e+00
5;0.100000;-2.396428e+00;-3.739997e+00;-8.434382e+00;3.215297e+00;-1.100755e+00;-7.938844e+00;2.801876e+00;-2.068420e+00;-1.097958e+01;5.677952e+00;1.303355e+00;-2.620752e+00;5.284298e+00;-6.820374e-01
6;0.120000;-1.856870e+00;-8.122753e+00;-4.836491e+00;-9.064293e-02;4.599218e-01;1.981704e+00;1.525801e+00;-4.249763e-02;-2.848662e+00;-3.087192e-01;-5.598271e-01;-3.192748e+00;-2.898104e+00;-1.411423e+00
7;0.140000;-6.140084e+00;-5.979227e+00;4.574379e+00;-4.790057e+00;2.019987e+00;1.358399e+01;-2.161357e+00;3.320671e+00;7.330809e+00;-9.944413e+00;2.707157e+00;1.803920e+00;-6.444902e+00;3.482819e-01
8;0.160000;-5.984633e+00;-1.904187e+00;8.070524e+00;-4.365623e+00;-8.818054e-01;1.094138e+01;-5.217371e+00;3.084272e+00;8.341140e+00;-1.200398e+01;1.715190e+00;1.674652e-02;-7.165068e+00;5.216866e+00
9;0.180000;-3.240884e+00;3.535671e-01;7.673535e+00;-4.429070e+00;-8.077412e-01;8.487196e+00;-8.589211e+00;1.566391e-01;6.891953e+00;-1.289080e+01;5.146358e-01;-4.795791e-01;-6.393240e+00;6.633133e+00
10;0.200000;5.680528e-01;2.822208e+00;5.460265e+00;-5.189002e+00;7.664957e-01;6.878869e+00;-9.164320e+00;-2.198395e+00;3.665820e+00;-1.400968e+01;-2.816419e+00;-1.890593e+00;-6.790003e+00;3.419449e+00
11;0.220000;5.230487e+00;4.961111e+00;5.005239e-01;-4.873773e+00;4.016709e+00;2.968382e+00;-4.669685e+00;-4.347436e+00;-4.159484e+00;-1.171012e+01;-6.015238e+00;-3.001006e+00;-8.668377e+00;-3.229523e+00
12;0.240000;6.191803e+00;2.456300e+00;-5.727087e+00;-9.697959e+00;2.786495e+00;2.229534e+00;-3.633818e+00;-6.796890e+00;1.273678e+00;-2.312567e+00;6.426123e-01;-7.536640e+00;-7.833836e+00;-6.108780e-01
13;0.260000;4.978834e+00;-1.316864e+00;-9.636050e+00;-1.436267e+01;2.550248e+00;-2.858508e+00;-5.592758e+00;-7.551250e+00;9.230508e+00;1.077998e+00;-1.269230e+00;-1.089337e+01;-6.942323e+00;3.577240e+00
14;0.280000;3.771427e+00;-4.673605e+00;-1.188540e+01;-1.716577e+01;2.820107e+00;-7.366557e+00;-4.873051e+00;-6.216401e+00;1.416325e+01;2.122903e+00;-3.185903e+00;-1.186812e+01;-4.611435e+00;5.509117e+00
15;0.300000;2.838603e+00;-5.142974e+00;-9.989382e+00;-1.435058e+01;5.021189e+00;-7.267461e+00;1.056871e+00;-8.393478e-01;1.924041e+01;2.887141e+00;-3.298505e+00;-9.683549e+00;-8.241484e-01;6.293350e+00
16;0.320000;1.302019e+00;-3.036335e+00;-7.690681e+00;-9.872805e+00;4.142186e+00;-6.839021e+00;3.430858e+00;2.495780e+00;2.128234e+01;3.160267e+00;-3.484407e+00;-5.218443e+00;2.675346e+00;5.975021e+00
17;0.340000;9.766140e-01;-1.102459e+00;-2.416433e+00;-2.509183e+00;-1.636961e+00;-8.545540e+00;4.523754e+00;1.781756e+00;1.648181e+01;6.842840e-01;-1.651160e+00;-2.437091e+00;3.166126e+00;5.629791e+00
18;0.360000;1.213120e+00;-2.793207e+00;2.892413e+00;5.418851e+00;-5.920240e+00;-7.076492e+00;8.345439e+00;3.176851e+00;8.471048e+00;-1.592059e-01;5.398450e+00;-1.577065e+00;2.758596e-01;5.550522e+00
19;0.380000;2.066534e+00;-3.944599e+00;4.100401e+00;9.757393e+00;-6.361752e+00;-2.349699e+00;5.918756e+00;3.369620e+00;1.530380e-01;1.527522e+00;4.826961e+00;-2.484276e+00;-5.648621e+00;4.733925e+00
20;0.400000;3.150049e+00;-2.862968e+00;2.261119e+00;9.611187e+00;-5.912184e+00;-3.463715e-01;-2.335262e-01;1.057308e+00;-5.232632e+00;5.288527e+00;4.546499e-02;-2.218989e+00;-9.067774e+00;2.509644e+00
21;0.420000;3.799253e+00;1.538029e+00;-3.789795e+00;3.541469e+00;9.019642e-01;4.048813e+00;-3.911020e+00;-3.712332e+00;-1.244196e+01;3.839314e+00;-8.427106e+00;-1.380347e+00;-4.880435e+00;-9.886856e-01
22;0.440000;5.460567e+00;8.898443e+00;-4.937627e+00;1.130371e-01;6.550803e+00;8.381032e+00;1.553587e+00;-7.695227e-01;-1.482693e+01;6.665195e+00;-7.300674e+00;4.634105e+00;3.483979e+00;-2.848358e+00
23;0.460000;6.146942e+00;1.149178e+01;-1.970338e+00;1.725688e+00;8.186068e+00;1.177418e+01;5.402600e+00;-1.602476e+00;-1.425443e+01;1.103017e+01;-2.519730e+00;9.477772e+00;7.641914e+00;-2.576065e+00
24;0.480000;4.690804e+00;6.567493e+00;4.290760e+00;8.627812e+00;5.046166e+00;5.917761e+00;6.295259e+00;-4.859009e-01;-1.176388e+01;8.487629e+00;7.586449e-01;1.169386e+01;4.784408e+00;-2.587509e-01
25;0.500000;3.555454e+00;2.708633e+00;9.470064e+00;1.013792e+01;1.930067e+00;2.668816e-01;5.448785e+00;2.543289e+00;-6.931318e+00;2.697226e+00;-5.917292e-01;8.378611e+00;7.379882e-01;7.934723e-01
26;0.520000;1.257804e+00;1.245149e+00;1.486393e+01;7.506616e+00;2.433869e+00;-5.208200e-01;4.592940e+00;5.645955e+00;-3.179534e+00;-7.011572e+00;3.590715e+00;2.225833e+00;-1.496621e+00;1.035309e-02
27;0.540000;-3.147877e+00;1.726648e+00;1.738822e+01;5.171379e+00;2.115008e+00;2.077433e+00;4.827503e+00;3.894584e+00;-2.379740e+00;-1.012806e+01;7.601121e+00;-7.242203e-03;-3.420629e+00;-1.051254e-01
28;0.560000;-5.862491e+00;-4.680152e-01;1.517145e+01;4.013726e+00;7.309275e-01;1.506119e+00;3.981477e+00;4.324319e+00;-6.076074e-01;-8.213845e+00;7.764961e+00;1.861550e+00;-3.401320e+00;-7.026672e-03
29;0.580000;-6.227528e+00;-5.833120e-01;1.367821e+01;5.864828e+00;1.182873e+00;3.434160e-01;2.952272e+00;7.903284e+00;2.180705e+00;-6.612434e+00;5.127449e+00;4.501514e+00;-1.512195e+00;-2.548340e+00
30;0.600000;-3.025306e+00;1.533755e+00;8.590842e+00;9.639255e+00;5.289465e+00;6.483983e-01;-1.723500e+00;1.009878e+01;6.060071e+00;-2.256534e-01;1.855418e+00;5.325201e+00;3.870857e-01;-7.098740e+00
31;0.620000;-2.100139e-01;3.004739e+00;-9.326597e-01;6.321970e+00;1.071798e+01;5.425789e+00;-5.075397e-01;9.336441e+00;5.392290e+00;5.670937e+00;2.835635e+00;2.090994e+00;-9.020839e-01;-1.084228e+01
32;0.640000;-3.899622e-01;1.967105e+00;-4.612785e+00;1.529582e+00;1.179440e+01;9.065104e+00;3.501794e+00;6.142900e+00;4.120541e+00;4.948032e+00;4.843260e+00;1.172574e-01;-4.201524e+00;-1.340747e+01
