frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-9.561139e+00;6.587925e+00;-1.912628e+00;1.965376e+00;4.816319e+00;-4.062503e+00;1.265147e+01;-7.221999e+00;-3.371636e+00;-2.128958e+00;3.491821e-01;3.089638e+00;-4.262582e+00;1.883781e+00
1;0.020000;-1.188786e+01;6.110085e+00;-2.749506e+00;2.118206e+00;3.620156e+00;-5.160882e+00;1.513728e+01;-4.552728e+00;-1.644286e+00;-1.514755e+00;3.021368e+00;5.806198e+00;-5.446839e+00;3.246162e+00
2;0.040000;-8.753897e+00;7.887852e+00;-3.315161e+00;1.444987e+00;7.694578e-01;-1.035421e+01;1.016274e+01;-5.145414e+00;1.023024e+00;-1.194246e+00;2.947568e+00;8.137095e+00;-1.872304e+00;2.915512e+00
3;0.060000;-1.815598e+00;8.203176e+00;-3.910903e+00;-1.601351e+00;-1.543466e+00;-1.212941e+01;1.937354e+00;-8.063209e+00;2.911149e+00;-1.503743e+00;-9.055252e-01;1.818633e+00;2.097874e-01;1.367989e+00
4;0.080000;1.696492e+00;6.940257e+00;-2.616449e+00;-2.676373e+00;-1.686322e+00;-1.076181e+01;-2.889798e+00;-7.389952e+00;2.388914e-01;-1.024837e+00;-1.510703e+00;-5.563433e+00;1.637132e+00;-5.023727e-01
5;0.100000;1.172558e+00;7.284592e+00;-1.385090e+00;-7.256603e-01;1.557314e+00;-1.029374e+01;-2.515846e+00;-6.812760e+00;-1.043353e+00;-3.331740e+00;-1.683496e+00;-8.174078e+00;6.342411e-02;-2.608696e+00
6;0.120000;8.511829e-01;6.343983e+00;-6.384587e-02;1.852467e+00;4.354503e+00;-6.404231e+00;1.870737e-01;-5.606870e+00;-2.486861e-01;-3.694906e+00;2.088385e-01;-5.739576e+00;6.368933e-01;-2.892982e+00
7;0.140000;2.171516e+00;3.487452e+00;-2.196235e+00;-2.478223e-01;-1.123295e-01;-7.356311e+00;-4.510307e-01;-9.864588e-01;3.994862e+00;-1.393519e+00;6.594820e-01;-4.900415e-01;-7.117414e-01;3.412628e-02
8;0.160000;2.097700e+00;-1.489329e-02;-6.408922e+00;-3.847517e+00;-2.558099e+00;-4.629571e+00;-2.195515e+00;1.805745e+00;4.507548e+00;-8.260325e-01;-3.344198e+00;3.212221e+00;-1.118462e+00;2.902672e+00
9;0.180000;9.356370e-01;-3.599558e+00;-7.818212e+00;-6.529125e+00;-4.391212e+00;-3.120880e-01;-3.567993e+00;1.380600e+00;3.287650e+00;3.610434e-01;-8.584463e+00;3.893027e+00;-1.701526e+00;4.520981e+00
10;0.200000;2.634346e-01;-4.889900e+00;-6.481249e+00;-5.665573e+00;-3.089355e+00;4.530745e+00;-1.327251e+00;2.428183e+00;3.273354e+00;6.320031e-01;-1.122658e+01;4.459221e+00;-1.581017e+00;5.089867e+00
11;0.220000;-2.723508e-01;-4.638839e+00;-6.012973e+00;-3.331202e+00;-1.059787e+00;6.517430e+00;2.888313e+00;4.302499e+00;2.988112e+00;-2.133391e+00;-1.278546e+01;4.624087e+00;-1.620849e+00;5.078705e+00
12;0.240000;-1.125340e+00;-4.176745e+00;-5.951909e+00;-1.646222e+00;-1.063424e+00;5.124996e+00;4.843712e+00;4.241186e+00;3.054926e+00;-4.149634e+00;-1.315458e+01;4.289555e+00;-2.661880e+00;4.811523e+00
13;0.260000;-7.492893e-01;-4.048673e+00;-4.955184e+00;-4.949598e-01;-2.683383e+00;1.204546e+00;4.751892e+00;4.116026e+00;3.390291e+00;-3.848300e+00;-1.065924e+01;5.979500e+00;-1.192244e+00;4.280571e+00
14;0.280000;6.790869e-01;-3.167171e+00;-2.471750e+00;2.490501e-01;-5.501272e+00;-2.763539e+00;4.055009e+00;1.777222e+00;1.488263e+00;-2.766552e+00;-7.179586e+00;5.386307e+00;1.273323e+00;3.424988e+00
15;0.300000;7.491832e-01;-2.580691e+00;1.494057e-01;7.838361e-01;-5.866376e+00;-1.238389e+00;2.941954e+00;-8.121223e-01;2.926228e+00;-1.135090e+00;-2.835264e+00;3.547521e+00;1.852425e+00;1.878990e+00
16;0.320000;1.390690e+00;-3.559277e+00;1.020612e+00;1.849724e+00;-4.218723e+00;1.791624e+00;-7.517347e-01;-8.582134e-01;5.728865e+00;-2.347743e-01;-2.299912e+00;-1.805000e-01;1.782146e+00;3.320618e-01
17;0.340000;2.196099e+00;-3.445113e+00;6.517913e-01;1.392499e+00;-1.585941e+00;3.123413e+00;-2.928155e+00;2.483217e+00;3.626325e+00;8.106210e-01;-3.021420e+00;-1.069489e+00;3.056079e+00;-1.066208e+00
18;0.360000;1.797307e+00;-1.615834e+00;-1.629998e-01;1.384182e+00;2.268360e+00;3.328956e+00;-1.483621e+00;4.233780e+00;1.987711e+00;1.078895e+00;-1.205799e+00;-1.732472e+00;2.159513e+00;-2.466423e+00
19;0.380000;1.447777e+00;-7.497857e-01;-4.163007e-01;3.374766e+00;5.670276e+00;5.620722e+00;8.332725e-01;4.468568e+00;2.726166e+00;3.053582e+00;1.728886e+00;-4.275764e+00;8.090611e-01;-3.309990e+00
