frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;4.971371e+00;-6.330918e+00;-4.900311e+00;-1.057953e+01;5.995079e+00;-2.790289e-01;-8.347025e+00;1.931752e+00;-2.436204e+00;2.642258e+00;-5.299478e+00;1.497709e+00;-2.444693e+00;4.320053e+00
1;0.050000;2.792387e+00;-3.655223e+00;-5.557295e+00;-6.672294e+00;5.487888e+00;2.976315e+00;-5.846403e+00;-3.610782e+00;2.767856e+00;-2.653264e+00;5.770802e-01;-2.923903e+00;-3.039300e+00;3.362785e+00
2;0.100000;-4.321651e-01;3.517046e+00;-9.708957e+00;1.811068e+00;4.071730e+00;5.298053e+00;-4.581329e+00;-4.913202e+00;5.912383e+00;-5.163744e+00;4.757230e+00;-4.866715e+00;-2.999722e+00;1.690338e+00
3;0.150000;-3.104643e+00;8.482062e+00;-1.151268e+01;7.157134e+00;6.727499e+00;5.384081e+00;-3.661890e+00;-1.223305e+00;4.350913e+00;-3.668972e+00;5.208312e+00;-4.168459e+00;-2.476501e-01;-9.355927e-01
4;0.200000;-5.223314e+00;8.801409e+00;-8.743375e+00;9.803412e+00;7.572440e+00;7.975732e+00;-2.799071e+00;5.056694e+00;2.753774e+00;-4.950362e+00;5.397226e+00;-3.191750e+00;2.323406e+00;-3.568558e+00
5;0.250000;-4.567150e+00;7.369685e+00;-4.136154e+00;9.643785e+00;2.729181e+00;4.905690e+00;-5.611865e+00;3.696538e+00;6.377039e-01;-2.594532e+00;7.365214e+00;-2.215739e+00;3.935495e+00;-4.299484e+00
6;0.300000;-1.743961e+00;2.886591e+00;3.337452e+00;4.171969e+00;-9.897509e+00;-1.080048e+00;-1.711050e+00;-1.776331e+00;-4.333343e+00;2.057474e+00;1.322324e+00;1.925201e-01;2.561132e+00;-1.103172e+00
7;0.350000;-5.095711e-01;-1.315611e+00;8.886271e+00;-3.307300e+00;-1.058665e+01;-4.634088e+00;3.034462e+00;-3.958905e+00;-5.962046e+00;4.367043e+00;-2.910962e+00;2.788888e+00;1.279120e+00;1.051880e+00
8;0.400000;9.490900e-01;-5.165093e+00;1.149293e+01;-7.070038e+00;-7.378620e+00;-6.440880e+00;8.453264e+00;-2.553936e+00;-2.347554e+00;5.759172e+00;-4.003745e+00;4.200839e+00;1.577574e+00;1.317497e+00
9;0.450000;2.721247e+00;-7.306196e+00;1.127063e+01;-4.935896e+00;-4.426994e+00;-7.705170e+00;1.068120e+01;1.187709e+00;-1.103185e+00;3.420894e+00;-5.699857e+00;5.133448e+00;-6.368370e-01;5.238876e-01
10;0.500000;4.146704e+00;-7.283755e+00;9.571485e+00;-2.230406e-02;-2.940331e-01;-6.400661e+00;1.038971e+01;6.163762e+00;-2.402983e-01;7.840304e-01;-6.713346e+00;3.553166e+00;-2.308529e+00;-2.359642e+00
