frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;3.590327e+00;-7.505614e+00;6.121952e+00;-6.917490e+00;5.722487e+00;-2.916438e+00;-1.461041e+01;2.453033e+00;1.339436e+00;1.737237e+00;-6.169224e-02;-3.413780e+00;-5.184969e-01;-7.567368e-01
1;0.050000;4.352536e+00;-8.260149e+00;6.137826e+00;-8.721413e+00;5.908285e+00;-1.152907e+00;-1.508506e+01;1.602339e+00;2.534490e-01;2.610209e+00;1.235895e+00;-2.541886e+00;-4.145139e-01;-7.591324e-01
2;0.100000;4.140215e+00;-4.271590e+00;4.985705e+00;-1.680898e+00;1.863772e+00;2.396293e+00;-1.095837e+01;1.492643e+00;-2.903562e+00;5.990863e+00;3.298065e+00;4.204578e-01;-1.392679e+00;-2.605652e+00
3;0.150000;3.936922e+00;-3.726797e+00;3.732800e+00;1.160478e+01;-5.937745e+00;7.997368e+00;-2.468666e+00;4.681247e+00;1.153536e-01;3.162382e+00;-1.208948e+00;1.889684e+00;6.411065e-01;2.310448e+00
4;0.200000;2.676366e+00;-5.349395e+00;3.525981e+00;1.192805e+01;-6.241138e+00;1.198976e+01;-3.421760e+00;8.407554e+00;6.475325e-01;3.829220e+00;-2.432853e+00;7.631636e-01;2.164515e+00;7.023643e+00
5;0.250000;-7.697581e-01;-5.382197e+00;1.064986e+00;9.679902e+00;-1.438989e+00;9.280941e+00;3.939667e-01;5.215576e+00;5.030787e+00;3.085130e+00;-1.574707e+00;1.194616e+00;-3.156073e-01;8.646919e+00
6;0.300000;-5.847147e+00;-3.890490e+00;-4.387833e+00;7.668634e+00;2.758361e+00;5.016285e+00;5.710942e+00;7.052422e-04;9.242523e+00;2.314756e-01;-1.152479e+00;-3.740301e-01;-3.209602e+00;7.176796e+00
7;0.350000;-9.758022e+00;5.875422e-01;-9.811293e+00;6.843993e+00;2.488017e+00;-3.498732e-01;5.585532e+00;-4.221305e+00;6.714409e+00;-2.778126e+00;-4.507019e+00;-2.570545e+00;-4.790565e+00;2.996223e+00
8;0.400000;-1.008588e+01;7.194383e+00;-8.645145e+00;8.173484e+00;-6.821966e-02;-6.910608e+00;5.834274e+00;-5.550044e+00;2.682837e+00;-3.716341e+00;-3.702531e+00;7.339668e-02;-1.933742e+00;-1.088638e-01
9;0.450000;-7.104663e+00;8.450155e+00;-4.599828e+00;6.819030e+00;-8.879728e-01;-6.615242e+00;8.785507e+00;-5.204928e+00;2.713135e+00;-2.694702e+00;-4.513254e-01;1.837235e+00;-2.265868e+00;8.680649e-01
10;0.500000;-2.496072e+00;5.710461e+00;-2.628921e+00;1.195722e+00;-5.359697e-02;-3.166144e+00;9.485064e+00;-5.298485e+00;1.102720e+00;-5.290270e-01;2.701591e+00;2.607907e+00;-2.106559e+00;1.117096e+00
11;0.550000;1.944324e+00;1.542512e+00;2.424035e-01;-7.856825e+00;1.232603e+00;-1.799115e+00;6.796776e+00;-1.503957e+00;-4.295131e+00;1.923880e+00;3.911613e+00;1.274626e+00;6.350216e-01;-3.855286e-01
12;0.600000;3.218230e+00;1.207675e+00;2.297492e-01;-1.274673e+01;-2.204571e-01;-3.319413e+00;3.691333e+00;8.814504e-01;-6.308196e+00;-1.022570e+00;3.847120e+00;-3.259420e-01;3.418566e+00;-2.247673e+00
13;0.650000;4.162673e+00;2.576830e+00;5.770037e-01;-1.191285e+01;-1.975367e+00;-4.137571e+00;1.499779e+00;1.175771e+00;-6.506568e+00;-2.558212e+00;1.158623e+00;-2.071651e+00;4.874321e+00;-5.281990e+00
14;0.700000;5.864618e+00;4.223441e+00;9.301317e-01;-7.935248e+00;-1.695944e+00;-4.239757e+00;5.689955e-01;-6.100625e-01;-7.385500e+00;-3.169557e+00;-1.149216e+00;-3.364787e+00;4.308753e+00;-8.826874e+00
15;0.750000;2.175326e+00;6.893228e+00;2.524482e+00;-6.142157e+00;-1.454095e+00;-2.073584e+00;-1.807912e+00;-3.521536e+00;-2.443215e+00;-6.101863e+00;8.787060e-02;4.601554e+00;9.053484e-01;-9.166794e+00
