frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-3.255830e+00;-4.780923e+00;-1.197508e+01;-1.834062e+00;2.163778e+00;-1.943619e+00;3.594649e+00;3.269826e+00;-1.162596e-01;-4.951130e+00;-4.721614e+00;4.480639e+00;5.969310e-01;5.678391e+00
1;0.050000;1.828642e-01;-2.825452e+00;-9.513570e+00;2.702659e+00;1.150298e+00;-2.868935e+00;9.345455e-01;1.958533e+00;2.129052e+00;-3.956766e+00;-1.269771e+00;3.348031e+00;1.863124e+00;2.730293e+00
2;0.100000;4.497194e-01;1.011782e+00;-9.360576e+00;7.076816e+00;-1.455116e-02;-2.453806e+00;-3.904381e+00;-4.384324e+00;6.653480e+00;-6.100042e+00;4.126245e+00;-3.047435e-01;3.569127e+00;-1.096954e-01
3;0.150000;-2.864571e-01;3.929377e-01;-9.021498e+00;6.151174e+00;-3.039017e-01;-2.499523e+00;-2.498077e+00;1.869209e-01;5.420113e+00;-8.004078e+00;8.489639e+00;1.626755e-01;-4.924936e-01;2.014465e-01
4;0.200000;1.223707e+00;-3.484212e+00;-7.847857e+00;4.258296e+00;-1.826738e+00;-4.064404e+00;-2.495674e+00;4.199979e+00;1.895011e+00;-5.117454e+00;7.022753e+00;3.069795e+00;-2.810530e+00;1.255997e+00
5;0.250000;3.611990e+00;-4.815684e+00;-4.318837e+00;3.867352e+00;-2.258873e-01;-3.371130e+00;-3.774280e+00;6.491410e+00;-2.978556e+00;-1.073610e+00;1.876610e+00;5.212955e+00;-6.189302e+00;-6.268311e-01
6;0.300000;1.399187e+00;-3.076962e+00;5.279533e+00;-1.759034e+00;1.496429e+00;1.455214e+00;-2.505224e+00;2.486943e+00;-3.343372e+00;3.243888e+00;3.770361e-01;-1.741042e+00;2.194858e-01;-1.658157e+00
7;0.350000;-2.205647e+00;4.571581e-02;1.014729e+01;-6.344879e+00;-7.165241e-01;4.406133e+00;7.195592e-01;-2.197538e+00;-4.564594e+00;6.614272e+00;-1.890965e+00;-5.673419e+00;-1.824212e-01;4.447098e-01
8;0.400000;-3.338901e+00;1.893257e+00;1.109097e+01;-7.007298e+00;-1.562443e+00;5.831581e+00;3.708323e+00;-1.256693e+00;-3.259167e+00;7.746878e+00;-4.083898e+00;-4.659409e+00;-5.395827e-01;1.223183e+00
9;0.450000;-2.400083e+00;4.265270e+00;1.083997e+01;-6.008614e+00;-2.014830e+00;4.008853e+00;2.914677e+00;-2.831405e+00;-2.115253e+00;6.400088e+00;-5.578050e+00;-2.224931e+00;5.319233e-01;-5.233765e-03
10;0.500000;4.743910e-01;5.702397e+00;9.068084e+00;-2.691769e+00;-4.897156e-01;1.703295e+00;1.875120e+00;-3.985618e+00;-7.286415e-01;3.597483e+00;-3.991992e+00;-2.432735e-01;1.546909e+00;-2.827393e+00
11;0.550000;4.145051e+00;5.671873e+00;5.611560e+00;1.589363e+00;2.344100e+00;-2.036533e-01;1.430762e+00;-3.938039e+00;1.008201e+00;1.600471e+00;-3.560038e-01;-1.427277e+00;1.886834e+00;-6.306686e+00
