frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.246021e+00;1.741873e+00;-9.809070e+00;1.266652e+00;-1.408403e+00;5.626202e-02;-1.343091e+00;1.450471e+00;4.843359e+00;1.650576e+00;-2.273235e+00;-6.232625e+00;-3.125860e+00;6.590805e+00
1;0.050000;7.456074e-01;-2.250913e+00;-8.740933e+00;-9.739327e-01;-4.018326e-01;-9.426463e-02;-1.513306e+00;2.799608e+00;2.280161e+00;3.321793e+00;-1.104085e+00;-7.756483e+00;-2.259450e+00;8.333794e+00
2;0.100000;4.316876e+00;-5.444098e+00;-6.931476e+00;-5.146123e+00;6.609364e-01;-9.858096e-01;-2.775559e+00;9.286809e-01;-1.793874e+00;3.268457e+00;3.570557e-01;-6.391662e+00;-1.820411e+00;5.889923e+00
3;0.150000;8.136562e+00;-4.507431e+00;-4.873388e+00;-1.093048e+01;1.199862e+00;9.217799e-02;-6.361955e+00;-3.241925e+00;-7.185268e+00;-2.744384e-01;4.210183e+00;-3.452800e+00;-2.637687e+00;1.669128e+00
4;0.200000;6.827116e+00;-2.399950e-01;-5.462497e+00;-1.163749e+01;3.679101e+00;4.651591e-01;-9.048478e+00;-4.229746e+00;-5.094803e+00;-1.482010e-03;3.592767e+00;-3.419262e+00;-1.918902e+00;1.486710e+00
5;0.250000;5.651028e+00;1.023493e+00;-7.907811e+00;-1.239993e+01;5.365381e+00;-1.889420e+00;-1.097952e+01;-5.557254e+00;1.321974e-01;-2.073381e+00;-1.873779e+00;-5.936683e+00;-2.129246e+00;1.755562e+00
6;0.300000;7.388635e+00;2.649404e+00;-6.483047e+00;-1.106949e+01;7.821010e+00;-4.243338e-01;-9.758782e+00;-4.202911e+00;1.182472e+00;-2.927791e+00;-1.458138e+00;-5.904770e+00;-9.693916e-01;1.693977e+00
7;0.350000;1.006398e+01;4.675714e+00;-2.338147e+00;-7.751449e+00;9.352587e+00;1.238832e+00;-7.074194e+00;-1.980156e+00;-2.334366e+00;-3.324018e+00;1.109638e+00;-4.943953e+00;2.984457e-01;-1.009842e+00
8;0.400000;1.156175e+01;5.064726e+00;-2.024946e-01;-1.811178e+00;4.643249e+00;2.775353e+00;-2.184496e+00;1.329035e+00;-7.634233e+00;-4.540677e+00;2.950847e+00;1.931849e+00;-1.440542e+00;-3.582329e+00
9;0.450000;9.418619e+00;2.407234e+00;-7.773952e-01;3.911678e+00;4.969234e-01;1.088012e+00;-2.734118e+00;4.833956e+00;-7.764854e+00;-2.984544e+00;4.591789e+00;2.364050e+00;-1.167510e+00;-3.238388e+00
10;0.500000;5.094944e+00;2.675650e+00;2.814075e+00;9.548766e+00;-1.160894e+00;-1.882200e+00;-2.033692e+00;1.690753e+00;-3.591947e+00;-8.286748e-01;1.111794e+00;3.693200e+00;-8.082001e-01;-3.282516e+00
11;0.550000;-5.297479e+00;5.400081e+00;1.193285e+01;1.153608e+01;-5.402641e+00;-9.075804e-01;2.216156e+00;-4.989026e+00;3.307270e+00;4.935026e-02;-5.242509e+00;5.916182e+00;9.634061e-01;-2.162491e+00
12;0.600000;-1.484695e+01;-6.852150e-04;1.298866e+01;1.322388e+01;-4.428120e+00;2.136740e+00;1.007751e+01;-1.051095e+00;3.894686e+00;-3.770685e-01;-4.885765e+00;7.387112e+00;2.495055e+00;-1.386421e+00
13;0.650000;-1.823174e+01;-4.967185e+00;8.084352e+00;8.221958e+00;-7.436836e+00;8.474617e-01;1.477411e+01;5.481606e+00;9.023024e+00;3.925286e+00;-6.213484e-01;9.310230e+00;4.912987e+00;-1.599876e+00
14;0.700000;-1.609864e+01;-4.270525e+00;8.183003e+00;6.304877e+00;-8.478041e+00;-1.766434e+00;1.427296e+01;4.227947e+00;5.758039e+00;2.074322e+00;-9.475946e-02;7.795281e+00;5.391112e+00;-3.328079e+00
15;0.750000;-1.248430e+01;-3.957341e+00;9.523298e+00;7.706180e+00;-4.502274e+00;-7.499566e-01;1.446644e+01;2.510056e+00;4.978121e+00;3.042287e+00;-3.704548e-01;5.640336e+00;4.216192e+00;-7.829994e+00
