frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;4.550159e+00;-9.269001e+00;-2.649015e+00;-1.185542e+01;-1.693808e+01;-3.438260e+00;4.185218e+00;9.696183e-01;-4.280075e+00;3.869352e-01;-5.282965e+00;5.571296e-01;-7.111838e-01;3.101952e+00
1;0.050000;1.882381e-01;-3.156502e+00;-7.755334e+00;-7.286111e+00;-1.380831e+01;-4.272290e+00;4.049294e+00;4.599268e+00;5.282617e-01;-1.947745e+00;-4.099023e+00;2.659476e+00;-8.447258e-01;2.247513e+00
2;0.100000;-3.025703e+00;2.703384e+00;-9.387826e+00;-2.866237e+00;-4.587330e+00;-4.782075e+00;-2.185855e-01;5.038779e+00;2.065656e+00;-1.515707e+00;-2.389176e+00;2.442446e+00;-1.670829e+00;-9.030685e-01
3;0.150000;-4.907478e+00;7.179792e+00;-6.715225e+00;7.700810e-01;3.193262e+00;-4.207641e+00;-2.105839e+00;4.257168e+00;3.517636e+00;3.941456e+00;4.030892e+00;6.113955e+00;3.219541e+00;-5.096863e+00
4;0.200000;-2.629908e+00;9.605653e+00;-3.209570e+00;2.960988e+00;8.952914e+00;-5.090976e+00;-4.309324e+00;2.041521e+00;3.192626e+00;2.875867e+00;3.834316e+00;5.959539e+00;4.283407e+00;-8.732780e+00
5;0.250000;5.831242e+00;4.929898e+00;4.176460e+00;8.427576e+00;8.226082e+00;-3.440322e+00;-4.389403e+00;-3.570993e+00;3.583885e+00;1.106919e+00;-3.491554e+00;7.536989e-01;4.224487e+00;-9.405632e+00
6;0.300000;6.820157e+00;-1.711961e+00;1.292146e+01;3.210383e+00;3.721056e+00;2.796866e+00;-3.787630e+00;-5.583385e+00;6.013498e-01;2.387374e+00;-4.552054e+00;-1.248919e+00;4.465842e+00;-3.986877e+00
7;0.350000;5.744397e+00;-2.985358e+00;1.349356e+01;-3.675814e-01;4.325739e+00;5.758142e+00;-4.655431e+00;-9.057590e+00;-1.883229e+00;3.708301e+00;-3.886281e+00;-2.997183e+00;3.901616e+00;7.241974e-01
8;0.400000;6.047690e+00;-3.341042e+00;1.211436e+01;-3.010215e+00;5.428112e+00;6.924618e+00;-6.481602e+00;-1.043844e+01;-1.788907e+00;4.171079e+00;-3.706588e+00;-5.462099e+00;4.041656e+00;1.707123e+00
9;0.450000;1.645378e+00;2.232502e+00;4.387989e+00;3.846126e-01;5.314257e+00;3.331750e+00;-3.473251e+00;-1.169999e+01;-2.920448e+00;-2.364874e-02;-1.409384e+00;-7.413981e+00;-4.910271e-01;2.427094e+00
10;0.500000;-3.493769e+00;2.913363e+00;2.650506e+00;5.004887e+00;6.121433e+00;-2.886972e-01;4.240212e+00;-3.411163e+00;-7.867174e+00;-6.687644e+00;3.786823e+00;-4.512941e+00;-5.818712e+00;3.336594e+00
11;0.550000;-7.072515e+00;-3.950081e-01;6.745634e-01;5.993372e+00;4.883354e+00;1.304018e+00;9.738792e+00;5.092931e+00;-4.240842e+00;-6.425740e+00;6.095920e+00;-8.309649e-01;-4.459666e+00;2.622299e+00
12;0.600000;-9.636713e+00;-3.883210e+00;-4.593388e+00;4.832684e+00;3.117825e+00;4.487661e+00;9.847132e+00;9.938230e+00;1.380296e+00;-2.126055e-01;9.007524e+00;4.323832e+00;-2.940938e-01;4.647064e-02
13;0.650000;-5.318512e+00;1.988341e+00;-5.200157e+00;4.538627e-01;-1.274178e+00;8.597050e-01;-4.247656e-01;4.528708e+00;1.676610e+00;2.950931e-01;3.762224e+00;2.018942e+00;-9.284527e-01;7.021790e-01
14;0.700000;7.772865e-01;-5.811448e-01;-6.105717e+00;-2.418499e+00;-6.692236e+00;-3.534546e-01;-1.698530e+00;3.918084e+00;2.998752e+00;-1.343711e+00;7.483816e-02;-7.440531e-02;-4.043359e+00;4.916344e+00
15;0.750000;4.480058e+00;-6.229702e+00;-4.802656e+00;-4.234388e+00;-9.983875e+00;4.109631e-01;-5.162759e-01;3.377241e+00;3.435597e+00;-7.162166e-01;-1.775507e+00;-2.288523e+00;-4.874501e+00;6.293297e+00
