frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.328650e+00;-2.697647e+00;-4.436977e+00;8.011082e+00;3.595831e+00;7.444226e+00;2.550526e+00;-3.408337e+00;-1.740534e+00;1.417839e+00;1.079955e+01;1.334430e+01;3.392530e+00;2.717003e+00
1;0.050000;-1.368011e+00;-3.880004e+00;-4.129747e+00;7.578074e+00;4.053179e+00;1.011465e+01;2.867600e+00;-3.955448e+00;-3.437900e+00;2.623236e-01;9.780612e+00;1.062237e+01;2.338731e+00;6.018524e+00
2;0.100000;-8.585415e-01;-4.204596e+00;-4.055258e+00;6.892662e+00;3.362051e+00;1.140305e+01;1.815022e+00;-4.772691e+00;-4.640223e+00;-1.556510e+00;7.785334e+00;5.317493e+00;1.265879e-01;4.953117e+00
3;0.150000;1.866046e+00;-3.851377e+00;-3.718651e+00;2.381353e+00;1.869509e+00;8.807664e+00;-2.269449e+00;-3.594330e+00;-6.292977e-01;4.170032e-01;2.670013e+00;-3.769678e+00;-3.710050e+00;1.418617e+00
4;0.200000;3.935788e+00;-2.432352e+00;-7.970400e-01;-3.946377e+00;3.420964e+00;1.734334e+00;-3.444007e+00;-1.681462e+00;4.815588e+00;2.755988e+00;-4.016654e+00;-8.695722e+00;-5.946829e+00;-1.078812e+00
5;0.250000;2.737310e+00;-1.244190e+00;-9.204245e-01;-4.672106e+00;5.526770e+00;1.244271e+00;-2.644780e+00;1.587779e+00;8.010450e-01;2.053845e+00;-9.401450e+00;-5.703103e+00;-7.702833e+00;-1.558113e+00
6;0.300000;1.178099e+00;-2.193645e+00;-1.815561e+00;-2.868696e+00;6.873215e+00;5.359692e+00;-2.927127e-01;3.236738e+00;-4.036178e+00;1.558759e+00;-9.946008e+00;-7.945671e-01;-6.538145e+00;-2.567368e-01
7;0.350000;1.305210e+00;-2.105197e+00;-3.067600e+00;-3.194733e+00;3.783725e+00;3.444193e+00;-3.703934e+00;2.605474e+00;-4.524969e+00;4.559056e+00;-7.891206e+00;2.497739e+00;-4.548863e+00;-5.863953e-01
8;0.400000;3.985980e+00;6.272650e-01;-1.109400e+00;-4.118410e+00;4.614032e+00;1.536095e+00;-4.732602e+00;6.288647e+00;-4.536646e+00;3.783149e+00;-6.839654e+00;8.782978e-01;-2.678561e-01;-1.348930e+00
9;0.450000;1.663486e+00;-2.231919e+00;1.687830e+00;-7.802965e+00;3.438257e+00;-2.316395e+00;-4.500488e+00;6.444588e+00;-2.480826e+00;-1.696826e+00;-7.189958e+00;-5.388908e+00;8.536892e-01;-1.375320e+00
10;0.500000;-1.875422e+00;-5.554647e+00;3.767144e+00;-5.870722e+00;-1.044692e+00;-4.356168e+00;3.669620e-01;7.963639e+00;1.819723e+00;-2.570792e+00;-7.231633e+00;-1.964003e+00;2.590809e+00;-1.889572e-01
11;0.550000;-1.701103e+00;-5.151709e+00;4.775704e+00;-5.210543e+00;-7.368461e+00;-8.125969e+00;4.887844e+00;9.393053e+00;5.076588e+00;1.125079e+00;-3.792077e+00;2.631460e+00;3.090535e+00;1.066368e+00
12;0.600000;-6.143627e-01;-1.290299e+00;5.036901e+00;-2.157526e+00;-1.112381e+01;-1.003473e+01;6.659413e+00;5.292293e+00;5.189461e+00;-1.042356e-01;9.409857e-01;2.304348e+00;4.193211e+00;3.357391e-01
13;0.650000;-2.818727e+00;8.008234e+00;2.988437e+00;4.766718e+00;-1.086238e+01;-9.707960e+00;7.262527e+00;-3.988962e-01;6.573879e+00;-2.793001e+00;8.361229e+00;-6.106758e-01;4.833392e+00;-1.763252e+00
14;0.700000;-4.913750e+00;1.328190e+01;2.209023e+00;4.183756e+00;-6.368794e+00;-9.698851e+00;-1.193738e+00;-9.849202e+00;1.627398e+00;-5.053413e+00;8.217855e+00;-3.867060e+00;4.674593e+00;-3.708138e+00
15;0.750000;-1.193346e+00;1.492021e+01;3.585625e+00;6.028435e+00;-3.769397e+00;-6.848097e+00;-3.628181e+00;-1.515184e+01;1.228883e-01;-4.158264e+00;7.753038e+00;-6.802299e+00;2.620482e+00;-4.644768e+00
