frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;6.390905e-01;-2.331231e+00;-4.738388e-01;-1.464794e+00;5.760948e+00;2.411701e+00;-1.101498e+00;-1.986505e+00;-2.490950e-01;-6.489473e+00;-4.490976e+00;1.057443e+00;4.094010e+00;2.201912e+00
1;0.050000;1.253496e+00;-6.642575e+00;-3.064715e+00;-1.690430e+00;6.597988e+00;2.952590e+00;-2.128992e+00;1.834713e+00;-1.629335e+00;-4.421197e+00;-1.130158e+00;5.631355e+00;7.152443e-01;2.851410e+00
2;0.100000;6.642656e-01;-6.015941e+00;-1.264964e+00;-4.630136e-01;6.029679e+00;4.025180e+00;-2.217464e-01;1.714639e+00;-2.585217e+00;-1.541717e+00;1.905856e+00;6.766768e+00;1.963501e-01;1.684967e+00
3;0.150000;-3.137007e-01;1.067452e-01;5.107222e-01;3.012623e+00;2.812440e+00;2.561225e+00;1.602760e+00;-3.119490e+00;-1.964148e+00;-2.275738e+00;4.502782e+00;4.809096e+00;-1.087832e-01;-1.640366e+00
4;0.200000;8.535595e-01;2.247674e+00;-3.501734e+00;3.100772e+00;4.070626e+00;-1.069973e+00;-9.842339e-01;-3.876158e+00;1.193048e+00;-1.108588e+00;5.171738e+00;3.383513e+00;2.384347e+00;-2.864960e+00
5;0.250000;1.059500e+00;2.423744e+00;-6.510714e+00;3.240273e+00;5.955532e+00;-2.226993e+00;-4.257919e+00;-1.954659e+00;2.890251e+00;8.961940e-01;8.057617e+00;3.568593e+00;5.014359e+00;-2.878204e+00
6;0.300000;5.762844e-01;4.621860e+00;-6.731390e+00;5.840679e+00;2.963281e+00;-2.345976e+00;-1.719091e+00;-1.877306e+00;1.535472e+00;1.759563e+00;7.574776e+00;2.539575e+00;4.731909e+00;-3.317329e+00
7;0.350000;-1.937631e+00;2.652243e+00;2.812895e+00;1.899033e-01;-8.847000e+00;-7.014923e-01;5.004716e+00;3.843307e-01;4.377289e-01;2.807578e+00;7.370510e-01;-3.133119e+00;-7.569437e-01;-1.278954e+00
8;0.400000;-2.219240e+00;1.082364e+00;7.929524e+00;-4.898324e+00;-1.260721e+01;-3.189832e+00;3.021140e+00;3.633762e+00;4.048386e-01;4.963372e+00;-7.432277e+00;-9.666828e+00;-5.706419e+00;2.161247e+00
9;0.450000;-5.756187e-01;1.855116e+00;1.029420e+01;-6.867675e+00;-1.273628e+01;-2.416428e+00;7.848473e-01;5.246664e+00;-3.355026e-02;5.410007e+00;-1.489640e+01;-1.495640e+01;-1.056407e+01;3.080292e+00
