frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.177158e+00;-3.122620e+00;-1.061964e+01;2.165950e+00;-1.854537e+00;-1.004033e+01;-2.488251e+00;8.978004e+00;9.157816e+00;2.733974e+00;-3.718035e+00;5.873308e-01;-8.222852e+00;1.144915e+01
1;0.050000;9.546847e-01;-6.065544e+00;-7.097620e+00;-1.371085e+00;-5.847044e-01;-7.972633e+00;-4.080322e+00;1.116479e+01;6.321039e+00;5.127666e+00;-4.559760e+00;-1.470289e-01;-7.737004e+00;9.031738e+00
2;0.100000;3.591927e+00;-4.074135e+00;-3.614905e+00;-6.452035e+00;5.811224e-01;-3.253112e+00;-7.596829e+00;9.339220e+00;1.855128e+00;3.885135e+00;1.032557e+00;-1.728894e+00;-3.412942e+00;3.780251e+00
3;0.150000;2.844330e+00;1.388645e+00;-7.633948e-01;-1.025379e+01;2.073236e+00;2.945653e+00;-1.042002e+01;3.727055e-01;-2.868626e+00;3.012474e+00;7.980303e+00;-1.357826e+00;1.613329e+00;1.865738e+00
4;0.200000;1.969281e+00;1.563013e+00;-1.078781e+00;-9.942090e+00;3.324869e+00;1.382456e+00;-8.294626e+00;-1.227938e+00;9.912515e-01;4.358129e+00;3.773256e+00;-3.395363e+00;9.886218e-01;2.203583e+00
5;0.250000;2.377954e+00;1.442523e+00;-5.104371e-01;-9.553697e+00;3.096917e+00;3.675820e+00;-6.982572e+00;8.928623e-01;1.138250e+00;4.031476e+00;1.746536e+00;-7.581656e+00;5.386322e-01;2.922417e+00
6;0.300000;2.812174e+00;3.631973e-02;2.005729e+00;-7.523091e+00;1.943355e+00;6.027448e+00;-5.379456e+00;1.581554e+00;-3.274084e+00;3.553199e+00;-1.448755e-01;-8.006697e+00;1.314345e+00;1.963898e+00
7;0.350000;2.800179e+00;-1.262040e-01;3.852139e+00;-4.999465e+00;-9.160271e-01;7.730747e+00;1.596866e-01;-1.905187e+00;-6.949537e+00;2.381529e-01;-2.815194e+00;-1.693076e+00;4.661932e+00;-1.190186e-02
8;0.400000;4.245222e+00;5.134406e-01;1.289696e+00;-3.013368e+00;-2.415593e+00;8.931528e+00;2.440532e+00;-3.609020e+00;-3.353712e+00;-4.023463e+00;-1.668821e+00;9.031582e-01;3.993635e+00;-5.413895e-01
9;0.450000;4.812348e+00;1.029536e+00;-3.089356e+00;1.301280e+00;9.713030e-01;7.119725e+00;7.676554e-02;-1.107347e+00;3.256280e-01;-4.897973e+00;3.318387e+00;-1.016611e+00;1.007032e+00;-1.762123e+00
10;0.500000;2.694964e+00;2.298169e+00;-3.756131e+00;6.788315e+00;4.454500e+00;-4.416959e-01;2.269673e+00;-1.426472e+00;1.106652e+00;-2.146042e+00;2.189601e+00;1.975583e+00;-3.111549e+00;-4.382195e+00
11;0.550000;-6.886773e+00;3.244802e+00;6.993082e+00;9.793659e+00;1.591684e+00;-1.938821e+00;5.634014e+00;-5.017578e+00;4.242710e+00;-3.849488e-01;-1.258430e+00;1.987944e+00;8.328674e-01;-6.008652e+00
12;0.600000;-1.488417e+01;1.227055e+00;1.147277e+01;1.186251e+01;-1.410330e+00;-6.449730e-01;1.269692e+01;-1.547518e+00;4.374501e+00;-1.916142e+00;-1.885940e+00;1.836556e+00;3.910770e+00;-6.343636e+00
13;0.650000;-1.281369e+01;-7.050128e-01;8.150393e+00;1.046648e+01;-3.406010e+00;-3.048650e+00;1.134968e+01;-2.964069e+00;2.111733e+00;-2.380366e+00;-3.554935e-01;3.424487e+00;4.966155e+00;-5.303368e+00
14;0.700000;-9.553471e-01;8.857131e-01;1.586238e+00;6.178339e+00;-5.138736e+00;-5.175879e+00;7.822544e+00;-7.740746e+00;-5.316683e+00;-6.396734e+00;-6.092720e-01;5.074441e+00;2.374115e+00;-4.068680e+00
15;0.750000;8.614063e+00;4.643130e-01;-4.819782e+00;4.552076e+00;-2.311063e+00;-5.297287e+00;2.792276e+00;-5.783279e+00;-9.862072e+00;-4.794534e+00;-3.024826e+00;9.137655e+00;-3.717085e+00;-4.794731e+00
