frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;7.167089e+00;-3.337132e+00;-5.800627e+00;1.880916e+00;6.993238e+00;-2.380753e-01;5.982509e+00;2.573734e+00;1.649904e+00;9.931970e-01;-9.636226e-01;3.220280e+00;-6.539267e+00;-7.612312e+00
1;0.050000;5.787303e+00;-4.009451e+00;-7.981703e+00;3.971032e+00;2.928164e+00;-1.376619e+00;3.563875e+00;4.417282e+00;-1.728996e+00;8.438206e-02;-3.944234e+00;2.665974e+00;-4.437015e+00;-2.821365e+00
2;0.100000;1.378448e+00;2.926755e-02;-8.723621e+00;7.064592e+00;-2.609635e+00;2.563849e+00;3.605119e+00;3.399881e+00;1.361830e+00;-2.173861e+00;-2.845984e+00;9.912109e-02;-1.935248e+00;1.426598e+00
3;0.150000;-4.242702e+00;3.596686e+00;-4.923090e+00;6.236438e+00;-5.059490e+00;6.780359e+00;4.366743e+00;7.152133e-01;4.850756e+00;-2.826171e+00;-2.350723e+00;-4.580746e-01;1.741010e-01;2.356415e+00
4;0.200000;-9.979526e+00;6.193244e+00;8.813009e-01;6.075707e+00;-6.776458e+00;1.002427e+01;4.245535e+00;-2.499154e+00;5.162100e+00;-2.487012e+00;-1.078738e+00;4.884930e-01;3.379938e+00;1.234436e-02
5;0.250000;-7.708924e+00;6.716663e+00;7.450809e-01;7.034259e+00;-6.774457e+00;7.506634e+00;-4.964382e+00;-1.122491e+01;3.150728e-01;-1.854600e+00;2.744265e+00;1.059573e+00;3.427320e+00;-2.271881e-01
6;0.300000;-1.718425e+00;2.612288e+00;3.205700e-01;5.360855e+00;-4.666670e+00;2.913532e+00;-9.140408e+00;-4.493797e+00;-4.475736e+00;-2.068467e-01;4.899583e+00;-1.377916e+00;3.627875e+00;1.234650e+00
7;0.350000;1.777586e+00;-6.025571e+00;7.876712e+00;-1.975392e+00;-1.522845e+00;-3.618443e+00;-8.337660e+00;4.008084e+00;-7.457018e+00;2.855427e+00;1.777084e+00;7.735863e-01;4.595466e+00;2.057358e+00
8;0.400000;2.683114e+00;-8.685328e+00;1.107736e+01;-6.509125e+00;-1.043133e+00;-8.599422e+00;-6.010640e+00;3.854207e+00;-5.840038e+00;3.068457e-01;-1.010741e+00;1.963983e+00;3.980269e+00;1.784019e+00
9;0.450000;1.055490e+00;-3.598946e+00;7.303218e+00;-2.543021e+00;-2.693864e+00;-5.738048e+00;-4.838910e+00;6.275048e-01;-4.169700e-01;-2.329915e+00;1.281248e+00;3.894787e-01;2.772134e+00;1.120811e+00
10;0.500000;-2.062117e+00;2.496699e+00;1.844748e+00;8.244328e-01;-9.269838e-01;-1.155049e+00;-1.731468e+00;-3.881356e+00;3.014433e+00;-1.640048e+00;2.783235e+00;1.026667e+00;-1.191790e+00;-3.411636e-01
11;0.550000;-2.264905e+00;3.800903e+00;-6.118690e+00;-2.209130e+00;1.868440e+00;3.003125e+00;4.705824e+00;-2.788488e+00;3.096934e+00;3.732901e-01;1.252275e+00;-1.465856e+00;-5.406246e+00;-1.069618e+00
12;0.600000;2.390975e+00;2.812221e-01;-7.125975e+00;-4.387120e+00;2.255347e+00;1.064520e+00;2.873629e+00;2.967701e-01;2.273894e+00;1.497968e+00;1.504965e+00;-3.703626e+00;-5.753521e+00;1.074509e+00
13;0.650000;4.933311e+00;-4.990368e+00;1.407433e-02;-9.112208e+00;4.414086e+00;-2.912986e+00;1.596540e+00;1.870917e+00;4.589784e-01;3.045553e+00;-1.060052e+00;-2.445605e+00;-3.585124e+00;1.611214e+00
14;0.700000;2.406041e+00;-1.445994e+00;3.487020e+00;-7.886748e+00;5.811743e+00;-5.568753e+00;1.937245e+00;1.643986e+00;6.109953e-03;2.831177e+00;-1.543195e+00;-2.018781e+00;1.393865e+00;1.030540e+00
15;0.750000;-1.602749e+00;6.365820e+00;7.123613e+00;-3.825490e+00;7.802505e+00;-4.648885e+00;2.146446e+00;1.480132e+00;-2.271252e+00;1.530611e+00;-1.445372e+00;-2.173004e-01;5.497245e+00;-1.636688e+00
