frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;2.379328e+00;6.181563e+00;6.446923e+00;1.924581e+01;1.363899e+01;1.133482e+01;1.675164e+01;8.875660e+00;5.768359e+00;1.125407e+01;8.245665e+00;9.174390e+00;1.293789e+01;-1.387627e+01
1;0.010000;4.698177e+00;-4.803146e+00;-6.607728e+00;1.277872e+01;8.203105e+00;8.281760e+00;8.837543e+00;7.003937e+00;2.447507e+00;2.715390e+00;1.878467e+00;-3.025196e+00;1.022618e+01;-2.751732e+00
2;0.020000;4.865723e+00;-9.557899e+00;-9.559704e+00;8.218629e+00;5.392447e+00;3.077428e+00;4.790052e+00;1.804254e+00;-1.342445e+00;-2.661713e+00;-5.693283e-01;-8.168619e+00;7.781992e+00;4.021538e+00
3;0.030000;4.430472e+00;-1.160460e+01;-1.000459e+01;6.834524e+00;5.923604e+00;2.039199e+00;5.426251e+00;-1.672982e+00;3.978157e-02;-3.873658e+00;-9.225459e-01;-9.523046e+00;6.509050e+00;6.795341e+00
4;0.040000;3.887305e+00;-1.327056e+01;-1.126403e+01;7.481376e+00;7.004696e+00;1.723139e+00;6.791558e+00;-2.106918e+00;2.560747e+00;-4.309856e+00;2.940149e-01;-1.030084e+01;5.648731e+00;6.874451e+00
5;0.050000;3.540152e+00;-1.325255e+01;-1.345167e+01;7.126827e+00;8.362444e+00;-1.372062e+00;5.786427e+00;-2.806963e+00;7.415652e-01;-6.855928e+00;-8.377233e-01;-1.237789e+01;4.594834e+00;5.366394e+00
6;0.060000;3.256181e+00;-1.313166e+01;-1.299470e+01;6.694013e+00;1.054554e+01;-6.049403e+00;6.058146e+00;3.513308e-01;-2.287224e+00;-7.976827e+00;-1.836753e-01;-1.300847e+01;1.528643e+00;4.717354e+00
7;0.070000;2.765945e+00;-1.301935e+01;-1.237021e+01;6.775235e+00;1.021995e+01;-8.729687e+00;7.023707e+00;5.550472e+00;-3.625418e+00;-5.225365e+00;-1.969862e+00;-1.286049e+01;-1.790941e+00;4.366638e+00
8;0.080000;4.055068e+00;-1.271474e+01;-1.258462e+01;5.685803e+00;7.645864e+00;-1.106491e+01;6.789239e+00;9.106640e+00;-4.296200e+00;-3.374135e+00;-1.815503e+00;-1.230293e+01;-5.622591e+00;3.233513e+00
9;0.090000;7.358727e+00;-1.223380e+01;-1.090926e+01;7.090378e+00;5.394204e+00;-1.507697e+01;5.093566e+00;1.107339e+01;-5.592018e+00;-4.504583e+00;2.425829e+00;-1.103430e+01;-4.101773e+00;1.975418e+00
