frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.993293e+01;6.285110e+00;1.647748e+00;2.658363e+00;-2.967909e+01;8.096976e+00;2.437429e+01;1.349728e-01;-5.073751e+00;1.491834e+01;-1.655178e+01;-7.561487e+00;7.753964e+00;-1.301166e+01
1;0.010000;1.671981e+01;7.090055e+00;4.608729e+00;1.943682e+00;-2.704305e+01;9.361670e+00;2.047929e+01;5.672281e+00;-4.516356e+00;1.745074e+01;-1.487656e+01;-1.948642e+00;5.658354e+00;-8.982674e+00
2;0.020000;1.507207e+01;5.119370e+00;5.866118e+00;4.911719e+00;-2.972668e+01;1.114005e+01;1.697175e+01;1.092600e+01;-8.516546e+00;2.242603e+01;-1.441465e+01;1.723555e+00;5.897463e+00;-6.754570e+00
3;0.030000;1.199397e+01;2.530251e+00;5.468953e+00;5.870596e+00;-2.850377e+01;1.047715e+01;1.159271e+01;6.990796e+00;-1.196019e+01;2.280932e+01;-1.177710e+01;5.211210e+00;2.909930e+00;-4.281273e+00
4;0.040000;8.774144e+00;1.446322e+00;5.233820e+00;4.462234e+00;-2.282338e+01;8.602329e+00;1.102911e+01;2.105751e+00;-1.291660e+01;1.979731e+01;-1.440696e+01;5.032536e+00;-1.590484e+00;-2.312401e+00
5;0.050000;7.070441e+00;6.429222e-01;8.047960e+00;2.850921e+00;-2.084601e+01;1.363111e+01;9.142076e+00;8.152300e+00;-1.601067e+01;1.991374e+01;-1.886590e+01;9.775639e-03;-3.513746e+00;-2.590584e+00
6;0.060000;4.757565e+00;1.100486e+00;7.921019e+00;2.076217e+00;-1.606627e+01;1.476212e+01;1.096493e+01;1.002476e+01;-1.172578e+01;1.868686e+01;-1.832256e+01;-2.345635e+00;-4.888852e+00;-2.270416e+00
7;0.070000;3.197387e+00;-3.740621e-02;4.634572e+00;1.462317e-01;-1.428755e+01;1.161624e+01;1.079906e+01;7.826595e+00;-1.277848e+01;1.317310e+01;-2.096730e+01;-6.325773e+00;-7.122499e+00;-2.387108e+00
8;0.080000;3.396309e+00;1.090171e-01;4.417164e+00;5.284290e-01;-1.240863e+01;1.354804e+01;9.473134e+00;1.087326e+01;-1.553362e+01;1.209200e+01;-1.985834e+01;-7.781816e+00;-5.779257e+00;-2.662903e+00
9;0.090000;2.101191e+00;-7.654538e-01;2.126123e+00;1.885548e-01;-1.039572e+01;1.325955e+01;9.865809e+00;7.451014e+00;-1.440840e+01;8.240061e+00;-1.817432e+01;-6.982372e+00;-6.216876e+00;-1.639709e+00
10;0.100000;3.169851e+00;-1.281387e+00;-2.068033e-01;-2.874088e-01;-6.577709e+00;1.754344e+01;1.156447e+01;6.958210e+00;-1.543719e+01;1.085743e+01;-1.159680e+01;-4.570632e+00;-4.041429e+00;-4.131165e-01
11;0.110000;4.971244e+00;-2.817406e+00;-5.354779e+00;-6.660249e+00;-6.049437e+00;1.759237e+01;4.096080e+00;5.564445e+00;-1.972090e+01;1.232758e+01;-3.991763e+00;-4.782917e+00;-4.354040e+00;1.179939e+00
12;0.120000;5.814098e+00;-3.547222e+00;-6.920974e+00;-1.237353e+01;-7.209743e+00;1.371185e+01;1.789329e+00;8.345911e+00;-2.033604e+01;1.175810e+01;-1.302013e+00;-4.142597e+00;-5.179334e+00;2.682838e+00
13;0.130000;6.635795e+00;-2.310259e+00;-6.817077e+00;-1.358041e+01;-7.088142e+00;1.201064e+01;2.939259e+00;1.707700e+01;-1.788567e+01;1.090318e+01;2.761067e-01;-2.128074e+00;-1.256092e+00;2.862686e+00
14;0.140000;5.189127e+00;-2.957862e+00;-9.457253e+00;-1.592535e+01;-8.355959e+00;9.067978e+00;1.419596e+00;1.813966e+01;-1.759079e+01;4.821071e+00;-1.321759e+00;-2.693177e+00;-2.020388e+00;2.503639e+00
15;0.150000;5.359756e+00;-2.402513e+00;-9.459497e+00;-1.397610e+01;-3.627737e+00;1.165479e+01;2.479618e+00;1.875055e+01;-1.420895e+01;6.842882e+00;2.651642e+00;1.191739e+00;-1.611837e+00;3.048271e+00
16;0.160000;4.306714e+00;-4.408988e+00;-1.159085e+01;-1.490921e+01;-6.355965e+00;8.777246e+00;-5.332559e-03;1.369306e+01;-1.923182e+01;6.420981e+00;1.380548e+00;1.900573e-01;-4.468096e+00;2.931488e+00
17;0.170000;4.158522e+00;-4.131311e+00;-9.489677e+00;-1.221700e+01;-7.130383e+00;1.021250e+01;-2.381457e-01;1.303050e+01;-2.147262e+01;9.296716e+00;2.747087e+00;7.457962e-01;-2.786273e+00;2.855698e+00
18;0.180000;3.733692e+00;-2.893897e+00;-6.440497e+00;-5.985465e+00;-5.472687e+00;1.240927e+01;2.192505e+00;1.110416e+01;-1.862525e+01;1.018436e+01;3.724978e+00;7.274141e-01;1.205822e+00;2.110207e+00
19;0.190000;1.015233e+00;-2.709885e+00;-5.708948e+00;2.069521e-01;-5.737289e+00;8.450537e+00;3.766281e+00;3.208784e+00;-1.914449e+01;4.526336e+00;-2.229214e+00;-3.876432e+00;-7.245975e-01;-2.689667e-01
20;0.200000;-7.520959e-01;-9.101653e-01;-5.202264e+00;6.541038e+00;-4.948330e+00;7.817891e+00;4.387324e+00;-6.024098e-01;-1.921686e+01;3.078567e+00;-6.061797e+00;-6.005270e+00;-1.323032e+00;-3.084885e+00
21;0.210000;-6.509745e-01;-5.957115e-01;-6.323782e+00;7.733972e+00;-5.464279e+00;7.015272e+00;7.987191e+00;1.721824e-01;-1.576838e+01;1.984669e+00;-7.218786e+00;-6.897316e+00;7.838609e-01;-3.625191e+00
22;0.220000;-9.267261e-01;-1.162470e+00;-6.779100e+00;7.175859e+00;-6.628653e+00;4.088243e+00;6.686444e+00;-1.673063e-01;-1.300819e+01;1.283957e+00;-6.938568e+00;-7.776073e+00;1.641803e+00;-2.900536e+00
23;0.230000;-8.370302e-01;-9.550612e-01;-5.510404e+00;5.483648e+00;-5.665792e+00;3.443865e+00;3.891891e+00;-1.906652e+00;-7.293182e+00;5.365036e-01;-1.414967e+00;-6.792324e+00;2.835212e-01;-9.910202e-01
24;0.240000;-1.111972e+00;-4.127391e+00;-6.089977e+00;3.273055e+00;-3.054632e+00;-1.618086e+00;-7.566894e+00;-1.272075e+00;-1.208567e+00;-4.098036e+00;1.538684e+00;-7.221703e+00;-1.197505e+00;2.409554e+00
25;0.250000;-3.387935e+00;-7.924410e+00;-3.493532e+00;9.903417e-01;-3.774147e-01;-5.375366e+00;-1.364924e+01;6.697729e+00;-8.957615e-01;-6.122419e+00;1.549425e+00;-2.017089e+00;-2.855853e+00;7.777779e+00
26;0.260000;-5.027285e+00;-9.273582e+00;-1.512055e+00;-1.141382e+00;-2.633642e+00;-6.066462e+00;-1.326557e+01;9.949952e+00;-3.336498e+00;-3.960701e+00;2.148744e+00;7.695293e-02;-2.383410e+00;1.134515e+01
27;0.270000;-6.891855e+00;-9.894503e+00;1.591206e-02;-4.238322e+00;-5.875305e+00;-5.128084e+00;-1.291305e+01;8.902136e+00;-6.406446e+00;-3.724612e+00;1.727085e+00;-1.281713e+00;-1.314639e+00;1.241871e+01
28;0.280000;-7.350903e+00;-8.624289e+00;3.208189e+00;-5.880163e+00;-7.172737e+00;-3.326473e-01;-1.344394e+01;8.574842e+00;-8.266483e+00;1.621904e-01;2.867478e+00;-1.157437e+00;3.547941e+00;1.230710e+01
29;0.290000;-7.487028e+00;-7.915652e+00;6.084045e+00;-8.520804e+00;-9.830173e+00;3.366098e+00;-1.646415e+01;6.622827e+00;-1.205185e+01;3.407119e+00;5.716175e-01;-3.490966e+00;6.567501e+00;1.133012e+01
30;0.300000;-8.364889e+00;-6.735893e+00;6.558280e+00;-9.456057e+00;-1.298721e+01;3.209429e+00;-1.781749e+01;3.002713e+00;-1.465078e+01;5.497209e+00;-1.216743e+00;-7.183249e+00;5.579551e+00;9.855812e+00
31;0.310000;-7.900574e+00;-3.641625e+00;6.919266e+00;-5.590769e+00;-1.374919e+01;2.705968e+00;-1.424063e+01;2.907244e+00;-1.106435e+01;8.219864e+00;1.393657e+00;-7.835814e+00;4.945363e+00;7.891273e+00
32;0.320000;-6.800746e+00;-3.184110e+00;3.412328e+00;-2.080148e+00;-1.405605e+01;-2.039099e+00;-9.760363e+00;6.096351e-01;-1.159340e+01;2.366771e+00;-1.163880e+00;-9.029701e+00;2.890536e+00;4.717453e+00
