frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.409189e+01;2.076859e+01;-5.455468e-01;7.748201e-01;1.250031e+01;2.139535e+00;1.543389e+01;-1.504708e+01;1.586189e+01;-8.054023e+00;3.746005e-01;-2.305888e+00;-2.755320e+00;-1.681326e+01
1;0.010000;-2.605288e+01;1.661555e+01;3.286867e+00;2.456844e-01;6.671929e+00;3.151385e+00;1.231539e+01;-1.387537e+01;1.371382e+01;-3.869432e+00;-1.136182e+00;-3.792081e+00;-1.746202e+00;-1.458441e+01
2;0.020000;-2.425410e+01;1.176947e+01;6.820749e+00;-5.652575e+00;-2.141898e+00;-1.037789e+00;7.986079e+00;-1.266408e+01;5.647466e+00;-3.707528e-01;-1.745854e+00;-5.138525e+00;-1.709904e+00;-1.161771e+01
3;0.030000;-1.995611e+01;8.124282e+00;9.764716e+00;-6.430844e+00;-3.547791e+00;-2.189662e+00;7.806657e+00;-1.373262e+01;-9.002590e-02;-4.340811e-01;-2.882284e+00;-3.927121e+00;1.626510e+00;-8.055412e+00
4;0.040000;-1.268935e+01;6.846869e+00;1.059228e+01;-4.106767e+00;-4.268105e+00;-6.188205e+00;5.049154e+00;-1.450880e+01;1.345882e+00;9.750619e-01;-2.858644e+00;-4.309258e-01;4.740671e+00;-3.896652e+00
5;0.050000;-3.832726e+00;4.589398e+00;7.411842e+00;-2.668299e+00;-3.475897e+00;-9.689206e+00;1.324655e-01;-1.433943e+01;1.899655e+00;3.023403e+00;-3.637951e+00;-2.381121e+00;4.584681e+00;-3.699493e-01
6;0.060000;2.324354e+00;7.194476e-01;6.019886e+00;-7.618495e-01;-4.865618e-01;-9.340659e+00;-2.669578e+00;-1.198174e+01;8.548250e-01;3.895327e+00;-1.601094e+00;-2.103655e+00;3.698604e+00;7.029724e-01
7;0.070000;5.341761e+00;-2.042373e+00;6.384278e+00;-5.416558e-01;5.760832e-01;-6.310618e+00;-5.716561e+00;-1.026657e+01;2.076854e+00;-3.032990e-01;1.224181e+00;-1.602380e+00;1.503417e+00;1.522293e-01
8;0.080000;5.891005e+00;-2.448571e+00;6.154529e+00;-5.544355e-01;3.457444e+00;-4.099807e+00;-7.376172e+00;-7.385607e+00;2.191949e+00;-5.723829e+00;3.195917e+00;-1.851395e+00;-6.562918e-01;-7.632294e-01
9;0.090000;6.098191e+00;-4.397277e+00;5.825939e+00;-9.795737e-01;5.513778e+00;-2.865632e+00;-9.908324e+00;-6.608412e+00;2.812702e+00;-5.275789e+00;2.000343e+00;-1.556324e+00;-3.217877e+00;-2.125244e-01
