frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;6.000135e+00;4.637486e+00;8.949980e+00;-4.506999e+00;-5.718388e+00;7.273457e+00;-9.729435e+00;1.784278e-01;-6.709029e+00;-2.437511e+00;2.547558e+00;1.311385e+00;-4.628842e+00;-2.997711e+00
1;0.010000;5.638505e+00;6.751513e+00;1.069804e+01;-1.897358e+00;-7.562851e+00;6.968287e+00;-9.595495e+00;-2.455496e-01;-6.061393e+00;-3.978584e+00;6.051571e+00;-1.741430e+00;-4.690274e+00;-9.387360e-01
2;0.020000;3.991876e+00;5.788957e+00;1.295875e+01;-2.102209e+00;-7.771835e+00;6.552463e+00;-1.005371e+01;-1.284478e+00;-5.528645e+00;-8.218127e+00;4.802537e+00;-6.442119e-01;-4.731050e+00;2.240234e+00
3;0.030000;2.179367e+00;3.045636e+00;1.344824e+01;-2.813080e+00;-9.862894e+00;5.018590e+00;-8.172669e+00;-1.526419e+00;-3.275833e+00;-1.100487e+01;4.724891e+00;-1.283045e+00;-6.498750e+00;4.455757e+00
4;0.040000;1.096640e+00;9.249697e-01;1.225143e+01;-2.138415e+00;-9.735165e+00;3.464771e+00;-5.902502e+00;-2.383883e-01;-1.574866e+00;-1.129906e+01;6.214031e+00;-4.567581e-01;-6.911891e+00;5.216118e+00
5;0.050000;-5.204821e-01;2.286005e+00;9.139558e+00;2.381248e-01;-6.185909e+00;5.640994e-01;-1.588830e+00;-3.165940e+00;-3.615665e-01;-7.056577e+00;4.915732e+00;2.392356e+00;-6.468174e+00;5.402626e+00
6;0.060000;-5.966659e+00;8.957623e+00;8.367395e+00;4.293082e+00;-5.689781e+00;-6.029906e-01;1.909942e+00;-6.393579e+00;6.352286e-01;-4.784260e+00;4.374381e+00;6.420383e+00;-4.623796e+00;4.691200e+00
7;0.070000;-1.172499e+01;1.271263e+01;9.539852e+00;7.760153e+00;-3.026747e+00;4.417045e-01;-8.322669e-01;-5.823750e+00;4.899604e+00;-1.545287e+00;3.699362e+00;3.291659e+00;-2.144890e+00;3.878220e+00
8;0.080000;-1.501464e+01;1.084076e+01;4.477794e+00;4.712465e+00;2.715823e+00;7.701462e+00;1.519897e+00;-2.193589e+00;8.462658e+00;-2.159823e+00;1.948730e-01;-1.073172e+00;-1.676787e+00;3.951935e+00
9;0.090000;-1.841620e+01;7.609033e+00;9.011889e-01;2.053362e+00;4.761992e+00;1.057418e+01;6.671583e+00;3.318465e-02;6.462374e+00;-7.893395e+00;-4.041111e+00;-2.140084e+00;-3.269100e+00;3.290939e+00
10;0.100000;-2.076237e+01;4.232138e+00;-4.403139e+00;5.347278e-01;3.514708e+00;6.921584e+00;7.834333e+00;-7.330325e-01;5.877635e+00;-6.303140e+00;-3.165462e+00;-2.971796e-01;-3.664537e+00;2.265869e+00
