frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-6.436473e+00;5.052864e+00;-9.147745e+00;6.885181e+00;-4.371359e+00;-5.540431e+00;4.835140e+00;5.179675e+00;-3.650837e-01;-5.215717e+00;-2.015207e+00;-8.876951e-01;-2.537173e+00;2.710907e+00
1;0.010000;-5.690436e+00;3.696466e+00;-7.912077e+00;4.964182e+00;-4.388422e+00;-4.548228e+00;4.770775e+00;7.898144e+00;4.288588e-01;-4.051485e+00;-2.560075e+00;-1.738989e+00;-4.956842e+00;2.967255e+00
2;0.020000;-3.758565e+00;2.505184e+00;-5.158187e+00;5.209219e+00;-6.748969e+00;-5.027562e+00;8.442088e+00;8.768053e+00;-6.121898e-01;-4.514191e+00;-1.210852e-01;-2.121091e+00;-3.904727e+00;2.880219e+00
3;0.030000;-1.598491e+00;1.086429e+00;-1.100130e+00;2.874124e+00;-9.397539e+00;-3.540850e+00;1.168397e+01;7.288980e+00;-4.991152e+00;-3.912160e+00;3.321232e+00;-2.698719e+00;-1.265601e+00;2.781631e+00
4;0.040000;3.056617e-01;-1.408676e+00;1.006912e+00;-4.771547e-01;-1.114539e+01;2.969528e-01;9.704798e+00;6.890183e+00;-9.105520e+00;-2.383255e+00;3.555011e+00;-3.266060e+00;8.665496e-01;2.968941e+00
5;0.050000;1.457870e+00;-2.250298e+00;1.594638e+00;-4.417484e+00;-1.206760e+01;2.336442e+00;7.786797e+00;4.966819e+00;-8.075411e+00;-7.545418e-01;-1.195561e+00;-2.945753e+00;1.974159e+00;3.009308e+00
6;0.060000;2.419867e+00;-1.502317e+00;1.583383e+00;-8.374640e+00;-1.158903e+01;4.370761e+00;4.841945e+00;1.321487e+00;-5.724003e+00;-1.185366e+00;-6.068605e+00;-2.012600e+00;4.408806e+00;2.220451e+00
7;0.070000;3.631641e+00;-1.484661e+00;6.708167e-01;-8.491824e+00;-8.249264e+00;6.384571e+00;3.006430e+00;-5.949082e-01;-5.280990e+00;-3.602210e+00;-8.004177e+00;-9.324811e-01;6.248516e+00;1.071640e+00
8;0.080000;4.508680e+00;-1.316856e+00;-2.615929e-03;-5.834811e+00;-7.324273e+00;4.869663e+00;4.777957e+00;-1.737628e+00;-5.960417e+00;-6.384357e+00;-7.837404e+00;-1.284563e+00;5.267487e+00;-3.052979e-01
9;0.090000;5.587477e+00;-9.650812e-01;-9.051322e-01;-2.559130e+00;-7.362617e+00;1.229850e+00;8.335154e+00;-5.429252e+00;-8.566925e+00;-6.257421e+00;-7.738967e+00;-9.108160e-01;6.460711e+00;-1.619026e+00
10;0.100000;6.287217e+00;-5.864425e-01;-2.357255e+00;3.094899e+00;-4.330486e+00;6.007060e-01;1.013891e+01;-8.250640e+00;-1.233068e+01;-6.415452e+00;-5.857854e+00;2.852742e+00;6.528181e+00;-2.744873e+00
11;0.110000;6.819120e+00;-5.811958e-01;-2.479397e+00;4.675572e+00;-2.293989e+00;-5.228388e-02;1.019153e+01;-5.303182e+00;-1.057174e+01;-4.117455e+00;-2.689159e+00;2.507980e+00;4.488137e+00;-3.190498e+00
12;0.120000;6.026039e+00;5.147905e-01;-2.358701e+00;2.300146e+00;6.618133e-01;-1.232669e+00;1.311399e+01;-1.176841e+00;-5.141147e+00;-4.861355e+00;-2.558310e+00;2.023188e+00;2.021977e-01;-3.173401e+00
13;0.130000;3.195572e+00;2.629256e+00;-1.555802e+00;1.649057e+00;8.908782e-01;1.394583e+00;1.462847e+01;1.090265e+00;-2.369750e+00;-4.249180e+00;-4.262491e+00;9.245105e-01;-8.699381e-01;-2.654655e+00
14;0.140000;-2.869666e+00;4.544181e+00;3.840310e+00;-4.357971e+00;2.685459e+00;3.095941e+00;7.422319e+00;4.232082e+00;3.665110e+00;-4.160907e+00;-1.905129e+00;-2.500080e+00;-4.942503e+00;2.886353e-01
15;0.150000;-1.059437e+01;2.707991e+00;7.098516e+00;-3.996056e+00;5.461321e+00;-5.500716e-01;1.580244e+00;2.321678e+00;6.748633e+00;-3.039800e-01;1.194768e+00;-4.235870e+00;-8.490664e+00;6.011154e+00
16;0.160000;-1.378523e+01;5.244627e-01;6.562147e+00;-2.534905e+00;7.797642e+00;4.397225e-02;-1.053243e-01;-4.706891e-01;4.601011e+00;-1.438412e+00;1.589664e+00;-3.962383e+00;-8.387133e+00;8.601562e+00
17;0.170000;-1.376040e+01;1.197038e+00;4.291577e+00;-4.004060e+00;6.318821e+00;-1.356467e-01;1.429482e-01;-2.652009e-01;3.368485e+00;-4.833663e+00;-1.874763e+00;-7.036636e+00;-1.026502e+01;7.785164e+00
