frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-3.876686e-01;-5.932854e+00;1.081596e+01;1.675999e+01;1.709759e+01;-2.157059e-01;9.209076e-01;1.246023e+01;6.157608e-01;4.139701e+00;1.157854e+01;1.069565e+01;2.538449e+00;-3.065352e+01
1;0.010000;-5.763054e-01;-6.048934e+00;1.047195e+01;1.655456e+01;1.745321e+01;3.545370e-01;2.685825e+00;1.277128e+01;1.503963e-01;4.620540e+00;9.270802e+00;7.669265e+00;2.814000e+00;-3.134769e+01
2;0.020000;-2.075577e-02;-6.717101e+00;8.755412e+00;1.612340e+01;1.700456e+01;1.577163e+00;4.139576e+00;1.523012e+01;3.259630e-01;3.990596e+00;7.952369e+00;8.104311e+00;2.703574e+00;-3.133508e+01
3;0.030000;9.336538e-01;-5.980538e+00;5.739387e+00;1.227697e+01;1.509268e+01;1.391336e+00;7.315675e+00;1.973043e+01;5.246799e+00;6.888697e+00;8.139776e+00;8.552732e+00;1.631809e+00;-3.128523e+01
4;0.040000;1.175926e+00;-5.228123e+00;3.849662e+00;9.895584e+00;1.436125e+01;1.493865e+00;9.772431e+00;2.237427e+01;8.426704e+00;9.656725e+00;7.496218e+00;4.911563e+00;8.644657e-01;-3.255636e+01
5;0.050000;6.748753e-01;-2.884244e+00;4.021912e+00;9.666986e+00;1.583066e+01;2.779501e+00;9.271089e+00;1.989216e+01;1.226859e+01;1.331463e+01;6.694826e+00;5.050480e+00;3.381570e+00;-3.558149e+01
6;0.060000;-2.201624e-01;6.912062e-02;5.793952e+00;9.901116e+00;1.829231e+01;6.208802e+00;1.838884e+00;1.157017e+01;1.292548e+01;1.533515e+01;6.359355e+00;5.205891e+00;4.942871e+00;-3.781205e+01
7;0.070000;2.422280e+00;2.214260e+00;8.070468e+00;1.053565e+01;1.615342e+01;1.792539e+00;-8.253460e+00;5.408076e+00;8.337973e+00;9.499430e+00;4.039582e+00;5.545521e+00;6.200125e+00;-3.655325e+01
8;0.080000;5.800402e+00;2.609641e+00;9.462457e+00;1.111671e+01;1.404617e+01;-2.005493e+00;-1.257102e+01;-1.055623e+00;7.508808e+00;1.032809e+01;3.824780e+00;5.839460e+00;3.253578e+00;-3.299110e+01
9;0.090000;6.157537e+00;2.450879e+00;9.575222e+00;1.157238e+01;1.399382e+01;-3.695022e+00;-1.349544e+01;-2.859186e+00;7.199368e+00;1.106959e+01;4.008422e+00;4.826372e+00;2.194765e+00;-3.200661e+01
