frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.684877e+00;-4.965381e+00;-1.443433e+01;-6.640371e+00;8.569073e+00;-5.032240e+00;-4.231477e+00;-8.759396e+00;-3.741443e+00;-8.771951e-01;6.115055e-02;-1.200210e+01;2.784407e+00;2.101715e+00
1;0.010000;5.466132e-01;-4.240307e+00;-1.341966e+01;-6.680313e+00;1.280814e+01;3.396684e+00;-8.500454e+00;-1.041546e+01;-5.491998e+00;2.871741e+00;1.265152e+00;-7.606999e+00;-1.803827e+00;2.212334e+00
2;0.020000;-2.287420e+00;-3.861368e+00;-1.094977e+01;-5.470602e+00;1.673859e+01;5.316099e+00;-1.123005e+01;-9.140519e+00;-6.745022e+00;2.644979e+00;3.425514e+00;-3.431669e+00;-1.986870e+00;2.889259e+00
3;0.030000;-2.363496e+00;-3.089392e+00;-9.999798e+00;-4.649993e+00;1.682598e+01;4.262346e+00;-1.286599e+01;-8.601402e+00;-6.655443e+00;3.254158e+00;4.744373e+00;-2.641986e+00;-3.264918e+00;1.578842e+00
4;0.040000;1.222091e+00;7.224903e-01;-1.114856e+01;-5.026830e+00;1.158004e+01;4.187304e+00;-1.270014e+01;-1.124693e+01;-7.414704e+00;4.118032e+00;1.706890e+00;-2.526262e+00;-3.171277e+00;-5.314636e-02
5;0.050000;1.637397e+00;7.849591e-01;-1.152712e+01;-9.193602e+00;7.658047e+00;4.249936e+00;-8.380320e+00;-1.075600e+01;-8.531850e+00;8.210551e+00;-2.377125e+00;-5.369723e+00;-2.657084e-01;2.020638e+00
6;0.060000;2.078009e+00;-2.302474e+00;-1.184733e+01;-1.176415e+01;8.105685e+00;7.250862e-01;-7.494056e+00;-8.759963e+00;-9.077715e+00;9.232329e+00;-4.969384e+00;-7.664441e+00;5.343983e-01;4.222374e+00
7;0.070000;2.066239e+00;-4.887683e+00;-1.289429e+01;-1.178405e+01;9.830063e+00;-3.229483e+00;-6.657414e+00;-7.285312e+00;-6.766721e+00;4.939603e+00;-6.319185e+00;-6.902775e+00;-1.438379e-01;5.586975e+00
8;0.080000;8.956876e-01;-7.282760e+00;-1.384334e+01;-1.013957e+01;9.199005e+00;-6.115999e+00;-5.411998e+00;-6.846147e+00;-5.015144e+00;-1.741900e+00;-8.820585e+00;-6.570933e+00;-2.210572e+00;6.342941e+00
9;0.090000;-3.739309e-02;-8.945888e+00;-1.371108e+01;-9.372346e+00;7.637460e+00;-6.570282e+00;-3.188234e+00;-6.812943e+00;-2.993853e+00;-5.852714e+00;-1.055131e+01;-6.236708e+00;-1.997398e+00;6.521194e+00
10;0.100000;4.283419e-01;-9.612205e+00;-1.286719e+01;-9.771296e+00;5.976352e+00;-8.349529e+00;-1.017925e+00;-8.233719e+00;-2.604108e-01;-7.572549e+00;-1.273954e+01;-3.767828e+00;-1.755570e+00;6.429161e+00
11;0.110000;1.696978e+00;-1.083148e+01;-1.154136e+01;-9.075439e+00;1.683424e+00;-1.067249e+01;5.319868e-01;-1.224185e+01;1.692344e+00;-7.633306e+00;-1.449974e+01;-1.916238e+00;-3.009887e+00;6.249153e+00
12;0.120000;3.151852e+00;-1.003814e+01;-8.991089e+00;-2.993546e+00;-2.496508e+00;-7.045887e+00;4.551832e+00;-1.451917e+01;5.910259e+00;-6.204673e+00;-1.124128e+01;-2.947704e+00;-1.414756e+00;4.736320e+00
13;0.130000;4.477860e+00;-9.330673e+00;-7.140306e+00;3.190681e+00;-9.460784e+00;9.699945e-01;2.546850e+00;-1.868961e+01;9.441855e+00;-3.458790e+00;-4.759913e+00;-5.546290e+00;1.385992e+00;3.093040e+00
14;0.140000;5.171582e+00;-1.061954e+01;-9.502714e+00;3.615573e+00;-9.336104e+00;4.638224e+00;-1.670277e-01;-1.778323e+01;1.077477e+01;-4.021890e+00;-4.146871e+00;-4.083026e+00;6.944189e-01;4.113869e+00
