frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.432143e+00;2.362843e+00;-3.650093e+00;7.412812e+00;7.150532e+00;1.047087e+01;7.677530e+00;1.470740e+01;2.335810e+00;2.783290e+00;2.786966e+00;8.816687e+00;4.121994e+00;-2.402058e+01
1;0.010000;-3.400662e+00;3.917639e+00;-2.133723e+00;1.057053e+01;7.817245e+00;1.196467e+01;1.030942e+01;1.258915e+01;6.579883e-01;3.003185e+00;2.123224e+00;5.737446e+00;1.120152e-01;-3.019324e+01
2;0.020000;-9.316057e+00;4.779839e+00;1.752682e+00;9.318800e+00;1.562568e+01;7.555570e+00;1.317738e+01;1.073478e+01;6.104366e+00;3.351635e+00;1.894549e+00;2.275143e-01;4.339869e+00;-2.530124e+01
3;0.030000;-1.289838e+01;6.788951e+00;-1.321467e+00;9.732024e+00;1.621840e+01;4.356270e+00;1.472989e+01;1.095281e+01;7.210379e+00;-2.706318e-01;5.037280e-01;-9.582095e-01;6.524741e+00;-1.458741e+01
4;0.040000;-1.624024e+01;9.271864e+00;-4.496006e+00;8.669065e+00;1.589610e+01;3.855701e+00;1.548308e+01;9.490634e+00;7.855771e+00;-3.265100e+00;5.126978e-01;5.781658e-01;6.802454e+00;-8.920425e+00
5;0.050000;-1.968209e+01;1.008662e+01;-5.182700e+00;7.881285e+00;1.448058e+01;2.094350e+00;1.489860e+01;8.521507e+00;7.688757e+00;-4.956598e+00;-7.006445e-01;3.804612e+00;7.680922e+00;-6.402283e+00
6;0.060000;-2.444772e+01;6.076050e+00;-7.538881e+00;6.357257e+00;1.388798e+01;1.424506e+00;1.288517e+01;9.086515e+00;7.422618e+00;-4.843179e+00;-3.324358e-01;5.966997e+00;6.280080e+00;-5.861679e+00
7;0.070000;-2.232307e+01;7.143000e+00;-7.662772e+00;8.475049e+00;1.339699e+01;1.844461e+00;1.072531e+01;1.004445e+01;9.091369e+00;-2.158791e+00;-4.404318e-01;3.252479e+00;3.767641e+00;-2.445297e+00
8;0.080000;-2.194566e+01;7.482458e+00;-9.511744e+00;8.131783e+00;1.181185e+01;6.599455e-01;1.051297e+01;1.070392e+01;8.183205e+00;1.765414e+00;1.677433e+00;1.602129e+00;2.549986e+00;3.624725e-01
9;0.090000;-2.302337e+01;6.105432e+00;-1.230419e+01;6.331363e+00;8.709987e+00;7.575245e-01;1.299388e+01;1.416101e+01;1.032987e+01;4.044159e+00;4.017286e+00;4.688725e+00;3.425763e+00;1.219215e+00
