frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;4.487890e+00;-4.353791e+00;-6.663795e+00;2.647692e+00;-5.915909e-01;-3.477123e+00;-3.780351e-01;8.397426e+00;6.163488e+00;-1.282282e+00;-3.039407e+00;-7.290702e+00;2.684894e+00;2.351761e-01
1;0.010000;2.804582e+00;-3.226022e+00;-6.209952e+00;7.599666e-01;1.601065e+00;-1.258659e+00;-5.472323e+00;5.903088e+00;4.422359e+00;-6.167424e+00;-5.216867e+00;-9.803377e+00;-1.162011e+00;9.092102e-01
2;0.020000;2.948244e+00;-2.074090e+00;-6.115295e+00;3.666497e+00;2.914338e+00;4.835510e-02;-8.389995e+00;7.094299e+00;4.983626e+00;-3.766582e+00;-3.194337e+00;-1.352033e+01;-3.721328e+00;4.273911e-01
3;0.030000;3.280408e+00;-2.013696e+00;-7.319642e+00;8.310654e+00;5.641435e+00;-4.384136e-01;-3.111741e+00;7.903547e+00;1.617860e+00;-2.465276e+00;-3.438673e-01;-1.817248e+01;-3.461224e+00;-9.307022e-01
4;0.040000;3.760313e+00;-2.192976e+00;-6.902322e+00;8.481018e+00;6.032853e+00;-2.038107e+00;3.338810e+00;7.104074e+00;-1.202929e+00;-3.155363e+00;1.150557e+00;-1.847196e+01;-2.943138e+00;-1.512138e+00
5;0.050000;3.809068e+00;-1.507545e+00;-7.351487e+00;6.429148e+00;4.606483e+00;-5.059484e+00;4.457054e+00;6.142458e+00;-1.192234e+00;-2.767372e+00;-1.355672e+00;-1.722886e+01;-5.499163e+00;-1.928444e+00
6;0.060000;3.475701e+00;-5.714469e-01;-7.961775e+00;4.828806e+00;3.995563e+00;-6.563000e+00;5.617602e+00;4.042627e+00;-9.489861e-01;-3.986993e+00;-4.028750e+00;-1.581883e+01;-8.456296e+00;-2.361595e+00
7;0.070000;1.465337e+00;-1.274409e+00;-3.300618e+00;2.544449e+00;4.161006e+00;-9.046526e+00;6.220344e+00;1.285818e+00;-1.770410e+00;-3.566972e+00;-2.807981e+00;-9.193539e+00;-6.896334e+00;9.089661e-02
8;0.080000;-4.838943e-02;-2.325488e+00;2.743439e+00;1.584902e-01;-1.307400e+00;-8.224226e+00;4.615584e+00;6.711330e-01;-3.937492e-01;-7.968581e-01;1.165182e+00;5.626112e-01;-3.472528e+00;3.728477e+00
9;0.090000;-1.756385e+00;-1.850907e+00;4.547649e+00;-1.705775e+00;-5.697756e+00;-6.227686e+00;2.840133e+00;3.865856e+00;-1.810705e+00;3.277719e+00;-1.776788e-01;5.815803e+00;-1.748257e+00;5.633415e+00
