frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;7.033243e-01;-7.255064e+00;5.232725e-01;5.489973e+00;-4.388584e+00;3.292995e+00;2.839684e+00;-6.763177e-01;1.046104e+00;1.762715e+00;-8.281773e+00;-7.140121e+00;-7.756122e+00;5.471100e+00
1;0.100000;-2.731800e-01;-7.983089e+00;-2.811076e+00;7.588898e+00;-3.238823e+00;2.840804e+00;8.096886e-01;-3.178174e+00;4.045115e+00;-1.072806e+00;-3.130393e+00;-4.540043e+00;-4.240686e+00;4.418510e+00
2;0.200000;-6.052761e-01;-8.259649e-01;-3.265251e+00;1.427598e+01;1.070631e+00;1.699725e+00;2.543482e+00;-8.668650e+00;7.224980e+00;-6.071458e+00;5.410507e-01;-1.320710e+00;-2.480590e+00;1.160355e+00
3;0.300000;-5.636501e-01;8.845623e+00;-3.115759e+00;1.618213e+01;2.098243e-01;9.120917e-02;7.381990e+00;-6.014991e+00;5.459507e+00;-7.885355e+00;7.366781e-01;1.142966e+00;-3.371052e+00;-1.469109e+00
4;0.400000;1.478167e-01;1.514169e+00;-1.910743e+00;1.164535e+01;-1.891588e+00;5.004938e+00;6.747777e+00;-2.104529e+00;4.147854e+00;-9.471952e+00;-4.691319e-01;3.900084e+00;3.621593e-01;1.244743e+00
5;0.500000;7.781219e-01;-2.946055e+00;-1.469570e+00;5.903680e+00;-2.404583e+00;3.730999e+00;4.501134e+00;-9.304852e-01;1.752365e+00;-6.695468e+00;-3.092771e+00;5.470504e+00;-2.450519e-01;1.927895e+00
6;0.600000;1.187670e+00;-1.426770e+00;-2.003798e+00;-7.941322e-01;-2.150305e+00;1.230286e+00;1.538496e+00;9.151623e-01;-2.220984e+00;-4.698891e+00;-3.775356e+00;3.885177e+00;-7.893820e-01;5.415421e-01
7;0.700000;1.759652e+00;4.026612e+00;-2.442449e+00;-1.020601e+01;4.403847e+00;1.532332e+00;-1.706291e+00;7.243293e+00;-7.600220e+00;-3.675399e+00;2.189722e+00;1.616187e+00;1.575676e+00;-1.601692e+00
8;0.800000;1.280352e+00;2.970644e+00;-3.453343e+00;-1.095227e+01;9.455800e+00;-1.159153e+00;-4.359171e+00;9.986750e+00;-5.390030e+00;-1.931107e-02;4.566667e+00;-1.182938e-02;3.836205e+00;-1.569733e+00
9;0.900000;7.851067e-01;1.916234e+00;-1.532301e+00;-8.826356e+00;7.105228e+00;-6.857553e+00;-5.295593e+00;9.307196e+00;-3.765496e+00;4.104196e+00;2.734914e+00;-1.020454e+00;4.027007e+00;-2.204224e+00
10;1.000000;1.034424e+00;1.682208e+00;-1.863995e-01;-7.330443e+00;5.646327e+00;-1.028016e+01;-6.544937e+00;5.937123e+00;-5.254963e+00;4.131323e+00;3.329431e+00;-1.067935e+00;5.911135e+00;-3.800507e+00
11;1.100000;-3.358269e-01;-1.489351e+00;-1.753409e+00;-3.670266e+00;6.018091e+00;-6.702999e+00;-8.473661e+00;5.528040e-01;-5.959179e+00;1.383509e+00;4.263532e+00;1.354069e+00;3.617270e+00;-1.916428e+00
12;1.200000;-1.433514e+00;-3.247246e+00;-3.219826e+00;-2.356195e+00;5.193532e+00;-3.693403e+00;-8.376425e+00;1.062860e-01;-4.109000e+00;-8.602068e-01;3.573963e+00;1.737435e+00;1.733726e+00;-6.158600e-01
13;1.300000;-5.825481e-01;-2.503820e+00;5.063715e-01;-1.245030e+00;1.741864e+00;1.156778e-01;-4.426405e+00;-2.187734e+00;1.333481e+00;4.628145e+00;1.610130e+00;1.602741e+00;1.721330e+00;-1.955521e+00
14;1.400000;-1.045184e+00;2.463109e+00;1.275420e+01;-6.422417e+00;-1.023029e+01;3.369209e+00;3.485197e+00;-6.738805e+00;5.321934e+00;1.425544e+01;-2.085635e+00;-1.805766e+00;-1.815480e+00;-1.114204e+00
15;1.500000;-2.837282e+00;4.258759e+00;1.338006e+01;-9.282884e+00;-1.654097e+01;5.785089e+00;9.335046e+00;-3.548925e+00;3.968527e+00;1.018552e+01;-2.711031e+00;-3.802303e+00;-2.086149e+00;1.483124e+00
