frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;4.847186e+00;2.991363e+00;-1.006308e+01;-1.594796e+01;-7.571978e+00;6.382045e+00;1.509653e+00;-3.723481e+00;1.154540e+01;-1.940963e+01;7.917552e+00;-1.841575e+00;2.516329e+00;-2.744408e+00
1;0.020000;5.236916e+00;3.625878e+00;-2.950106e+00;-1.092487e+01;3.140861e+00;3.078687e+00;3.150223e+00;-2.027292e-01;4.517672e+00;-1.015173e+01;6.910178e+00;-1.664520e+00;7.277108e+00;-2.930588e+00
2;0.040000;2.680339e+00;-8.638945e-01;-3.603174e+00;-1.294706e+01;5.668827e+00;-5.778378e+00;-8.825836e-01;-6.468573e-01;-4.747180e+00;-9.734316e-01;5.589719e+00;-6.471100e-01;7.685518e+00;-2.182884e+00
3;0.060000;2.717494e+00;-1.844539e+00;-2.037381e+00;-1.503129e+01;4.196748e+00;-5.053948e+00;-1.347654e+00;2.472457e+00;6.382380e-01;1.789510e+00;7.262345e+00;-4.499720e+00;1.550768e+00;8.364105e-01
4;0.080000;2.579183e+00;-5.161016e+00;-4.729700e+00;-1.854189e+01;1.603950e+00;-5.108105e+00;-4.935118e+00;-6.576982e-01;2.528524e+00;-3.287642e+00;6.116016e+00;-1.107516e+01;-6.110476e+00;2.715904e+00
5;0.100000;4.032794e+00;-5.459125e+00;-4.049274e+00;-1.502015e+01;5.026053e+00;6.793957e-01;-1.406454e+00;7.274024e-01;4.976875e+00;-6.901843e+00;6.581042e+00;-1.343575e+01;-1.035061e+01;4.306732e+00
6;0.120000;4.928191e+00;-5.564759e+00;-3.309538e+00;-1.134485e+01;4.288823e+00;3.004069e+00;-2.322086e+00;-2.086748e+00;3.872448e+00;-9.070916e+00;7.850037e+00;-1.093207e+01;-8.030178e+00;4.737030e+00
7;0.140000;5.750028e+00;-5.759609e+00;-5.904765e-01;-6.630101e+00;2.243171e+00;3.192306e+00;-3.637980e+00;-7.532989e+00;1.716547e+00;-8.112958e+00;7.831748e+00;-9.075163e+00;-3.106747e+00;3.946594e+00
8;0.160000;5.914813e+00;-5.406920e+00;2.639462e+00;-4.561176e-01;1.122338e+00;2.888308e-01;-4.174259e+00;-9.835896e+00;-6.595960e-01;-4.826441e+00;8.712200e+00;-1.201735e+01;5.068402e-01;2.402161e+00
9;0.180000;4.432812e+00;-4.788894e+00;4.183327e+00;5.839755e+00;2.216129e-01;-5.595828e+00;-3.244438e+00;-3.988848e-01;-2.235513e-01;-8.315127e+00;3.919007e+00;-9.752537e+00;4.136997e+00;2.900642e+00
10;0.200000;1.274827e+00;-4.250565e+00;4.462911e+00;5.228163e+00;-2.663620e+00;-7.094339e+00;-6.624222e-03;6.324153e+00;6.667094e-01;-1.009717e+01;9.110137e-01;-3.281716e+00;6.275930e+00;5.483192e+00
11;0.220000;-1.977449e+00;-4.897170e+00;1.631217e+00;2.413791e+00;-5.235987e+00;-7.985926e+00;1.759644e-01;7.125591e+00;-7.954116e-01;-8.206422e+00;6.662744e-01;-1.077853e+00;6.076295e+00;5.952805e+00
12;0.240000;-2.252181e+00;-4.341763e+00;2.848142e-01;3.462840e+00;-2.678132e+00;-7.698586e+00;-4.931984e-01;9.650935e+00;1.409913e+00;-3.158614e+00;2.818340e-01;1.793439e+00;8.782923e+00;5.411842e+00
13;0.260000;8.213043e-02;-3.923421e+00;-8.584030e-01;4.050217e+00;1.310948e+00;-9.093609e+00;-4.087658e+00;6.571689e+00;-1.122938e+00;-2.554111e+00;-6.197760e+00;-1.817508e+00;8.099565e+00;4.554825e+00
14;0.280000;2.579434e+00;-2.585256e+00;1.286521e+00;3.426424e+00;5.447076e+00;-8.435049e+00;-3.630003e+00;4.297019e+00;-3.070487e+00;-3.187037e+00;-8.677044e+00;-7.799305e+00;6.861632e+00;1.538864e+00
