frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;3.255209e+00;-3.356409e-01;7.461315e-01;1.137644e+01;-1.090856e+00;6.870270e-02;5.330275e+00;7.702713e-01;5.431976e-01;3.180189e-01;-1.563274e+00;-3.813653e+00;1.017991e+01;-6.783302e+00
1;0.050000;-4.100448e+00;9.717183e-01;3.741492e+00;1.790382e+00;9.492318e+00;9.583240e-01;6.354459e+00;9.191874e+00;2.413209e+00;-3.585532e-01;-3.047678e+00;5.960293e-01;3.388001e+00;-5.286049e+00
2;0.100000;-4.695257e+00;8.455677e-01;3.801218e+00;-9.890270e-01;6.452538e+00;-4.563713e-01;5.367182e+00;6.150501e+00;7.877550e-01;3.232861e-01;-5.436063e+00;-2.166205e+00;1.501346e+00;-6.764984e-02
3;0.150000;-2.993285e+00;7.439871e-01;4.657609e+00;-2.046302e+00;1.193913e+00;3.055334e-01;6.368058e+00;1.746256e+00;-2.041931e-01;4.237627e+00;-5.526214e+00;-5.304576e+00;2.361809e+00;2.132919e+00
4;0.200000;-1.872771e+00;-9.290471e-01;3.069578e+00;-2.151112e+00;-5.827673e+00;2.657669e+00;4.346144e+00;-2.558929e+00;2.142577e+00;3.999394e+00;-4.900996e+00;-9.310618e+00;1.969847e+00;2.507332e+00
5;0.250000;-5.680936e+00;2.736706e+00;-1.825377e+00;-1.859246e+00;-6.305923e+00;-5.803308e-01;6.314322e+00;-9.075191e+00;6.149749e+00;1.456636e+00;-5.553229e+00;-4.318353e+00;-1.282364e+00;3.296349e+00
6;0.300000;-9.288908e+00;8.911446e+00;-3.400558e+00;-9.119892e-01;9.751425e-01;-4.044108e+00;8.334496e+00;-6.710342e+00;2.618596e+00;-5.488243e-01;-4.602040e+00;-1.502909e+00;-3.876102e+00;3.442062e+00
7;0.350000;-1.103836e+01;9.698063e+00;-9.709858e-01;6.484509e-02;6.317924e+00;-2.657919e+00;9.031466e+00;-5.885868e-01;2.053759e+00;-3.132560e+00;-1.553737e+00;-1.359778e+00;-7.486386e+00;3.139725e+00
8;0.400000;-7.704178e+00;3.258095e+00;3.452184e+00;-1.241408e+00;-2.298562e+00;-3.651041e+00;7.460461e+00;-1.525032e+00;3.451150e+00;-4.021358e-02;1.379626e+00;-1.145949e+00;-8.336537e+00;4.571106e+00
9;0.450000;-1.509736e+00;-5.049149e+00;4.767195e+00;-2.706779e+00;-9.207788e+00;-2.692297e+00;1.616817e+00;-2.088366e+00;4.022903e+00;2.059246e+00;3.832661e+00;-1.167658e+00;-7.446940e+00;3.911613e+00
10;0.500000;1.518884e+00;-7.752997e+00;-3.618968e-02;-2.473245e+00;-1.275064e+01;-2.438747e+00;-3.844462e+00;-3.603231e+00;2.132149e+00;6.694411e+00;4.369769e+00;1.109290e-01;-3.961687e+00;2.542412e+00
11;0.550000;3.260724e+00;-3.613171e+00;-3.366471e+00;8.774948e-02;-8.831005e+00;-4.223640e+00;-2.754018e+00;-5.193417e+00;3.630214e-01;1.045411e+01;2.428887e+00;-2.186468e+00;3.067341e-01;5.958099e-01
12;0.600000;2.416292e+00;-1.051541e+00;1.707791e+00;1.315832e-01;-1.812122e+00;-7.175722e-01;-5.913365e+00;1.215771e+00;3.551927e+00;3.145761e+00;7.119454e+00;-1.715046e+00;2.295399e-02;-1.905411e+00
13;0.650000;-1.421658e+00;-3.768648e+00;6.152196e+00;1.162443e-01;5.104839e+00;-5.791731e-01;-1.117285e+01;6.759035e+00;3.426199e+00;-5.228724e+00;5.141814e+00;3.777542e+00;-4.157028e-01;-7.007751e-01
14;0.700000;1.312869e+00;-2.803940e+00;4.026245e+00;-3.038111e+00;5.394394e+00;3.884506e-01;-1.363686e+01;2.077501e+00;-2.244445e+00;-8.310745e+00;3.632733e+00;5.675791e+00;-2.245979e-01;1.751968e+00
15;0.750000;5.627621e+00;-1.254869e-01;-8.857753e-01;-6.387954e+00;2.755813e+00;3.358540e+00;-1.279053e+01;-1.070127e+00;-6.720251e+00;-8.528196e+00;3.508270e+00;5.923479e+00;6.017857e-01;9.393234e-01
16;0.800000;9.173655e+00;3.127362e+00;-8.084192e+00;-4.297807e+00;8.980637e-01;4.011256e+00;-7.086291e+00;-1.130835e+00;-1.201965e+01;-3.003580e+00;4.916420e-01;5.855830e+00;4.580709e+00;-2.019287e+00
17;0.850000;9.935418e+00;2.674352e+00;-1.071681e+01;1.111908e-01;3.074936e+00;1.685452e+00;-1.516992e+00;2.278921e+00;-1.226254e+01;-1.950850e-01;-1.791545e+00;5.624804e+00;6.180574e+00;-4.157089e+00
18;0.900000;8.195633e+00;-1.849285e+00;-5.851003e+00;4.903996e+00;3.134809e+00;3.985868e+00;-1.349857e+00;1.887890e+00;-3.003431e+00;-3.535560e+00;-6.873169e-01;3.692266e+00;2.318870e+00;-4.402161e+00
19;0.950000;5.609237e+00;-5.688385e+00;-9.842737e-01;9.520528e+00;3.329865e+00;4.621423e+00;-4.584665e-01;1.466072e+00;2.798316e+00;1.935449e-01;2.757217e+00;2.734552e+00;-3.822317e-01;-3.508797e+00
