frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;4.204458e+00;8.252850e+00;-2.272319e+00;-3.314581e+00;6.384181e+00;1.099318e+01;1.066521e+00;3.641186e-01;-5.523650e+00;-3.013634e+00;-1.585831e+00;1.938441e+00;1.038739e+00;-1.377411e-01
1;0.050000;-2.283261e+00;9.884609e+00;-3.540119e+00;-3.278577e+00;5.618580e+00;6.029638e+00;-6.836343e-01;-1.249971e-01;-8.797737e+00;-1.556004e+00;6.234206e-01;-2.024398e-01;1.882514e-01;4.300774e+00
2;0.100000;-6.675447e+00;8.752274e+00;-4.174025e+00;-2.600739e+00;3.721143e+00;-4.441242e-01;-5.325538e+00;-1.030714e+00;-8.009613e+00;2.361680e+00;2.861083e+00;-1.912258e+00;-7.825147e-01;5.128906e+00
3;0.150000;-4.938647e+00;9.900536e+00;-3.319475e+00;-5.811434e-01;4.686898e+00;-1.076703e+00;-6.465592e+00;2.419615e-02;-2.452227e+00;9.014471e+00;5.921641e+00;-1.844779e+00;-2.469502e+00;4.822212e+00
4;0.200000;1.161528e-01;5.967447e+00;-1.708716e+00;4.767932e+00;3.500198e+00;-1.132710e+00;-3.252675e+00;3.376858e+00;1.900811e+00;9.495578e+00;4.220217e+00;2.274976e-01;-1.908830e+00;3.203506e+00
5;0.250000;5.383113e+00;-4.701174e+00;6.436343e+00;4.362072e+00;-1.562654e+00;-1.237204e+00;5.248880e+00;8.406309e+00;4.025132e+00;5.712732e+00;2.170048e+00;3.631845e+00;2.737385e-01;4.100044e+00
6;0.300000;5.191025e+00;-7.774002e+00;8.223886e+00;-3.142900e-01;-1.604877e+00;-3.832380e+00;8.359897e+00;7.884842e+00;3.319953e+00;3.283056e+00;3.476836e+00;4.693365e+00;-2.704146e-01;5.847771e+00
7;0.350000;4.638781e+00;-1.121449e+01;4.185142e+00;-4.625200e+00;-2.331186e+00;-2.829619e+00;9.929073e+00;4.148755e+00;1.232670e+00;-1.112763e+00;3.180125e+00;2.352166e+00;-3.803662e-01;5.346306e+00
8;0.400000;2.877785e+00;-1.456462e+01;3.940816e-01;-4.670313e+00;-3.602843e+00;7.122993e-02;1.213101e+01;-3.936208e+00;-7.430305e-01;-7.826468e+00;2.320572e+00;-2.622472e+00;5.249888e-01;3.994461e+00
9;0.450000;2.550555e+00;-1.456820e+01;6.407928e-01;-2.517242e-01;-1.487419e+00;2.480409e+00;1.431714e+01;-8.272758e+00;-6.582065e-01;-1.217931e+01;2.952380e+00;-4.941389e+00;-5.930141e-01;2.763535e+00
10;0.500000;4.228134e+00;-9.888690e+00;2.246693e+00;1.883739e+00;-3.720120e+00;3.370094e+00;7.071851e+00;-2.965263e+00;-1.973186e-01;-9.331120e+00;2.042798e+00;-1.559603e+00;-2.297855e+00;1.483025e+00
11;0.550000;6.255865e-01;-9.424047e-01;2.056337e+00;2.564171e+00;-2.210938e+00;8.239985e-01;-3.244981e+00;3.493485e+00;1.564086e+00;-6.219677e+00;2.666670e-01;-4.467039e-01;-3.194305e+00;-9.788513e-02
12;0.600000;-4.425757e+00;5.031271e+00;-1.493049e-01;4.424918e+00;2.915732e+00;-4.401157e+00;-1.012310e+01;1.222804e+00;4.841149e+00;-3.506979e+00;-1.265969e+00;-1.394377e+00;-1.618675e+00;-2.050217e+00
13;0.650000;-3.356465e+00;2.482584e+00;-5.236209e+00;3.229392e+00;-4.423595e+00;-1.389251e+01;-9.312070e+00;4.296970e-01;3.284086e+00;-2.770311e+00;-5.507802e+00;-1.408838e+00;1.242943e+00;-1.269325e+00
14;0.700000;-2.873602e-01;-2.307994e+00;-4.654737e+00;-1.315498e-01;-1.070977e+01;-1.716906e+01;-7.864075e+00;3.602409e-02;1.686531e+00;-6.232479e-01;-7.950693e+00;6.992340e-01;3.405958e+00;-6.021729e-01
15;0.750000;1.603750e+00;-5.479638e+00;-2.298388e+00;-3.604426e+00;-1.103496e+01;-1.580171e+01;-8.853540e+00;7.942619e-01;-2.163624e+00;1.123388e+00;-7.696362e+00;7.687032e-01;1.396402e+00;-2.070435e+00
16;0.800000;1.606404e+00;-5.292282e+00;-7.680311e+00;-4.469771e+00;-5.979303e+00;-5.312512e+00;-5.187297e+00;-3.211254e+00;-3.195874e+00;1.421099e-01;-5.488691e+00;-4.119243e+00;-1.400767e+00;-2.451477e+00
17;0.850000;3.040596e+00;-4.834505e+00;-7.160646e+00;-7.033897e+00;-5.707455e-01;3.665533e-01;-4.589713e+00;-2.921786e+00;-1.851669e+00;8.243043e-01;-5.936628e+00;-5.545187e+00;2.882369e-01;-2.222435e+00
18;0.900000;4.439462e+00;-2.771961e+00;5.955510e-01;-3.487416e+00;5.940091e+00;4.518606e+00;-1.355310e+00;2.480751e+00;3.544083e+00;1.575138e+00;-3.035542e+00;-4.995923e+00;5.475531e+00;-1.973755e+00
19;0.950000;3.463060e+00;-3.243904e-01;2.636336e+00;3.826806e+00;9.885989e+00;9.342131e+00;2.569596e+00;3.679117e+00;5.847718e+00;1.893955e+00;1.220622e+00;-4.923557e+00;5.682443e+00;-1.464081e-01
20;1.000000;4.506960e+00;7.384539e-02;3.348608e-01;2.804331e+00;1.272931e+01;1.196922e+01;4.016257e+00;2.412815e+00;3.259569e+00;1.054013e+00;2.668197e+00;-3.713681e+00;3.695080e+00;4.451294e-01
21;1.050000;5.251358e+00;1.927733e+00;-2.818568e+00;-2.234651e+00;1.268187e+01;1.268616e+01;1.696888e+00;1.692153e+00;-8.413382e-01;-6.848595e-01;2.668327e+00;-1.121166e+00;3.932452e-02;-1.828041e+00
22;1.100000;-2.712924e+00;9.002754e+00;-7.786155e+00;-6.152369e+00;6.438505e+00;1.052156e+01;-3.133917e-01;-3.266727e+00;-5.267238e+00;-5.008898e+00;3.169848e-01;1.351047e+00;-3.136073e+00;-3.554016e+00
23;1.150000;-1.037122e+01;1.253181e+01;-5.101666e+00;-3.472805e-01;5.778502e+00;4.459832e+00;5.536051e-01;-1.148200e-01;-6.275986e+00;-6.531803e+00;-3.181858e+00;8.480787e-02;-3.663786e+00;-4.365372e+00
24;1.200000;-1.329646e+01;1.427320e+01;5.733638e-01;9.560291e+00;5.835457e-01;-1.834090e+00;4.092688e+00;-8.285851e-01;-1.766268e+00;2.471680e+00;2.708545e+00;1.145217e+00;-1.208901e+00;-4.083900e+00
25;1.250000;-8.695361e+00;1.264479e+01;2.425266e+00;7.379212e+00;-1.244791e+01;-2.980127e-01;6.756995e+00;-7.734489e+00;1.254191e+00;4.227752e+00;6.625785e-01;1.897265e+00;1.328054e+00;-3.504257e-01
26;1.300000;-5.496661e+00;7.400690e+00;5.224678e+00;2.785230e+00;-1.555816e+01;7.484856e-01;1.902916e+00;-5.909234e+00;2.650115e+00;2.986794e+00;-1.634446e-02;1.877773e+00;4.655483e+00;1.229820e+00
27;1.350000;-1.887910e+00;-3.033916e+00;5.500710e+00;-2.012079e+00;-1.115985e+01;-2.669754e+00;-4.834619e-01;2.241453e+00;6.129560e-01;5.908088e+00;-1.858733e+00;5.899800e+00;4.462456e+00;1.918488e+00
28;1.400000;4.535074e-01;-7.763530e+00;4.957823e+00;-2.633503e+00;-6.556370e+00;-5.417545e+00;1.453353e+00;5.886872e+00;-1.878202e-01;6.064364e+00;-3.179094e+00;6.758934e+00;1.858793e+00;1.838074e+00
29;1.450000;1.627441e+00;-6.674843e+00;4.202260e+00;7.075586e-01;-2.431111e+00;-5.523185e+00;3.371702e+00;6.213436e+00;2.070719e+00;5.249505e-01;-1.493962e+00;2.028541e+00;1.656980e+00;-6.089096e-01
30;1.500000;1.669093e+00;-2.642658e+00;3.158545e+00;2.924897e+00;2.506470e+00;-1.980422e+00;-2.484685e+00;2.037776e+00;5.610670e+00;-3.763525e+00;-5.768290e-02;1.044553e+00;-2.957666e+00;-4.508896e+00
31;1.550000;2.251904e+00;-1.177351e+00;2.431838e+00;1.346073e-01;5.106173e+00;1.937914e+00;-8.235679e+00;-7.894005e+00;2.379070e+00;4.629240e-01;3.018549e+00;1.611247e+00;-6.006076e+00;-5.676407e+00
32;1.600000;4.698346e+00;-2.169750e+00;1.676132e+00;3.883400e-01;8.914652e+00;4.533664e+00;-6.763636e+00;-8.614841e+00;-1.151921e+00;5.001609e+00;4.955603e+00;2.741208e+00;-5.324656e+00;-8.423820e+00
