frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.362895e+00;9.865558e+00;-5.365312e+00;-2.434634e-01;2.814274e+00;1.136844e+01;-2.511765e+00;-6.250213e+00;4.107354e+00;-1.892655e+00;-4.582691e+00;9.005487e+00;-1.353487e-01;-2.906845e+00
1;0.050000;4.488033e+00;7.963854e+00;-4.982184e+00;-8.286354e+00;-5.188974e+00;1.074979e+01;1.973875e+00;-2.964608e+00;2.404872e+00;-6.488647e+00;-3.265057e+00;9.133763e+00;3.524058e-01;-1.928764e+00
2;0.100000;8.826771e+00;2.545478e+00;1.289384e-01;-1.559231e+01;-7.238598e+00;1.302779e+01;1.551974e+00;-2.316098e+00;5.700397e-01;-7.831713e+00;9.921483e-01;6.756398e+00;1.795123e+00;-1.211235e+00
3;0.150000;9.722180e+00;-1.955178e+00;3.157066e+00;-1.173609e+01;-7.776211e+00;1.296301e+01;1.345963e+00;-1.389605e+00;-3.570833e+00;-5.823976e+00;2.199012e+00;1.281064e+00;2.549528e+00;-8.249359e-01
4;0.200000;7.334772e+00;-6.850787e+00;8.867828e+00;-1.406801e+00;-5.693230e+00;4.341448e+00;-3.506613e-01;5.405375e+00;-1.090258e+01;-4.015038e+00;7.598957e-01;-4.193544e-02;3.353657e+00;2.278595e-01
5;0.250000;2.972785e+00;-6.606296e+00;1.504951e+01;2.479840e+00;-8.444658e+00;-3.220161e+00;-7.364314e+00;7.983974e+00;-1.038708e+01;1.983085e+00;4.089046e+00;3.120739e+00;3.011464e+00;2.339195e+00
6;0.300000;7.778645e-02;-5.990194e+00;1.738606e+01;1.528394e+00;-1.210922e+01;-4.672428e+00;-8.553563e+00;9.409355e+00;-7.212280e+00;3.512238e+00;7.051920e+00;3.838723e+00;4.297751e+00;2.482170e+00
7;0.350000;-1.477684e+00;-6.161653e+00;1.987573e+01;6.513488e-01;-1.439463e+01;-3.059759e+00;-7.520871e+00;6.643869e+00;-7.878740e+00;1.625598e+00;9.039933e+00;1.373232e+00;3.378800e+00;2.054321e+00
8;0.400000;-9.222822e-01;-6.254850e+00;2.031174e+01;2.639846e+00;-1.229836e+01;-3.640045e+00;-6.157765e+00;3.423656e+00;-7.698415e+00;-1.423676e+00;7.641657e+00;-6.847367e-01;1.452600e+00;1.889969e+00
9;0.450000;-1.012283e+00;-4.023592e+00;1.524391e+01;4.765431e+00;-2.996112e+00;-6.788157e+00;-3.535958e+00;-3.664499e+00;-3.867006e+00;-1.037408e+00;4.421760e+00;-1.404407e+00;-1.617234e-01;1.187973e+00
10;0.500000;-4.815371e+00;4.062969e+00;3.804044e+00;5.446260e+00;8.589401e+00;-1.116478e+01;7.596455e-01;-1.218777e+01;1.858662e+00;2.828597e+00;-2.458028e+00;3.266830e-01;1.568423e+00;1.046509e+00
11;0.550000;-8.652417e+00;9.687434e+00;-2.834451e+00;4.778231e+00;1.333142e+01;-1.271719e+01;3.517585e+00;-1.467313e+01;4.146882e+00;5.212475e+00;-5.846227e+00;7.908194e-01;2.878594e+00;-4.914322e-01
12;0.600000;-1.101531e+01;9.877184e+00;-1.347395e+00;7.687742e+00;9.331101e+00;-1.746043e+01;8.622667e+00;-1.271419e+01;-7.908182e-01;1.826535e+00;-2.638953e+00;1.732226e+00;9.520833e-01;-2.661224e+00
