frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.899243e+00;-5.710538e+00;-7.743914e+00;2.098322e+00;-6.985865e-01;-1.016896e+00;1.220474e+01;-1.197433e-01;-1.063346e+00;-1.028983e+01;3.325715e+00;4.686084e+00;-9.712955e-01;5.439468e+00
1;0.050000;-5.765583e+00;3.229454e-01;-4.406343e+00;-4.708529e-01;2.064459e+00;2.763042e+00;1.053396e+01;5.543750e+00;-4.076376e-01;-1.028365e+01;7.483247e+00;3.778294e+00;1.299116e+00;7.393402e+00
2;0.100000;-9.395743e+00;8.863128e+00;8.603222e-01;-1.759830e+00;5.123832e+00;7.561093e+00;7.129343e+00;6.856370e+00;3.016837e+00;-1.037621e+01;9.776701e+00;5.644732e+00;2.871794e+00;6.648613e+00
3;0.150000;-9.455342e+00;1.324411e+01;5.868698e+00;2.546869e+00;5.733798e+00;3.816792e+00;-3.737610e-01;6.212628e+00;8.967531e+00;-8.126220e+00;9.984241e+00;7.719505e+00;4.024395e+00;6.121788e+00
4;0.200000;-4.753231e+00;7.390594e+00;6.066196e+00;7.996992e+00;2.390175e-01;-2.272296e+00;1.318351e+00;8.291029e+00;1.265296e+01;-2.152824e+00;8.581220e+00;6.303519e+00;4.343964e+00;7.703407e+00
5;0.250000;-1.468848e+00;-5.119639e-01;9.091544e+00;5.635415e+00;-1.913314e+00;-5.230221e+00;5.530344e+00;1.007687e+01;1.108476e+01;4.777347e+00;3.109342e+00;6.941176e+00;3.858648e+00;7.128288e+00
6;0.300000;-1.796697e+00;-4.953802e+00;8.007360e+00;4.437659e-01;-2.765242e+00;-4.773559e+00;7.771682e+00;9.367721e+00;8.370200e+00;3.757708e+00;-1.404292e+00;8.188169e+00;1.038432e+00;5.155075e+00
7;0.350000;-2.127998e+00;-4.799513e+00;1.468102e+00;-1.713634e-01;-6.381433e+00;-1.904352e+00;3.249222e+00;3.979835e+00;4.015158e+00;-4.982277e+00;-4.332742e+00;4.664466e+00;-1.165221e+00;1.629501e+00
8;0.400000;-8.927741e-01;-3.306161e+00;-5.552958e+00;1.609546e+00;-2.485306e+00;-1.816444e-01;3.565650e+00;2.960274e+00;6.225782e+00;-4.555056e+00;-5.729847e-01;2.924843e+00;-2.811733e+00;-9.037781e-02
9;0.450000;-1.437284e+00;-5.533637e+00;-2.696614e+00;-7.823277e-02;-1.711708e+00;-5.059209e+00;9.337831e+00;4.123113e-01;4.958522e+00;-2.422051e-01;-3.086951e+00;3.507690e+00;-4.619371e+00;2.834793e+00
