frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.788506e+01;5.001517e+00;-8.754670e+00;1.539587e+00;3.834431e+00;-8.739214e+00;8.820328e+00;-1.054229e+00;-4.807733e+00;-1.909491e+00;-1.351540e+00;1.145514e+01;2.955514e+00;-8.895546e+00
1;0.010000;-1.767149e+01;7.126478e+00;-9.473117e+00;1.527451e+00;6.854342e+00;-7.113171e+00;6.044543e+00;-6.911143e-01;-3.876984e+00;9.057373e-02;-9.473996e-01;8.960788e+00;3.049213e+00;-6.632751e+00
2;0.020000;-1.873857e+01;7.212953e+00;-1.196458e+01;5.671577e-01;8.068667e+00;-4.498462e+00;4.877095e+00;-2.674541e+00;-2.311320e+00;8.170477e-01;-7.818174e-01;7.195899e+00;1.907519e+00;-5.546700e+00
3;0.030000;-1.919348e+01;6.907763e+00;-1.270619e+01;-1.887321e-02;7.965751e+00;-1.133451e+00;6.362238e+00;-7.241174e-01;-1.954550e+00;6.390601e-02;-1.590694e+00;6.313268e+00;-9.828019e-01;-4.403442e+00
4;0.040000;-2.117955e+01;5.046969e+00;-1.533337e+01;-3.412865e+00;4.163694e+00;-5.372677e+00;4.661398e+00;1.680818e-02;-5.238282e+00;-9.154096e-01;-2.827775e+00;6.809307e+00;-9.982109e-03;-4.068153e+00
5;0.050000;-2.198376e+01;6.310533e+00;-1.397774e+01;-6.052618e-01;5.975799e+00;-3.165327e+00;7.065470e+00;8.722270e-01;-2.314676e+00;3.279287e+00;-1.517803e+00;6.501920e+00;2.299463e+00;-3.347366e+00
6;0.060000;-2.293303e+01;6.367389e+00;-1.482275e+01;1.242743e-01;7.162774e+00;-2.491287e+00;8.123507e+00;-1.733007e-01;-3.327811e-01;5.316723e+00;-1.173470e+00;6.235315e+00;3.302667e-01;-2.765190e+00
7;0.070000;-2.333359e+01;6.780470e+00;-1.501782e+01;6.920490e-01;8.266378e+00;-2.075976e+00;1.049633e+01;1.675846e+00;1.698220e+00;5.482773e+00;-2.227606e+00;6.799673e+00;-1.738029e+00;-2.139381e+00
8;0.080000;-2.128454e+01;9.909785e+00;-1.232105e+01;4.390291e+00;8.725250e+00;-4.167392e-01;1.026492e+01;-9.148725e-01;-1.109077e+00;3.556337e+00;-4.469248e+00;6.987988e+00;-6.748629e-01;-6.318283e-01
9;0.090000;-2.234034e+01;8.982716e+00;-1.331987e+01;2.984801e+00;7.822535e+00;-5.776710e-01;1.095012e+01;1.132397e+00;-1.742195e+00;3.886459e+00;-3.956050e+00;3.341034e+00;7.028282e-01;-9.144516e-01
