frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.115147e+00;8.257534e+00;1.308271e+01;1.067523e+01;7.913233e+00;6.712511e+00;9.993962e+00;3.508957e+00;-4.402322e+00;-2.266799e+00;5.286246e+00;5.994081e+00;2.573221e-01;-2.556064e+01
1;0.010000;1.425323e-01;6.575146e+00;5.982828e+00;9.122858e+00;9.623564e+00;3.347379e+00;9.234161e+00;5.005162e+00;-2.568612e+00;-2.249419e+00;5.918127e+00;6.883349e+00;2.853982e+00;-2.730729e+01
2;0.020000;2.179914e+00;6.824120e+00;-1.151371e-01;9.977434e+00;1.293011e+01;3.645158e+00;1.145739e+01;6.473270e+00;-6.926541e-01;8.322201e-01;6.573800e+00;8.278773e+00;2.235963e+00;-2.884412e+01
3;0.030000;9.920341e+00;1.366810e+01;-9.719741e-01;3.740263e+00;4.535227e-01;-8.924476e+00;4.189084e+00;-1.035017e+00;-4.193200e+00;3.522333e+00;6.720505e+00;9.618707e+00;3.057485e-01;-2.425627e+01
4;0.040000;1.081134e+01;1.544439e+01;-8.635795e-01;-7.372163e+00;-8.137735e+00;5.258036e-02;-4.815367e+00;-2.507504e+00;-2.409676e+00;-5.308036e+00;8.234663e+00;6.191364e+00;2.633858e-02;-1.625256e+01
5;0.050000;8.430271e+00;1.362932e+01;-2.892500e+00;-9.638355e+00;-1.274659e+01;5.478256e+00;-6.820045e+00;-5.052939e+00;-1.378697e+00;-1.061542e+01;9.202666e+00;4.738289e+00;1.459218e+00;-9.214310e+00
6;0.060000;7.182627e+00;1.348165e+01;-4.422070e+00;-9.555277e+00;-1.457310e+01;8.335700e+00;-4.574284e+00;-3.048673e+00;2.938894e-01;-1.273654e+01;9.736447e+00;6.816342e+00;1.843596e+00;-4.838722e+00
7;0.070000;5.596457e+00;1.192090e+01;-8.483592e+00;-1.125024e+01;-1.866898e+01;6.496113e+00;-5.626617e+00;-5.616311e+00;-2.963511e+00;-1.628645e+01;4.313825e+00;5.043536e+00;2.781191e-01;-3.568237e+00
8;0.080000;5.213518e+00;1.397243e+01;-9.503193e+00;-1.002476e+01;-1.699436e+01;6.028948e+00;-3.229311e+00;-7.574176e+00;-6.145099e+00;-1.664910e+01;-4.526856e+00;1.539715e+00;-3.034946e+00;-3.120094e+00
9;0.090000;5.315369e+00;1.615236e+01;-8.469966e+00;-1.014348e+01;-1.218241e+01;5.689635e+00;-7.333736e-01;-6.581397e+00;-7.904885e+00;-1.230846e+01;-1.011658e+01;-4.236083e+00;-5.012739e+00;-1.704552e+00
10;0.100000;6.382795e+00;1.671322e+01;-8.352955e+00;-1.106285e+01;-8.567936e+00;4.452477e+00;3.634634e-01;-2.418797e+00;-7.245796e+00;-8.774595e+00;-1.090081e+01;-9.879344e+00;-4.351682e+00;-1.562363e+00
11;0.110000;8.170375e+00;1.728910e+01;-6.254709e+00;-9.144524e+00;-5.084705e+00;5.558599e+00;4.526149e+00;3.243847e+00;-6.516610e+00;-5.143612e+00;-7.213585e+00;-1.426424e+01;-3.452442e+00;-3.876900e+00
12;0.120000;1.063964e+01;1.537644e+01;-1.892481e-01;-9.954227e+00;-5.170515e+00;6.150768e+00;3.443778e+00;2.696861e+00;-1.218819e+01;-9.652489e+00;-7.789238e+00;-1.709412e+01;-1.943316e+00;-7.785454e+00
13;0.130000;1.273625e+01;1.331110e+01;4.838063e+00;-8.209625e+00;-2.849083e+00;6.661673e+00;3.708432e+00;2.229197e+00;-1.372359e+01;-7.456665e+00;-7.185414e+00;-1.352543e+01;-7.350788e-01;-1.005952e+01
14;0.140000;1.361437e+01;1.349097e+01;4.265831e+00;-6.163436e+00;-2.386708e+00;6.451233e+00;4.543879e+00;1.288754e+00;-1.240606e+01;-4.443457e+00;-5.860307e+00;-1.221227e+01;3.972468e-01;-1.129539e+01
15;0.150000;1.438255e+01;1.501105e+01;4.781909e+00;-4.768465e+00;-2.030398e+00;5.290977e+00;5.928241e+00;6.423111e-01;-1.054690e+01;-5.291384e+00;-8.078921e+00;-1.422607e+01;-1.542367e+00;-1.264256e+01
16;0.160000;1.365647e+01;1.636173e+01;6.074160e+00;-1.903429e+00;-6.686764e-01;1.517339e+00;2.074750e+00;6.521564e-01;-9.882210e+00;-8.552225e+00;-1.159485e+01;-1.317585e+01;-4.952906e+00;-1.428284e+01
17;0.170000;6.269236e+00;1.054401e+01;9.300141e-01;1.841067e+01;1.350495e+01;-2.185110e+01;5.143315e+00;6.331931e+00;-8.771887e+00;-1.420203e+01;-8.239990e+00;-2.425430e+00;-5.077125e+00;-8.111031e+00
