frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.687141e+01;1.082445e+01;6.668633e+00;-3.599451e+00;-1.352239e+01;-2.571150e+00;6.488095e+00;2.706146e-01;5.038907e+00;5.991406e+00;-6.854594e-01;-1.107540e+01;9.399938e+00;-1.207236e+01
1;0.010000;1.933191e+01;3.245277e-01;1.406367e+01;3.401270e-01;-1.404657e+01;1.036083e+01;-2.478685e+00;7.087133e+00;-5.425451e+00;1.042064e+01;-2.823273e+00;-9.123746e+00;6.261988e+00;-8.652397e+00
2;0.020000;1.422853e+01;-2.073289e+00;1.585296e+01;2.878964e+00;-1.281354e+01;1.825722e+01;-6.189742e+00;1.072840e+01;-1.063732e+01;8.531263e+00;-7.548645e+00;-1.082264e+01;4.225795e+00;-3.986084e+00
3;0.030000;1.055142e+01;-2.453091e+00;1.362074e+01;5.063467e+00;-1.191995e+01;2.177807e+01;-4.974240e+00;1.271394e+01;-1.314288e+01;1.869423e+00;-1.138396e+01;-1.440141e+01;2.303465e+00;-1.579391e+00
4;0.040000;7.861382e+00;-3.546882e+00;9.285841e+00;7.961326e+00;-1.239194e+01;2.383371e+01;-2.836236e+00;1.512169e+01;-1.232612e+01;-5.111921e+00;-1.563369e+01;-1.947999e+01;-2.157202e+00;-7.597504e-01
5;0.050000;5.998213e+00;-2.140652e+00;6.613216e+00;9.994583e+00;-1.278749e+01;2.439846e+01;-1.216698e+00;1.099996e+01;-9.134422e+00;-7.116320e+00;-1.624572e+01;-1.671173e+01;-2.633007e+00;2.708282e-01
6;0.060000;4.032298e+00;-3.569851e-01;5.397295e+00;1.103782e+01;-1.108980e+01;2.175699e+01;3.309679e+00;4.583038e+00;-3.634741e+00;-8.557630e+00;-1.497522e+01;-1.095395e+01;-4.138549e+00;2.112709e+00
7;0.070000;1.927432e+00;-1.143992e+00;2.863562e+00;8.996980e+00;-1.140333e+01;1.874551e+01;2.647978e+00;-5.205913e-01;-1.188618e+00;-1.303974e+01;-1.303569e+01;-1.328134e+01;-6.654958e+00;3.445892e+00
8;0.080000;2.333485e+00;1.309201e+00;9.306605e-01;5.222056e+00;-8.941735e+00;1.620559e+01;6.047082e-01;-4.308130e+00;1.253214e+00;-1.225624e+01;-4.107769e+00;-1.032684e+01;-3.019342e+00;5.502708e+00
9;0.090000;2.078964e+00;3.881264e-01;1.722794e+00;-3.598459e+00;-1.195745e+01;1.267185e+01;-5.984060e+00;-5.373424e+00;-3.742481e+00;-1.006084e+01;-1.226431e+00;-1.079433e+01;-1.075958e+00;7.086960e+00
10;0.100000;1.876371e+00;-2.635480e+00;6.217751e+00;-7.890887e+00;-1.638576e+01;8.960945e+00;-1.014263e+01;2.111523e+00;-7.869946e+00;-6.174026e+00;-3.515230e+00;-8.854630e+00;2.867474e+00;7.728714e+00
11;0.110000;3.175808e+00;-3.375677e+00;1.080466e+01;-9.737262e+00;-1.559526e+01;1.105778e+01;-7.696127e+00;1.375491e+01;-8.029509e+00;-3.084296e+00;-5.402201e+00;-5.823780e+00;1.069686e+01;7.886864e+00
12;0.120000;4.108783e+00;-4.257002e+00;8.816568e+00;-1.231452e+01;-1.374321e+01;1.331579e+01;-8.887627e+00;1.445991e+01;-1.029586e+01;-2.072099e+00;-5.543382e+00;-7.627889e+00;1.155287e+01;7.439934e+00
13;0.130000;5.268095e+00;-5.885792e+00;8.148306e+00;-1.427989e+01;-1.340764e+01;1.555355e+01;-9.974180e+00;1.428135e+01;-1.376628e+01;-9.803016e-01;-6.192192e+00;-7.060264e+00;1.255719e+01;7.061050e+00
14;0.140000;6.191272e+00;-6.077753e+00;7.565614e+00;-1.515247e+01;-1.323049e+01;1.640842e+01;-9.707926e+00;1.225722e+01;-1.575378e+01;-8.787029e-01;-6.272820e+00;-5.582503e+00;1.318636e+01;6.638535e+00
15;0.150000;6.390662e+00;-6.590322e+00;8.479906e+00;-1.341346e+01;-1.236469e+01;1.544023e+01;-1.055656e+01;9.962944e+00;-1.793155e+01;2.183983e+00;-7.769135e+00;-2.998227e+00;1.197365e+01;5.951332e+00
16;0.160000;4.817724e+00;-6.202658e+00;1.316592e+01;-8.148772e+00;-6.000018e+00;1.301415e+01;-6.746768e+00;4.876999e+00;-1.627578e+01;2.556610e+00;-1.007464e+01;-4.136419e-01;9.328302e+00;5.301323e+00
17;0.170000;3.180940e+00;-7.162060e+00;1.508250e+01;-5.594083e+00;-2.861212e+00;1.119448e+01;-8.558784e+00;-2.849207e-01;-2.276575e+01;-2.001039e+00;-1.527175e+01;-2.696857e+00;7.487523e+00;2.773323e+00
18;0.180000;2.617356e+00;-6.764360e+00;1.735999e+01;-2.263386e+00;1.220878e+00;9.916683e+00;-5.449241e+00;-1.036649e+00;-2.414570e+01;-9.812324e-01;-1.283958e+01;-7.198534e-01;9.204526e+00;1.721779e+00
19;0.190000;1.733393e+00;-4.776718e+00;1.667632e+01;-1.573474e+00;3.167189e+00;3.043711e+00;7.974548e-01;-6.022521e+00;-1.534174e+01;-1.295607e+00;-9.609040e+00;-1.731396e+00;6.147407e+00;2.657608e+00
20;0.200000;3.391200e+00;-5.599186e+00;1.466644e+01;-2.439142e+00;3.781119e+00;-1.888290e+00;-3.151195e+00;-8.238981e-01;-3.734217e+00;7.062375e+00;-8.372451e+00;-6.388528e+00;4.127008e+00;4.381897e+00
21;0.210000;3.146833e+00;-8.921492e+00;1.285649e+01;-4.116119e+00;2.048331e+00;-6.839603e+00;-9.305384e+00;7.826490e+00;-2.144411e+00;7.375604e+00;-5.862370e+00;-4.145652e+00;1.453998e+00;6.877472e+00
22;0.220000;1.991597e+00;-1.186558e+01;1.310868e+01;-7.832662e+00;-2.224363e+00;-7.985838e+00;-1.175201e+01;1.266861e+01;-8.541193e+00;8.424515e+00;-6.805162e+00;2.410040e+00;6.088346e-01;8.038437e+00
23;0.230000;9.143791e-01;-1.044390e+01;1.457478e+01;-9.265193e+00;-5.107221e+00;-2.410370e+00;-7.235732e+00;1.463653e+01;-9.604033e+00;1.019320e+01;-4.398100e+00;9.441736e+00;3.259207e+00;7.991806e+00
24;0.240000;-2.451997e-01;-6.718111e+00;1.645885e+01;-1.132669e+01;-7.452077e+00;2.988702e+00;-7.521336e+00;1.004883e+01;-1.437880e+01;1.247089e+01;-5.446951e+00;6.271813e+00;2.099867e+00;7.280182e+00
25;0.250000;-9.496861e-01;-3.005342e+00;1.879939e+01;-1.190941e+01;-5.443229e+00;7.403039e+00;-8.692570e+00;6.774298e+00;-1.708047e+01;1.704722e+01;-6.735708e+00;3.356658e+00;2.555629e+00;6.567062e+00
26;0.260000;-2.900906e+00;-2.969646e-01;1.575965e+01;-1.384264e+01;-7.722930e+00;5.731850e+00;-9.805473e+00;2.058442e+00;-1.799691e+01;1.348148e+01;-1.110337e+01;-2.218473e+00;1.755137e+00;5.335175e+00
27;0.270000;-2.118976e+00;3.042415e+00;1.541189e+01;-9.843720e+00;-9.166001e+00;4.927977e+00;-5.708800e+00;6.014043e+00;-1.287553e+01;1.520521e+01;-1.016225e+01;-3.025982e+00;3.753340e+00;3.719223e+00
