frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-5.139914e+00;4.914335e+00;-1.410331e+00;-1.715052e+00;4.810715e-01;2.224238e+00;1.639196e+01;-4.196860e+00;-2.946867e+00;2.804565e-01;6.534217e+00;-3.817212e+00;-1.023955e-01;3.776520e+00
1;0.100000;-7.661886e+00;8.276951e+00;2.330575e+00;-1.276703e+00;-3.230811e+00;-4.562023e+00;1.034976e+01;-5.097337e-01;8.527489e-01;2.638669e+00;1.134515e+01;-8.407177e-01;4.002914e-01;2.993546e+00
2;0.200000;-4.646965e+00;7.334846e+00;1.558021e+00;-2.380560e+00;-4.908140e+00;-6.955229e+00;6.043973e+00;-6.293039e-01;2.717340e+00;3.873701e+00;1.066253e+01;-1.659024e+00;-1.372390e+00;2.574249e+00
3;0.300000;-9.415579e-01;-8.367872e-02;1.201134e+00;-6.570646e+00;-3.404605e+00;-4.592800e+00;7.573100e+00;1.259004e-01;1.333664e+00;6.278130e+00;6.050274e+00;-1.745772e+00;-4.350210e+00;2.189629e+00
4;0.400000;8.136692e-01;-5.305012e+00;-7.457507e-01;-5.057190e+00;-3.097210e-01;-3.413774e+00;1.061402e+01;2.585483e+00;1.281911e+00;7.207720e+00;1.895240e+00;-2.784309e+00;-8.710005e+00;1.754776e+00
5;0.500000;2.774209e+00;-4.246112e+00;-3.510475e+00;5.533600e-01;1.815934e+00;-3.131420e+00;1.122184e+01;-6.788828e-01;1.438151e+00;2.236362e+00;3.476299e+00;-3.793610e+00;-3.159894e+00;3.969498e-01
6;0.600000;2.077934e+00;-7.836452e-01;-6.554359e+00;2.789462e+00;1.394608e+00;-4.901085e-01;6.319343e+00;5.060426e-01;-1.871304e+00;-5.597658e-01;2.568025e+00;-3.503383e-01;1.747956e-01;-5.858078e-01
7;0.700000;4.090853e-01;4.379560e+00;-6.261448e+00;5.592463e+00;-3.580453e+00;2.948218e+00;2.713303e+00;1.268027e+00;-3.105667e+00;-3.708344e-01;2.354556e+00;7.743149e-01;-2.108776e+00;-1.172951e+00
8;0.800000;-1.046557e+00;1.224849e+01;-3.082878e+00;7.758442e+00;-6.052613e+00;4.382313e+00;4.368944e-01;-1.433682e+00;-9.372311e-01;3.922844e-01;2.902684e+00;-9.222659e-02;-4.626383e+00;-5.025635e+00
9;0.900000;8.010216e-01;1.410106e+01;-1.453228e+00;8.338757e+00;-1.046316e+00;5.686730e+00;-1.308836e+01;-5.281975e+00;5.440464e+00;-3.820341e+00;8.055134e-01;3.991389e-02;-2.927091e+00;-8.138542e+00
10;1.000000;3.166855e+00;1.119096e+00;5.296181e+00;1.089119e+00;2.855094e+00;6.918154e+00;-1.901183e+01;-4.337614e+00;1.637649e+00;-5.300473e+00;-2.879651e+00;-1.496647e+00;1.241519e+00;-4.639076e+00
11;1.100000;1.186088e+00;-1.874261e+00;8.203149e+00;-1.458324e+00;4.053546e+00;5.548579e+00;-1.788367e+01;-5.746428e+00;6.013584e-01;-3.906684e+00;-4.782981e+00;-2.751667e+00;3.699255e+00;-1.832130e+00
12;1.200000;-1.287006e+00;7.887897e-01;6.653058e+00;-6.658497e-01;2.892555e+00;2.191589e+00;-1.440099e+01;-8.001900e+00;2.871893e+00;-4.109966e+00;-3.445392e+00;-2.193626e+00;5.991265e+00;-9.813766e-01
13;1.300000;4.634590e-01;-2.153902e+00;-2.680925e+00;4.139423e-01;3.472066e+00;-1.012211e+00;-7.838758e+00;-1.797392e+00;1.497994e+00;-9.939756e+00;-6.597298e+00;7.813458e-01;8.905599e+00;8.875427e-01
14;1.400000;1.095689e+00;-9.836197e+00;-4.967635e+00;-1.047941e+00;3.389802e+00;2.047520e-01;-2.334014e+00;6.536304e+00;-1.561483e+00;-7.583534e+00;-1.102957e+01;2.810855e+00;6.479145e+00;3.216599e+00
15;1.500000;1.228039e+00;-1.354043e+01;-2.720238e+00;-2.983082e+00;1.687940e+00;1.821795e+00;1.408330e+00;1.289980e+01;-2.820763e+00;3.520737e-01;-1.222154e+01;6.219299e+00;1.299589e+00;3.790031e+00
16;1.600000;2.766624e+00;-1.103253e+01;5.539131e-01;-1.655113e+00;-1.013910e+00;3.204250e-02;2.380195e+00;1.014212e+01;-2.333843e+00;4.606963e+00;-7.541203e+00;7.427345e+00;-5.952444e-01;2.029312e+00
17;1.700000;3.941228e+00;-4.307366e+00;7.591236e+00;-1.725119e+00;1.503958e+00;-7.800842e+00;-8.950806e-01;-1.449909e+00;-4.096001e+00;7.724978e+00;-9.684181e-02;3.472076e+00;-2.390761e-01;-1.233650e+00
