frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;9.176040e-01;2.172001e+00;-1.397363e+01;5.725226e+00;5.075002e+00;3.857516e+00;1.027513e+01;-2.186950e+00;3.143285e+00;2.405502e+00;3.297791e+00;-3.214422e+00;4.479237e+00;5.396400e+00
1;0.100000;2.708095e+00;-8.814941e+00;-1.157336e+01;-2.599591e+00;6.072228e+00;1.340939e+00;5.652469e+00;-2.545355e+00;-1.322513e+00;2.612765e+00;-3.578384e+00;-1.210109e+00;2.342819e+00;3.658539e+00
2;0.200000;-2.130542e-01;-9.935715e+00;-1.279591e+01;-3.225101e+00;4.338236e+00;1.829651e+00;2.151888e+00;-3.006356e+00;-2.949452e-01;-3.935125e+00;-3.694769e+00;-2.524672e+00;8.790301e-01;2.273048e+00
3;0.300000;-4.351397e+00;-2.502556e+00;-5.675912e+00;4.743247e-01;4.193944e+00;4.599301e+00;1.244041e+00;-1.686451e+00;6.863725e+00;-9.042923e+00;2.910706e-01;1.420343e+00;2.992392e-02;1.286118e+00
4;0.400000;-4.087367e+00;2.036693e+00;-2.690185e+00;2.476416e+00;4.053114e+00;6.278451e+00;3.701998e+00;8.459110e-01;1.076456e+01;-5.033133e+00;6.673476e+00;1.572910e+00;-4.560483e+00;9.150543e-01
5;0.500000;-2.703128e+00;7.191497e+00;-1.101863e+01;9.052204e+00;6.418787e+00;6.144626e+00;7.978296e+00;2.482996e+00;1.441835e+01;-2.104481e+00;9.356164e+00;-1.281245e+00;-3.375859e+00;1.704147e+00
6;0.600000;-1.922405e+00;1.367959e+01;-1.569030e+01;1.218379e+01;9.888108e+00;1.629357e+00;1.449205e+01;2.907413e+00;1.087834e+01;4.330796e+00;4.995413e+00;-5.339958e+00;2.590158e+00;1.516998e+00
7;0.700000;-1.152479e+00;1.360266e+01;-1.399111e+01;6.613649e+00;9.698730e+00;7.925053e+00;1.381849e+01;2.056074e-02;9.394063e+00;4.929632e+00;5.016911e+00;-7.373936e+00;3.191608e+00;1.116547e+00
8;0.800000;7.926831e-01;2.023320e-01;-9.212966e+00;2.301949e+00;1.076710e+01;1.283362e+01;1.094818e+01;8.087859e-01;6.012256e+00;2.479053e+00;3.056410e+00;-6.653169e+00;1.568183e+00;2.309822e+00
9;0.900000;2.082125e+00;-6.389883e+00;-6.242929e+00;-6.212442e-01;1.135521e+01;1.343388e+01;7.054900e+00;3.073069e+00;8.815713e-01;4.662128e+00;-1.796857e+00;-4.492573e+00;1.824253e+00;2.212463e+00
