frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;9.957040e+00;1.885571e-01;-2.779007e+00;-9.148207e+00;-6.997842e+00;-1.051084e+01;-4.163245e+00;-8.046913e-02;6.616657e+00;4.180693e+00;-2.220588e+00;-8.124452e-01;-4.931765e+00;3.153976e+00
1;0.020000;1.104875e+01;1.364580e+00;-4.270164e+00;-1.335867e+01;-1.104717e+01;-8.575989e+00;-3.508181e+00;-7.443622e+00;2.713878e+00;2.759315e+00;-5.032510e+00;-2.876917e+00;-8.740527e+00;1.557663e+00
2;0.040000;1.208290e+01;1.928490e+00;-2.426262e+00;-1.146356e+01;-8.945935e+00;-6.810310e+00;-5.710428e-01;-5.881433e+00;5.650784e+00;6.013010e+00;-3.549030e+00;1.008169e+00;-8.251343e+00;1.625328e+00
3;0.060000;1.114841e+01;-1.347212e+00;-2.684070e+00;-1.300348e+01;-8.910830e+00;-8.563318e+00;-3.948007e+00;-7.341189e+00;3.624223e+00;4.131168e+00;-2.619699e+00;2.950943e+00;-7.329826e+00;9.087448e-01
4;0.080000;9.664892e+00;-3.835622e+00;-1.419950e+00;-1.314612e+01;-8.975877e+00;-8.700214e+00;-5.347957e+00;-9.716153e+00;1.444519e+00;3.329194e+00;1.057708e+00;6.543353e+00;-2.393281e+00;-1.115189e-01
5;0.100000;9.194120e+00;-3.534005e+00;2.017943e+00;-9.901602e+00;-9.499480e+00;-5.219629e+00;-4.139492e+00;-7.733775e+00;2.044297e+00;3.773662e+00;3.447570e+00;7.586607e+00;-5.812910e-01;-1.298172e+00
6;0.120000;8.755205e+00;-5.174808e+00;1.976593e+00;-9.712135e+00;-1.215280e+01;-5.433451e+00;-8.331455e+00;-7.361018e+00;8.206792e-01;1.098525e+00;3.105183e-01;1.681886e+00;-2.618524e+00;-2.573792e+00
7;0.140000;9.553774e+00;-4.352375e+00;2.784999e+00;-7.379232e+00;-8.269128e+00;-2.249727e+00;-9.014721e+00;-7.651284e+00;-2.335815e-01;7.328053e-01;6.875300e-02;1.282776e+00;-2.509165e-01;-2.736084e+00
8;0.160000;8.862263e+00;-5.377764e+00;-5.870552e-01;-9.102201e+00;-8.032950e+00;-4.712270e+00;-1.151045e+01;-1.278500e+01;-5.626896e+00;-9.124641e-01;-3.412731e-01;2.600942e+00;5.194404e+00;-3.996109e+00
9;0.180000;9.133333e+00;-4.276567e+00;-1.172853e+00;-7.900272e+00;-3.818883e+00;-2.803830e+00;-8.660733e+00;-1.035198e+01;-9.154989e+00;1.824033e+00;7.393790e-01;3.391115e+00;1.011059e+01;-6.022919e+00
