frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;9.060310e+00;5.259650e-01;-3.439710e+00;-1.152226e+01;2.429915e+00;-4.652689e+00;-1.107299e+01;-3.362613e+00;-1.070503e+01;2.601141e+00;-6.456633e-01;-3.863478e+00;-1.686711e+00;-9.018532e+00
1;0.020000;8.995453e+00;8.592465e-01;-1.460971e+00;-7.733083e+00;3.099538e+00;-4.347892e+00;-7.588378e+00;-2.285616e+00;-8.421164e+00;3.921883e+00;2.171135e+00;-4.549256e+00;-2.724539e+00;-7.495262e+00
2;0.040000;8.281338e+00;3.524270e+00;5.954211e-01;1.804676e-01;3.890595e+00;-5.195656e-01;-3.611931e+00;1.392107e-01;-3.936148e+00;5.581748e+00;5.946038e+00;-3.496180e+00;-2.376438e+00;-9.265198e+00
3;0.060000;7.571229e+00;6.742571e+00;-1.412731e+00;1.043992e+01;1.730598e+00;2.500146e+00;1.467053e+00;1.176876e+00;4.025249e+00;1.428272e+00;7.376243e+00;4.854302e-01;3.132279e+00;-8.691704e+00
4;0.080000;5.364788e+00;5.916813e+00;-8.982520e-01;1.204410e+01;1.406208e+00;2.086780e+00;3.441884e+00;1.847070e+00;6.293041e+00;1.279309e+00;4.768842e+00;-3.847747e-01;2.648528e+00;-3.078918e+00
5;0.100000;3.713959e+00;4.649725e+00;-1.051285e+00;1.343809e+01;1.279889e+00;1.356749e+00;2.956774e+00;1.659759e+00;6.275108e+00;-4.330592e-01;1.925558e+00;-1.749616e+00;2.119597e+00;2.129288e-01
6;0.120000;2.989309e+00;3.471894e+00;-9.465566e-01;1.414142e+01;2.501571e+00;1.283574e+00;2.053926e+00;1.458797e+00;6.551541e+00;5.066559e-01;3.219304e+00;-1.318493e+00;4.478965e+00;1.381004e+00
7;0.140000;6.542520e+00;1.702653e+00;-3.841437e+00;8.997920e+00;7.120118e-01;1.672912e+00;1.930990e-01;3.441036e+00;1.103196e+01;3.937215e+00;4.632318e+00;-1.294529e+00;3.747589e+00;2.506187e+00
8;0.160000;1.089767e+01;-5.270189e+00;-7.644375e+00;9.913473e-01;-2.283344e+00;7.983813e-01;-5.616287e+00;5.300564e+00;1.209982e+01;2.682034e+00;6.824086e-01;7.554059e-01;4.619219e-01;6.055931e+00
9;0.180000;1.015333e+01;-1.155697e+01;-7.224647e+00;-4.658151e+00;-4.281334e+00;-4.132056e+00;-5.582510e+00;4.255380e+00;7.357567e+00;3.419724e+00;-4.260626e+00;-1.232762e-01;-2.911469e+00;8.687218e+00
