frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.116873e+00;-1.317523e+00;6.635841e+00;5.640000e+00;6.069138e+00;9.024505e+00;9.938807e+00;1.575011e-01;1.050169e+01;2.610421e+00;6.902151e-01;5.889037e+00;6.188789e+00;-1.230029e+01
1;0.020000;-8.953352e-01;-1.230038e+00;5.840239e+00;5.743200e+00;7.017662e+00;8.601579e+00;1.030775e+01;2.558873e-01;7.730515e+00;8.641572e-01;1.760798e-01;6.324429e+00;6.703845e+00;-1.231032e+01
2;0.040000;-3.662312e+00;3.145172e+00;-8.909750e-02;1.346194e+01;3.403211e+00;1.188217e+01;8.612760e+00;3.843862e+00;3.032573e+00;2.982232e+00;2.485179e+00;5.076255e+00;5.895741e+00;-1.076313e+01
3;0.060000;-8.660507e+00;7.499859e+00;-4.827480e+00;1.410658e+01;2.943654e+00;1.348683e+01;8.741768e+00;4.389418e+00;1.741662e+00;5.336193e+00;5.670680e+00;5.595067e+00;4.443143e+00;-7.324944e+00
4;0.080000;-1.324310e+01;8.811995e+00;-5.348329e+00;1.174276e+01;2.225265e+00;1.271265e+01;7.045726e+00;4.541365e+00;4.487919e+00;5.908161e+00;8.001007e+00;7.360222e+00;5.517477e+00;-3.901474e+00
5;0.100000;-1.596248e+01;5.949537e+00;-6.207253e+00;8.511905e+00;6.916928e-01;1.234140e+01;3.430806e+00;4.094725e+00;8.657681e+00;3.362469e+00;8.177568e+00;6.581699e+00;3.387327e+00;-3.208847e-01
6;0.120000;-1.492014e+01;2.615590e+00;-8.819321e+00;3.120590e+00;-2.432542e+00;8.548237e+00;1.737712e+00;4.896236e+00;1.401596e+01;4.161035e+00;9.846494e+00;7.162112e+00;1.119214e+00;3.715416e+00
7;0.140000;-1.073998e+01;2.825139e+00;-8.748110e+00;-4.359651e-01;-2.347691e+00;5.025395e+00;2.897930e-01;1.254442e-01;7.557303e+00;-3.744771e+00;4.540782e+00;6.847335e+00;2.833486e+00;6.639290e+00
8;0.160000;-2.868022e+00;1.986584e+00;-1.312159e+01;-7.571068e+00;-1.519370e+00;2.505962e+00;1.918926e-01;-3.241142e+00;-1.682311e+00;-9.406396e+00;-2.015724e+00;5.111372e+00;6.703870e+00;8.803146e+00
9;0.180000;5.111538e+00;-2.803561e+00;-1.571148e+01;-1.127702e+01;2.864232e+00;-1.363394e+00;2.201706e+00;-3.850014e+00;-7.428437e+00;-3.604989e+00;-4.687981e+00;1.865550e+00;8.806719e+00;9.720421e+00
10;0.200000;8.034106e+00;-7.135780e+00;-1.446311e+01;-1.377899e+01;7.623956e+00;-4.045027e+00;6.221646e+00;-4.004372e+00;-9.655449e+00;2.256632e+00;-7.981708e+00;2.869848e+00;7.036714e+00;9.708290e+00
11;0.220000;8.597979e+00;-8.023475e+00;-1.313735e+01;-1.310657e+01;9.873709e+00;-3.563212e+00;9.421288e+00;-2.114353e+00;-9.638921e+00;6.680147e+00;-8.513419e+00;3.095069e+00;5.876429e+00;8.072502e+00
12;0.240000;1.028893e+01;-5.178821e+00;-1.056703e+01;-1.115199e+01;7.059184e+00;-4.753440e+00;9.847382e+00;-2.195477e+00;-7.064929e+00;8.455500e+00;-9.316494e+00;1.719354e+00;4.449864e+00;5.301254e+00
13;0.260000;8.251432e+00;-2.738281e+00;-7.340351e+00;-7.584870e+00;1.991274e+00;-4.236963e+00;7.459434e+00;-1.489327e+00;-5.287820e+00;1.045871e+01;-1.313312e+01;2.044385e+00;-2.420203e+00;3.736259e+00
14;0.280000;5.802529e+00;-3.096897e+00;-8.220377e+00;-3.408519e+00;1.415095e+00;-3.089678e+00;4.708305e+00;1.590175e+00;-2.436258e+00;9.845566e+00;-1.508422e+01;8.042283e-01;-7.391793e+00;3.863136e+00
15;0.300000;6.465688e+00;-1.703014e+00;-8.793023e+00;-9.394436e-01;-1.767147e+00;-4.311413e+00;4.392672e-01;-5.715325e-01;-1.035086e+00;9.368494e+00;-1.512754e+01;1.500029e+00;-8.119420e+00;3.196640e+00
16;0.320000;5.995703e+00;2.349631e+00;-9.042205e+00;1.536706e+00;-3.170063e+00;-3.721188e+00;-9.429874e-01;-2.350219e+00;3.575244e+00;4.866148e+00;-9.728786e+00;-2.820696e+00;-4.633920e+00;8.612976e-01
17;0.340000;-1.466924e+00;7.921166e+00;-6.436664e+00;-9.013889e-01;-2.293541e+00;7.046313e-01;3.231355e+00;-2.763973e+00;5.442389e+00;-3.025460e+00;1.001658e+00;-6.332049e+00;-3.007940e+00;2.452499e+00
18;0.360000;-3.018987e+00;7.236178e+00;-7.153410e+00;-2.673285e+00;-6.000439e+00;-2.246170e+00;1.132348e+00;-5.969188e+00;1.596069e+00;-4.405442e+00;3.356102e+00;-4.024774e+00;-2.963231e+00;6.050835e+00
19;0.380000;-1.526217e+00;8.004500e+00;-6.146079e+00;-2.883997e+00;-1.014198e+01;-7.348015e+00;-2.141584e+00;-7.208743e+00;4.565084e-01;-4.211637e+00;4.814723e+00;-7.958837e-01;-2.234832e+00;6.306145e+00
20;0.400000;9.977837e-01;8.730029e+00;-8.100691e-01;-1.717457e+00;-1.057335e+01;-1.114557e+01;-3.761866e+00;-4.281240e+00;7.005339e-01;-1.712539e+00;2.834467e+00;2.558348e+00;-4.278681e+00;3.668556e+00
21;0.420000;7.476845e-01;6.424111e+00;9.372381e+00;-6.809404e+00;-3.880322e+00;-8.343706e+00;-8.815776e+00;-3.246602e-01;1.203762e-01;-1.243557e+00;3.627671e+00;1.020410e+00;-7.491464e+00;1.127396e+00
