frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;3.348725e+00;-5.837445e+00;-1.150547e+01;2.701396e+00;3.050363e+00;3.723102e+00;7.849435e+00;2.046799e+00;-2.391994e+00;-3.470394e+00;-1.442530e+00;-1.882425e+00;5.792212e+00;-1.094864e+00
1;0.050000;-1.349525e+00;-6.820351e+00;-8.850560e+00;-2.526847e+00;4.982869e+00;4.775267e-01;8.104233e+00;7.740465e+00;-4.406095e+00;-7.885611e+00;-1.826494e+00;-4.027119e-01;2.123829e+00;1.823662e+00
2;0.100000;-7.915389e+00;-2.841260e+00;-6.457480e+00;-6.329031e+00;6.753334e+00;4.214129e+00;3.921222e+00;6.974062e+00;-4.029716e+00;-1.196103e+01;-5.548423e+00;4.875040e-01;-1.347237e+00;5.322060e+00
3;0.150000;-1.220517e+01;2.339986e+00;-4.432402e-01;-6.449642e+00;7.299352e+00;9.578056e+00;2.404152e+00;6.702361e+00;-1.150257e+00;-1.068974e+01;-6.281089e+00;4.325782e+00;-1.064611e+00;5.094780e+00
4;0.200000;-1.418472e+01;7.036739e+00;9.099819e+00;-1.208997e+00;3.348758e+00;7.260228e+00;-8.139210e-01;5.034238e+00;4.400306e-01;-5.666028e+00;-2.971715e+00;9.080079e+00;2.947578e+00;2.719017e+00
5;0.250000;-1.018327e+01;6.145831e+00;1.150803e+01;3.590657e+00;-5.006485e+00;-5.621121e+00;-8.159798e+00;2.700508e+00;-4.685119e-01;-8.666534e-01;7.240057e-01;7.327633e+00;-6.659107e-01;1.706642e+00
6;0.300000;-3.585766e+00;-3.579378e-01;8.971800e+00;3.096520e+00;-1.116442e+01;-5.659394e+00;-8.365736e-01;7.436189e+00;-2.591149e+00;1.381942e+00;7.081095e+00;4.658425e+00;-1.010435e+00;1.158844e+00
7;0.350000;-5.186682e-01;-5.758527e+00;5.581274e+00;1.667244e+00;-1.802569e+01;-4.042295e+00;-2.991096e+00;6.238795e+00;3.711783e-01;-5.534331e+00;1.008457e+01;9.946527e-01;2.628032e+00;8.018875e-01
8;0.400000;1.681644e+00;-6.326086e+00;3.328907e+00;2.841886e+00;-1.486506e+01;-2.254302e+00;-4.327366e+00;5.010160e+00;6.166041e+00;-5.375655e+00;4.534585e+00;2.208519e-01;4.073533e+00;8.629761e-01
9;0.450000;1.742936e+00;-3.029669e+00;2.698256e+00;3.163848e+00;-6.877102e+00;-8.526411e-01;-1.692152e+00;4.669108e+00;9.217510e+00;1.085367e-01;-1.728670e+00;2.684293e+00;2.861819e+00;-4.437256e-02
