frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.582330e+01;1.299421e+01;-4.194235e+00;1.300089e+01;-7.364486e+00;4.397658e+00;4.386478e+00;1.406418e+01;4.607874e+00;5.268120e+00;8.274385e+00;6.839003e+00;6.365404e-01;-4.656105e+00
1;0.050000;-6.736959e+00;1.134820e+01;-1.105508e+01;4.200457e+00;-1.021603e+01;8.912590e+00;2.008980e+00;5.806453e+00;4.368643e+00;4.404701e+00;-4.519539e-01;-1.365430e+00;-4.139611e+00;1.657356e+00
2;0.100000;-2.076020e+00;7.179815e+00;-1.038836e+01;-2.101688e+00;-7.593430e+00;1.525229e+01;-1.296457e+00;3.671149e+00;5.834172e+00;3.405498e+00;-6.118488e-01;-4.233939e+00;-3.798996e+00;5.891266e+00
3;0.150000;5.928755e-01;2.377605e+00;-8.186554e+00;-7.672207e+00;-3.064834e+00;1.765556e+01;-2.335794e+00;3.829306e+00;5.702277e+00;1.469226e+00;1.622515e+00;-5.408564e+00;-3.397825e+00;6.498726e+00
4;0.200000;3.539407e+00;-2.302440e+00;-4.003294e+00;-1.343505e+01;2.926595e+00;1.534929e+01;1.183485e+00;1.575689e+00;7.187994e+00;-3.348324e-01;6.206264e+00;-2.901950e+00;-2.239799e+00;4.259384e+00
5;0.250000;5.768915e+00;-3.559659e+00;-1.119490e+00;-1.893342e+01;4.980926e+00;1.047535e+01;5.664408e+00;-4.087515e+00;6.797918e+00;-1.223580e+00;8.275040e+00;5.538960e-01;-2.155849e+00;2.345642e+00
6;0.300000;5.006644e+00;-4.325695e+00;-2.910910e+00;-1.795078e+01;6.855022e+00;1.078542e+01;2.440579e+00;-3.566360e+00;2.812078e+00;8.404645e-01;4.970897e+00;-1.915274e+00;-1.324539e+00;4.414528e+00
7;0.350000;4.510599e+00;-5.288975e+00;-4.172892e+00;-1.599661e+01;6.292563e+00;1.030607e+01;-1.273798e+00;-1.606193e+00;1.179047e+00;1.615692e+00;5.867882e-01;-4.855444e+00;6.975937e-02;5.554428e+00
8;0.400000;3.735039e+00;-4.576720e+00;-2.950155e+00;-1.133269e+01;1.151840e+00;4.662862e+00;-6.589365e+00;6.209671e-01;-1.372318e+00;2.423421e+00;-4.118103e+00;-4.329991e+00;2.278798e+00;5.400406e+00
9;0.450000;1.197521e+00;-2.294892e+00;4.004491e+00;-4.932732e+00;-4.190303e+00;-3.282171e+00;-1.058799e+01;5.613741e+00;-2.782248e+00;3.490692e+00;-7.933099e+00;-1.762251e+00;4.257777e+00;5.167015e+00
10;0.500000;-2.260765e+00;3.019263e+00;7.988238e+00;2.839442e+00;-6.407002e+00;-5.286737e+00;-1.174147e+01;7.683639e+00;-2.233178e+00;-1.182206e-01;-6.281173e+00;-1.916833e+00;6.231050e+00;4.376495e+00
