frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;4.810717e+00;-2.826764e+00;3.492035e+00;1.318918e+01;-5.325304e+00;-3.286175e+00;-4.613543e-01;-9.492702e+00;-3.286584e+00;1.127614e+01;-2.446388e+00;2.917785e+00;-4.281792e+00;-3.048706e+00
1;0.050000;3.033196e+00;-9.086132e-02;3.647841e+00;1.126708e+01;2.069750e+00;-3.788215e+00;2.556296e+00;-4.554247e+00;4.424536e+00;1.324022e+01;5.763209e+00;2.021299e+00;-1.704807e+00;-3.426704e+00
2;0.100000;2.058644e+00;-1.219358e+00;-5.187249e-01;7.382290e+00;6.470182e+00;3.260298e-01;9.309317e+00;3.986582e+00;1.176217e+01;1.273438e+01;7.456415e+00;3.245873e-01;-4.275415e-01;4.474869e-01
3;0.150000;5.030320e+00;-1.217059e+00;-4.531346e+00;1.841050e+00;4.114649e+00;5.993889e+00;1.125089e+01;4.504687e+00;1.168695e+01;1.059396e+01;6.852170e+00;3.874912e-01;-5.106938e-01;3.353302e+00
4;0.200000;5.347021e+00;7.054361e-01;-6.640858e+00;-5.517495e+00;3.718429e+00;1.068038e+01;4.869210e+00;7.765032e+00;1.104153e+01;6.996699e+00;4.879336e+00;1.972979e+00;-6.762767e-01;4.217285e+00
5;0.250000;1.058642e+00;5.505757e+00;-5.034380e+00;-5.850447e+00;9.565993e+00;9.530807e+00;3.930041e+00;1.374212e+01;1.107357e+01;3.858127e+00;2.368572e+00;3.872615e+00;1.272194e-01;5.714134e+00
6;0.300000;-3.603738e+00;8.163206e+00;1.866397e+00;1.379422e+00;1.160384e+01;8.086432e+00;9.379081e+00;1.630882e+01;7.711391e+00;4.022195e+00;4.693716e+00;2.047124e+00;4.082336e-01;5.535683e+00
7;0.350000;-5.451398e+00;7.523971e+00;5.412522e+00;5.977289e+00;1.118170e+01;3.368236e+00;7.168512e+00;1.145397e+01;4.372988e+00;7.099943e+00;8.522768e+00;2.453070e+00;6.427577e-01;4.265694e+00
8;0.400000;-3.433027e-01;6.150968e+00;3.695979e-01;-1.112111e+00;3.766742e+00;-3.407113e+00;4.217607e+00;6.722116e+00;-3.813734e-01;4.744343e+00;6.716716e+00;2.312244e+00;2.325188e+00;3.061562e+00
9;0.450000;6.632483e+00;5.733321e+00;-3.237411e+00;-6.996384e+00;5.446415e-01;-3.134161e+00;7.594109e-01;2.132766e+00;-5.373257e+00;-1.252842e-01;2.638078e+00;6.027727e-01;-3.443222e-01;-1.337364e+00
10;0.500000;8.149205e+00;2.991524e+00;2.703590e+00;-6.930304e+00;-3.840244e+00;8.719107e+00;-1.255532e+00;-4.870224e-01;-1.278706e+00;-3.430432e+00;3.780167e+00;4.253940e+00;5.279987e-01;-4.146240e+00
11;0.550000;4.944801e-03;-4.041102e+00;8.523272e+00;4.146251e+00;-5.791473e-01;1.181832e+01;-3.267692e+00;4.818465e+00;4.949145e+00;2.448031e+00;7.477430e+00;6.550283e+00;1.201702e+00;-3.341675e-02
12;0.600000;3.630686e-01;-4.548214e+00;5.622990e+00;6.561283e-01;-2.087751e+00;1.201482e+01;-1.631143e+00;5.792910e+00;5.937450e+00;3.907997e+00;1.050258e+01;9.170624e+00;2.079100e+00;3.793716e+00
13;0.650000;3.427159e+00;-3.429283e+00;5.795860e-01;-6.418189e+00;-5.268873e+00;1.217123e+01;1.469644e+00;5.487949e+00;4.595143e+00;1.944564e+00;1.123753e+01;1.016769e+01;1.278580e+00;3.776932e+00
14;0.700000;6.689989e+00;-3.833330e-01;-7.288899e+00;-1.485365e+01;-5.583918e+00;9.167629e+00;8.656654e-01;-1.118641e-01;-5.936575e-01;-3.037715e+00;1.221200e+01;8.151682e+00;1.437287e-01;-2.218170e-01
15;0.750000;6.355752e+00;1.479876e+00;-8.587334e+00;-8.717195e+00;-2.744308e+00;4.844471e+00;-2.327888e+00;-2.788005e+00;-6.672181e+00;-5.830572e+00;6.070470e+00;-1.539011e+00;-3.240407e+00;-1.648216e+00
