frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;6.731925e+00;2.425181e+00;7.259760e+00;2.164533e+00;4.867162e+00;-3.881392e-01;-7.165906e+00;-1.505711e+00;-6.001267e+00;-1.313284e+00;-5.827780e-01;1.338883e+00;-3.197153e-01;-6.746254e+00
1;0.010000;2.413249e+00;2.687433e+00;9.414103e+00;-3.235903e-01;6.061817e+00;-2.325914e+00;-2.918735e+00;-6.882378e+00;5.037470e-01;-4.943604e+00;1.763502e+00;-1.394981e+00;-1.297810e+00;-9.714432e-01
2;0.020000;-1.896549e+00;8.046072e-01;8.910550e+00;-1.191278e+00;5.775859e+00;-5.982108e+00;-1.790181e+00;-7.137730e+00;8.123474e+00;-8.898869e-01;8.013830e-01;-5.563595e+00;-5.101778e+00;3.669151e+00
3;0.030000;-2.843042e+00;-1.913633e+00;5.530990e+00;-3.177823e+00;4.467379e+00;-7.888836e+00;-1.833592e+00;-6.317116e+00;9.762864e+00;3.353696e+00;-4.739201e+00;-8.574693e+00;-5.378562e+00;6.140900e+00
4;0.040000;-2.220448e+00;-4.064241e+00;2.643527e+00;-4.208115e+00;5.905233e+00;-7.816421e+00;-1.889041e+00;-5.861803e+00;3.615926e+00;1.006817e+01;-9.717960e+00;-9.442037e+00;-4.145293e+00;6.732780e+00
5;0.050000;-1.031349e+00;-5.506651e+00;5.611341e-01;-4.430403e+00;9.303017e+00;-6.065660e+00;-1.814984e+00;-5.624028e+00;-6.401920e+00;1.797630e+01;-1.348890e+01;-1.010269e+01;-6.255126e+00;6.142738e+00
6;0.060000;1.304328e-01;-5.243595e+00;-1.872603e-01;-6.155895e+00;1.015079e+01;-2.000343e+00;-7.673314e-01;-8.090586e+00;-1.026628e+01;1.982361e+01;-1.216441e+01;-8.102903e+00;-7.926301e+00;5.630203e+00
7;0.070000;1.644174e+00;-4.830917e+00;-2.361584e-02;-7.826227e+00;7.925059e+00;1.698607e+00;-6.492553e-01;-1.096844e+01;-1.182959e+01;1.546092e+01;-1.081844e+01;-3.589688e+00;-7.426667e+00;4.603622e+00
8;0.080000;2.504874e+00;-5.520181e+00;2.433801e+00;-8.292889e+00;4.239562e+00;4.535115e+00;-2.523570e+00;-1.106878e+01;-1.071418e+01;7.696986e+00;-1.125799e+01;2.151251e+00;-5.732575e+00;3.597565e+00
9;0.090000;2.857967e+00;-5.724545e+00;4.401790e+00;-6.682682e+00;1.785812e+00;5.965374e+00;-3.514953e+00;-1.154687e+01;-1.202042e+01;7.793774e-01;-1.294874e+01;1.869132e+00;-3.621514e+00;1.954979e+00
10;0.100000;3.312748e+00;-3.822552e+00;3.486497e+00;-3.193784e+00;8.111410e-01;6.887783e+00;-3.571970e+00;-8.035318e+00;-1.115733e+01;-2.278148e+00;-1.117589e+01;-4.294190e-01;-2.823332e+00;-2.579651e-01
11;0.110000;4.482019e+00;-2.250625e+00;2.853797e+00;-2.345228e-01;1.186507e+00;6.861218e+00;-4.430661e+00;-5.417419e+00;-9.691009e+00;-1.124277e+00;-7.275410e+00;-2.036688e+00;-1.844564e+00;-2.834076e+00
12;0.120000;5.557077e+00;-9.692044e-01;3.713402e+00;1.842977e+00;3.612548e+00;4.328475e+00;-1.697990e+00;-7.182350e+00;-5.661421e+00;5.955534e+00;-2.548476e+00;-7.150917e-01;-1.495018e+00;-5.400894e+00
13;0.130000;5.491554e+00;-2.549422e+00;3.573350e+00;6.052971e-02;3.939568e+00;2.417973e+00;1.480860e+00;-6.242539e+00;8.972921e-01;1.144836e+01;-2.415435e+00;-1.542897e-01;-1.453519e+00;-6.476746e+00
14;0.140000;5.131146e+00;-3.502977e+00;3.065120e+00;-2.062319e+00;1.466474e+00;-1.898623e-02;-1.252675e+00;-2.964087e+00;4.010895e+00;1.637555e+01;-1.167087e+00;2.100203e+00;2.332243e+00;-7.061211e+00
15;0.150000;5.905616e+00;-3.504322e+00;4.133326e+00;-1.951473e+00;1.599598e+00;4.140248e-01;-3.427999e+00;-1.158615e+00;1.815746e+00;1.412006e+01;-2.397172e+00;-3.484631e-01;8.542856e-01;-7.349564e+00
16;0.160000;6.444833e+00;-3.536115e+00;5.219838e+00;-3.557138e-01;5.285576e+00;2.052601e+00;-2.009298e+00;7.117062e-01;-4.745560e-01;8.511278e+00;-4.378500e+00;-3.782412e+00;-7.553196e-01;-7.484978e+00
17;0.170000;6.535214e+00;-1.570102e+00;6.296707e+00;2.145358e+00;8.496397e+00;2.739036e+00;1.736564e+00;2.733748e+00;-5.187521e-01;5.228239e+00;-4.417502e+00;-4.346378e+00;-3.683083e+00;-8.165245e+00
18;0.180000;-2.661388e-01;2.810900e+00;8.230207e+00;3.293004e+00;-3.984413e-01;1.402201e+01;-4.873023e+00;-1.121336e+00;1.234769e+01;-1.074781e+00;-2.223383e+00;-6.534681e+00;-4.901774e+00;-5.608887e+00
19;0.190000;-7.859995e+00;4.229281e-01;1.059122e+01;5.167991e+00;-4.390411e+00;1.737859e+01;-5.624931e+00;-7.780605e+00;8.995664e+00;-4.957015e+00;2.636362e+00;-4.047343e+00;-6.279687e+00;8.197403e-01
20;0.200000;-8.580261e+00;-1.834422e+00;8.872723e+00;4.878590e+00;-4.065722e+00;1.838886e+01;-3.375926e+00;-7.046335e+00;7.571408e+00;-7.281390e+00;4.654330e+00;-1.287458e+00;-3.809029e+00;5.049294e+00
21;0.210000;-5.069364e+00;-2.301044e+00;6.141925e+00;4.151562e+00;-5.024616e+00;1.314670e+01;-5.141733e+00;-4.239999e+00;1.206998e+01;-6.379654e+00;4.562559e+00;-1.119450e+00;-3.196883e+00;6.497055e+00
22;0.220000;3.813963e-01;-5.985736e+00;1.182255e+00;5.288547e+00;-5.051471e+00;1.975779e+00;-1.234544e+00;-2.226247e+00;1.368756e+01;-4.116358e+00;6.386909e-01;-3.796454e+00;-3.444811e+00;6.666580e+00
23;0.230000;2.535013e+00;-1.002061e+01;-1.046196e+00;6.945231e+00;-8.757522e+00;-2.779044e+00;4.057120e+00;-6.978851e+00;1.125512e+01;-9.410274e-01;-2.513391e+00;-1.919150e+00;-1.991923e+00;8.185623e+00
24;0.240000;2.942598e+00;-1.140485e+01;-1.452324e+00;1.067807e+01;-1.316536e+01;1.849713e+00;3.360040e+00;-8.550631e+00;1.367419e+01;-1.429083e+00;-1.118540e+00;-6.607938e-01;-1.159540e+00;8.375557e+00
25;0.250000;1.941025e+00;-1.406201e+01;-2.438741e+00;6.669855e+00;-1.351431e+01;1.028571e+01;1.609926e+00;-3.296603e+00;1.719521e+01;-1.660140e+00;-2.892127e+00;-1.895375e+00;-1.446303e+00;1.035829e+01
26;0.260000;-1.210328e+00;-1.572923e+01;-5.739266e+00;1.308501e+00;-9.561212e+00;1.098581e+01;4.993396e+00;3.370867e-01;1.783207e+01;-3.569115e+00;-1.582160e+00;-1.272220e+00;-2.781397e+00;1.248431e+01
27;0.270000;-3.817579e+00;-1.696638e+01;-8.250427e+00;-1.178126e+00;-4.861526e+00;1.103348e+01;5.482420e+00;1.347277e+00;1.506789e+01;-7.560922e+00;-1.938162e-01;-2.196436e+00;-2.346676e+00;1.334505e+01
28;0.280000;-4.643108e+00;-1.622802e+01;-8.639704e+00;-2.624581e+00;-9.827108e-01;9.722487e+00;2.831055e+00;2.518177e-01;1.033226e+01;-1.009677e+01;-8.244448e-01;-4.969676e+00;-1.374890e+00;1.286429e+01
29;0.290000;-5.631661e+00;-1.442427e+01;-8.699903e+00;-3.247176e+00;3.578844e+00;7.365753e+00;1.711514e+00;-2.885656e-01;5.793736e+00;-1.106721e+01;-1.292185e+00;-7.299329e+00;2.693833e+00;1.235241e+01
30;0.300000;-7.765557e+00;-1.307440e+01;-1.040913e+01;-4.199818e+00;6.212616e+00;4.449730e+00;5.469934e+00;-1.488871e+00;3.951343e+00;-9.990361e+00;-6.436129e-01;-6.157912e+00;4.550312e+00;1.210587e+01
31;0.310000;-8.041892e+00;-1.044652e+01;-1.140383e+01;-3.398388e+00;8.184102e+00;2.059962e+00;9.469332e+00;-2.939077e+00;4.479411e+00;-6.357316e+00;-6.310177e-02;-3.978663e+00;5.091993e+00;1.254760e+01
32;0.320000;-8.215644e+00;-9.994825e+00;-1.337620e+01;-3.299631e+00;9.205815e+00;5.589399e-01;1.147556e+01;-6.919849e+00;3.671374e+00;-6.801366e+00;-4.649320e+00;-5.601331e+00;4.693298e+00;1.264227e+01
33;0.330000;-7.844079e+00;-9.743330e+00;-1.346591e+01;-2.235372e+00;1.112288e+01;8.592591e-01;1.518234e+01;-7.194597e+00;5.746466e+00;-8.339501e+00;-5.422511e+00;-7.181746e+00;5.658676e+00;1.255499e+01
34;0.340000;-6.645023e+00;-9.621068e+00;-1.336106e+01;-3.767727e+00;1.004609e+01;-2.907096e+00;1.505286e+01;-7.937944e+00;8.283635e+00;-7.445510e+00;-2.627065e+00;-1.012845e+01;3.957695e+00;1.193478e+01
35;0.350000;-5.061775e+00;-1.025255e+01;-1.219968e+01;-2.984501e+00;1.095170e+01;-3.380219e+00;1.337724e+01;-7.663370e+00;1.109504e+01;-5.577588e+00;-1.426867e+00;-1.134523e+01;3.128649e+00;1.081214e+01
36;0.360000;-3.937976e+00;-9.234319e+00;-1.148306e+01;2.229462e-01;9.349735e+00;-2.567357e+00;9.992049e+00;-9.657528e+00;1.240328e+01;-5.286769e+00;3.292999e-01;-8.670597e+00;4.055822e+00;9.471741e+00
37;0.370000;-3.066401e+00;-4.198828e+00;-1.210419e+01;3.791275e+00;2.742385e+00;-3.851890e+00;4.601828e+00;-1.178846e+01;1.046140e+01;-5.986893e+00;3.684216e+00;-4.775220e+00;5.330930e+00;7.784943e+00
38;0.380000;-2.686104e+00;1.503029e+00;-1.291278e+01;6.632699e+00;-2.061770e+00;-9.077153e-01;7.469218e+00;-7.729971e+00;6.984594e+00;-4.554342e+00;4.830148e+00;-3.043521e+00;4.586938e+00;6.408920e+00
