frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-8.708487e-01;-4.735931e+00;-1.511745e+01;-8.562887e-02;2.359622e+01;6.578000e+00;1.940872e+01;1.543027e+01;-1.844450e+00;1.045035e+01;2.886057e+00;-5.672848e+00;-7.866776e+00;-3.371429e-02
1;0.010000;-1.559039e+00;-8.874366e-01;-1.528285e+01;1.653725e+00;2.578234e+01;8.479386e+00;1.703072e+01;1.755311e+01;6.257535e+00;1.724204e+01;1.623505e+00;-8.945545e+00;-6.128479e+00;1.012108e+00
2;0.020000;-2.263410e+00;1.646304e+00;-1.549290e+01;3.409593e+00;2.674788e+01;9.122286e+00;1.286722e+01;1.818385e+01;1.112806e+01;2.148972e+01;3.511234e+00;-1.113566e+01;-7.829084e+00;5.533371e-01
3;0.030000;-2.176503e+00;3.642538e+00;-1.615159e+01;4.127296e+00;2.761442e+01;1.094225e+01;9.177008e+00;1.328777e+01;1.064467e+01;2.586484e+01;4.427294e+00;-1.047766e+01;-6.402046e+00;-9.471359e-01
4;0.040000;-2.154056e+00;5.651781e+00;-1.463872e+01;7.822582e+00;2.994360e+01;1.350331e+01;8.808077e+00;9.381155e+00;9.709904e+00;3.025977e+01;2.626660e+00;-8.911337e+00;-3.821127e+00;-4.806366e+00
5;0.050000;-7.755709e-02;7.353082e+00;-1.149857e+01;1.202280e+01;3.171971e+01;1.410132e+01;1.148102e+01;1.045918e+01;8.856711e+00;2.658601e+01;-2.040349e+00;-7.744546e+00;-4.981599e+00;-1.057406e+01
6;0.060000;4.170658e+00;6.829040e+00;-1.149170e+01;1.064944e+01;2.864837e+01;1.771058e+01;1.361515e+01;7.911222e+00;1.270285e+01;1.702929e+01;-9.814390e-01;-6.892056e+00;-6.462518e+00;-1.531599e+01
7;0.070000;-2.823218e+00;6.472920e-01;-6.507811e+00;1.053702e+01;2.490204e+01;9.648124e+00;6.446543e+00;5.309503e+00;1.358897e+01;1.212304e+01;-5.428033e+00;-1.274526e+00;-6.849254e-01;-9.088158e+00
8;0.080000;-1.009049e+01;-8.481677e+00;-1.570111e+01;5.173553e+00;2.687053e+01;9.462396e+00;3.643785e+00;5.697459e+00;9.393498e+00;6.383761e+00;-1.013501e+01;-1.580285e+00;3.263152e+00;3.600998e-01
9;0.090000;-1.112490e+01;-1.151195e+01;-1.839148e+01;2.719254e+00;2.536588e+01;1.062928e+01;4.579009e+00;7.881145e+00;1.205045e+01;9.976213e+00;-7.883089e+00;8.737376e-01;3.144882e+00;6.028351e+00
10;0.100000;-9.839371e+00;-1.056479e+01;-1.844387e+01;2.061830e+00;2.198711e+01;1.262510e+01;5.433415e+00;8.746039e+00;1.287419e+01;1.277080e+01;-7.096503e+00;3.901643e+00;3.299206e+00;8.017136e+00
11;0.110000;-7.070324e+00;-7.109228e+00;-1.736393e+01;1.610612e+00;1.581171e+01;1.139649e+01;5.512461e+00;6.256523e+00;9.867880e+00;1.138648e+01;-7.398641e+00;4.297064e+00;3.302339e+00;8.515953e+00
12;0.120000;-2.030156e+00;-2.129973e+00;-1.406515e+01;2.098326e+00;1.022796e+01;4.417387e+00;3.692371e+00;5.676205e+00;3.083938e+00;5.907691e+00;-7.991558e+00;3.147561e+00;4.454421e+00;9.805809e+00
13;0.130000;2.872248e+00;1.222691e+00;-1.294542e+01;6.609590e-01;6.448963e+00;1.427248e+00;5.026119e+00;9.920473e+00;1.567488e+00;5.755990e+00;-4.132943e+00;2.774222e+00;1.158455e+00;1.142808e+01
14;0.140000;5.056292e+00;1.562626e+00;-1.277474e+01;-8.066515e-01;6.798351e+00;8.271742e-01;9.494164e-01;1.084813e+01;2.919657e+00;8.117282e+00;-3.546511e+00;-1.900902e-01;-3.773983e+00;1.231097e+01
15;0.150000;5.153853e+00;2.473150e+00;-1.069344e+01;-4.061487e-01;9.161222e+00;5.845528e-01;1.050734e+00;1.051171e+01;6.461248e-01;9.580530e+00;-6.389252e+00;1.220848e+00;-5.159437e+00;1.256908e+01
16;0.160000;3.877858e+00;1.476252e+00;-8.046814e+00;2.065773e+00;1.091492e+01;4.401302e-01;7.046097e+00;1.033812e+01;-6.379811e+00;8.739632e+00;-4.845770e+00;4.473937e+00;-3.366618e+00;1.235938e+01
17;0.170000;1.469212e+00;3.016226e-01;-5.913073e+00;3.352861e+00;1.115973e+01;3.220078e+00;1.198264e+01;1.240170e+01;-4.448121e+00;7.118209e+00;2.131256e+00;2.021156e+00;-2.668440e+00;1.269156e+01
18;0.180000;-3.227083e+00;1.053371e+00;-3.382055e+00;1.985507e+00;9.863033e+00;9.439992e+00;1.190339e+01;1.647481e+01;3.160440e+00;5.928589e+00;8.961183e+00;-4.004855e-01;-1.029239e+00;1.308955e+01
19;0.190000;-8.605110e+00;5.612785e+00;2.217293e-02;6.267071e-02;1.052307e+01;1.322705e+01;9.475059e+00;1.574831e+01;7.183474e+00;3.283830e+00;7.571662e+00;-1.169909e+00;2.648228e+00;1.371095e+01
20;0.200000;-1.429794e+01;1.108887e+01;2.959939e+00;-4.505135e-01;1.231599e+01;1.719628e+01;1.106790e+01;1.611872e+01;8.434823e+00;3.456826e+00;6.532444e+00;3.831286e-01;5.947604e+00;1.346008e+01
21;0.210000;-2.045852e+01;1.219771e+01;4.415951e+00;1.749512e+00;1.338831e+01;2.224281e+01;1.335716e+01;1.569800e+01;7.989741e+00;6.200388e+00;9.547097e+00;1.811704e+00;6.699029e+00;1.178286e+01
22;0.220000;-2.410383e+01;1.144424e+01;5.095528e+00;4.028924e+00;1.196553e+01;2.357626e+01;1.554462e+01;1.628382e+01;7.587187e+00;3.939267e-01;5.120942e+00;-3.501844e-01;3.466855e+00;1.008301e+01
23;0.230000;-2.525669e+01;9.713920e+00;3.805121e+00;1.395019e+00;6.111218e+00;1.854465e+01;1.228789e+01;1.631838e+01;8.138998e+00;-1.505797e+00;3.696330e+00;-2.150155e+00;9.971351e-01;9.120224e+00
24;0.240000;-2.593141e+01;8.766748e+00;3.779741e+00;-1.917551e+00;1.875994e+00;1.577034e+01;8.719471e+00;1.397580e+01;5.649316e+00;-2.666451e+00;1.872313e+00;-3.116340e+00;2.489587e-01;8.391129e+00
25;0.250000;-2.699121e+01;8.307838e+00;4.109419e+00;-3.066532e+00;1.974300e+00;1.810203e+01;1.113086e+01;1.067287e+01;2.190585e+00;-5.349544e+00;-3.350117e-01;-2.632844e+00;1.658257e+00;6.702820e+00
26;0.260000;-2.825190e+01;8.281067e+00;6.493929e+00;-3.589666e+00;2.114254e+00;1.885661e+01;1.338351e+01;5.243917e+00;4.352662e+00;-6.293548e+00;-4.302372e+00;-1.928358e+00;1.976926e+00;5.034866e+00
27;0.270000;-2.953526e+01;7.706730e+00;7.856625e+00;-4.693025e+00;-1.797128e-01;1.745883e+01;1.464245e+01;6.109501e+00;7.509151e+00;-6.032465e+00;-5.146721e+00;8.964872e-01;2.050170e+00;4.003143e+00
28;0.280000;-3.059884e+01;6.251663e+00;8.363642e+00;-4.600800e+00;-2.342967e+00;1.492780e+01;1.090462e+01;5.706757e+00;4.320878e+00;-3.709114e+00;-1.342344e+00;1.725658e+00;3.567864e+00;3.336739e+00
29;0.290000;-3.077435e+01;5.193133e+00;9.336369e+00;-2.585234e+00;-4.604537e+00;1.238375e+01;1.033429e+01;7.079983e+00;3.658702e+00;-4.635480e+00;-1.517184e-01;3.394133e+00;3.797150e+00;3.316475e+00
30;0.300000;-3.023364e+01;2.799297e+00;9.310701e+00;1.538324e+00;-6.082259e+00;6.768980e+00;1.107461e+01;1.180253e+01;8.686294e+00;-4.662199e+00;-1.280370e-01;7.469392e+00;4.316291e+00;3.989555e+00
31;0.310000;-2.791751e+01;-8.129798e-01;7.719550e+00;5.065783e+00;-5.889317e+00;-9.528933e-01;5.949141e+00;1.330586e+01;9.158886e+00;-4.045367e+00;-2.256916e+00;9.482028e+00;6.900486e+00;4.502411e+00
32;0.320000;-2.337497e+01;-2.295513e+00;4.258827e+00;7.488525e+00;-6.435317e+00;-7.141969e+00;-5.289273e-01;1.124710e+01;7.748393e+00;-4.776202e+00;-6.125853e+00;8.707067e+00;8.463686e+00;4.704391e+00
33;0.330000;-1.562185e+01;-6.480577e-01;2.988425e+00;1.060880e+01;-5.632272e+00;-1.252925e+01;-9.091393e+00;5.682303e+00;7.713583e+00;-1.005636e+01;-1.235783e+01;3.744687e+00;7.794911e+00;5.338326e+00
34;0.340000;-8.285973e+00;-3.885016e-01;2.319467e+00;1.167622e+01;-5.950352e+00;-1.553638e+01;-1.174167e+01;4.312620e+00;9.781528e+00;-8.721075e+00;-1.128389e+01;1.686352e+00;5.902040e+00;5.336372e+00
35;0.350000;-2.694223e+00;-1.658520e-01;1.009630e+00;1.132721e+01;-4.143757e+00;-1.676693e+01;-1.313258e+01;2.737573e+00;7.315426e+00;-5.858972e+00;-6.720613e+00;2.842245e-01;5.331255e+00;3.999359e+00
36;0.360000;-1.027901e+00;1.456395e+00;8.606529e-02;1.001519e+01;-1.090360e+00;-1.298819e+01;-1.357398e+01;-2.111096e+00;5.838991e+00;-3.403839e+00;-5.685402e-01;-1.259732e+00;3.479727e+00;2.652542e+00
37;0.370000;-3.717074e-01;2.756563e+00;-9.718180e-01;8.451502e+00;7.248683e-01;-9.189542e+00;-1.412072e+01;-2.469772e+00;2.845157e+00;-2.351825e+00;3.775852e+00;-6.101954e-01;-2.183777e-01;2.183167e+00
38;0.380000;1.022153e+00;3.298660e+00;-2.292884e+00;8.235168e+00;2.965944e+00;-8.590703e+00;-1.358705e+01;-1.480027e+00;-9.069042e-01;-3.319446e+00;5.744052e+00;2.913768e+00;-1.652256e+00;2.163925e+00
39;0.390000;1.747696e+00;2.144657e+00;-1.768837e+00;7.614841e+00;3.629456e+00;-1.070640e+01;-1.220738e+01;2.608999e-01;-2.462911e+00;-5.165838e+00;5.779471e+00;5.344815e+00;-4.550470e-01;2.982994e+00
40;0.400000;2.200843e+00;-1.010751e+00;-2.300283e+00;6.740561e+00;2.685202e+00;-1.327985e+01;-9.516405e+00;5.291775e-01;-5.378049e+00;-6.272370e+00;8.138318e+00;5.062070e+00;7.011915e-01;4.336021e+00
41;0.410000;1.613995e+00;-4.407725e+00;-1.489147e+00;4.623184e+00;-8.436093e-01;-1.574601e+01;-6.730976e+00;1.637960e+00;-8.026733e+00;-2.920519e+00;7.789546e+00;3.028092e+00;1.001704e+00;6.235596e+00
