frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-5.059180e+00;-6.569574e+00;-7.312098e-01;1.015433e+01;1.020648e+01;-6.157277e+00;8.579059e+00;1.247119e+01;8.195492e+00;-6.096084e+00;1.003042e+01;4.078408e+00;5.266040e-01;-1.041590e+01
1;0.010000;-5.008788e+00;-4.666056e+00;7.047710e-01;1.322524e+01;1.155278e+01;-5.394347e+00;1.123560e+01;1.500453e+01;8.847494e+00;-2.532441e+00;8.996121e+00;2.025264e+00;3.008345e-01;-1.118359e+01
2;0.020000;-4.236733e+00;-1.372720e+00;2.186366e+00;1.412131e+01;1.423913e+01;-3.706011e+00;9.717033e+00;1.175616e+01;8.776220e+00;-7.241344e-01;6.295525e+00;-1.151640e+00;-1.828799e-01;-1.102451e+01
3;0.030000;-4.076781e+00;-7.830958e-01;2.699844e+00;1.429503e+01;1.408767e+01;-3.165644e+00;8.597705e+00;9.134766e+00;7.678988e+00;-7.776585e-01;3.103089e+00;-1.685095e+00;5.802076e-01;-1.047958e+01
4;0.040000;-5.801114e+00;1.362569e-01;3.222359e+00;1.347711e+01;1.300356e+01;-5.990532e+00;8.391549e+00;8.616457e+00;8.337447e+00;-5.304327e-01;7.992315e-01;-8.237103e-01;5.896542e-01;-1.020507e+01
5;0.050000;-8.409001e+00;4.514079e-01;2.275119e+00;1.279336e+01;1.131119e+01;-6.424550e+00;1.054824e+01;1.136996e+01;1.088094e+01;6.749656e-01;-2.335467e-01;1.844009e+00;1.536053e+00;-1.086301e+01
6;0.060000;-9.498313e+00;4.295795e-01;2.498400e+00;1.263850e+01;1.289229e+01;-5.244525e+00;1.028905e+01;9.374177e+00;7.345847e+00;2.627450e+00;9.998121e-01;2.828885e+00;2.550788e+00;-1.141776e+01
7;0.070000;-9.143819e+00;2.851666e+00;5.910563e+00;1.304407e+01;1.290501e+01;-1.554633e+00;1.177573e+01;7.848549e+00;8.709658e+00;4.136651e+00;1.602439e+00;1.939517e+00;1.049940e+00;-1.159143e+01
8;0.080000;-9.147418e+00;4.161830e+00;5.990089e+00;1.411700e+01;1.060661e+01;1.618528e-01;1.548260e+01;8.704431e+00;1.007711e+01;1.654552e+00;1.333567e+00;-6.504505e-01;-5.488524e-01;-1.240495e+01
9;0.090000;-9.128318e+00;3.445816e+00;4.546850e+00;1.483249e+01;8.191819e+00;-3.291926e-01;1.672056e+01;7.878207e+00;6.585670e+00;3.035021e-02;2.280796e+00;-2.867643e+00;-1.617220e+00;-1.372208e+01
10;0.100000;-9.644711e+00;2.157220e+00;3.413920e+00;1.481858e+01;6.550370e+00;-1.061964e+00;1.545894e+01;6.820372e+00;2.660710e+00;4.506125e-01;4.645761e+00;-3.860804e+00;2.289474e-01;-1.456658e+01
11;0.110000;-9.725993e+00;2.841998e+00;6.069589e+00;1.662118e+01;9.334181e+00;5.949006e-01;1.334169e+01;2.402113e+00;5.519724e-01;1.125999e+00;7.695541e+00;-9.426726e-01;1.764612e+00;-1.488695e+01
12;0.120000;-9.208175e+00;3.998226e+00;6.086271e+00;1.801856e+01;8.721785e+00;-2.808614e-01;1.261589e+01;1.718434e+00;1.809426e+00;4.471590e+00;9.100220e+00;4.256468e-01;2.722056e+00;-1.588364e+01
13;0.130000;-8.246631e+00;4.770574e+00;5.822737e+00;1.854416e+01;5.702413e+00;-2.631295e+00;1.395903e+01;2.441078e+00;4.732436e+00;8.618073e+00;8.766255e+00;9.228325e-02;1.361809e+00;-1.659753e+01
14;0.140000;-6.089067e+00;3.790552e+00;3.483782e+00;1.589112e+01;4.720028e+00;-6.605530e-01;1.487362e+01;2.751202e+00;7.578452e+00;6.676088e+00;4.247184e+00;-8.820769e-01;3.545069e-01;-1.583487e+01
15;0.150000;-4.554090e+00;1.193799e+00;1.557723e+00;1.517466e+01;4.457757e+00;6.649516e-01;1.466595e+01;7.050307e+00;6.419084e+00;-2.327518e-01;-1.560721e-01;-3.413631e+00;-2.049898e+00;-1.495564e+01
16;0.160000;-3.849288e+00;-1.127792e+00;5.073986e-01;1.371859e+01;5.328972e+00;1.058445e+00;1.454177e+01;1.186100e+01;7.134508e+00;-5.999057e+00;-7.995224e-01;-3.600573e+00;-2.096896e+00;-1.299046e+01
17;0.170000;-2.989765e+00;-2.925459e+00;-5.195665e-02;1.305128e+01;9.019623e+00;-5.305610e-01;1.327320e+01;1.512782e+01;1.024001e+01;-7.402471e+00;-2.159797e+00;-2.009003e+00;-8.579773e-01;-1.128138e+01
18;0.180000;-2.519697e+00;-4.015093e+00;-3.303041e-01;1.383592e+01;1.124408e+01;3.529978e-01;1.123054e+01;1.350257e+01;1.222830e+01;-4.050472e+00;-1.314436e+00;-2.213085e+00;-5.708385e-01;-1.052673e+01
19;0.190000;-2.277123e+00;-3.861309e+00;-8.220139e-01;1.415416e+01;9.710281e+00;-4.827199e-01;7.688578e+00;1.068987e+01;1.071472e+01;-2.013727e+00;-1.141469e+00;-9.133290e-01;-1.083828e-01;-1.090353e+01
20;0.200000;1.192762e+00;2.277499e-01;-1.261301e+00;1.145539e+01;1.421386e+00;-1.047351e+01;-9.484787e-01;4.316884e+00;6.485155e+00;-1.966442e+00;-4.841232e-01;3.159547e+00;2.279267e+00;-9.742111e+00
