frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.703981e+00;1.027790e+00;2.117127e+00;8.720259e+00;6.589600e+00;1.942942e+01;9.264812e+00;2.951555e+00;-3.026271e-02;8.578905e+00;2.164123e-01;-7.828584e-01;3.314703e+00;-1.995294e+01
1;0.010000;1.281613e+00;6.516695e+00;3.610726e+00;1.189059e+01;7.020720e+00;1.966634e+01;9.949392e+00;4.719305e-01;1.318539e+00;7.652130e+00;-2.796542e+00;-3.713579e+00;3.409218e+00;-1.829754e+01
2;0.020000;9.160236e+00;7.848005e+00;-2.869402e+00;6.727573e+00;1.272198e+00;1.220088e+01;1.309909e+00;-6.826791e+00;-7.743034e+00;7.933044e-01;-3.221829e+00;-2.875526e+00;2.086174e+00;-1.193164e+01
3;0.030000;1.278158e+01;3.893816e+00;-4.865387e+00;3.548371e+00;-5.648727e-01;1.242707e+01;-8.572140e-01;-7.284933e+00;-9.379026e+00;-4.364668e+00;-3.677564e+00;-4.210030e+00;-1.191498e+00;-6.393127e+00
4;0.040000;1.201353e+01;2.379848e+00;-4.558563e+00;1.720880e+00;1.341435e+00;9.597355e+00;-4.782104e-02;-7.815733e+00;-8.852457e+00;-6.882029e+00;-5.306785e+00;-2.021996e+00;-4.037321e+00;-3.065964e+00
5;0.050000;7.429871e+00;2.771379e+00;-3.294021e+00;7.461398e-01;7.814075e+00;7.062684e+00;3.771753e-01;-5.752062e+00;-8.275708e+00;-7.159353e+00;-6.313704e+00;1.885352e+00;-4.619246e+00;-1.020584e-01
6;0.060000;4.114772e+00;3.870007e+00;-3.921565e+00;-1.591245e+00;1.067413e+01;7.270617e+00;7.713604e-01;-7.171850e+00;-7.419692e+00;-7.817738e+00;-2.338696e+00;2.679101e+00;-2.796152e+00;2.333420e+00
7;0.070000;3.334739e+00;4.820487e+00;-4.392876e+00;-5.508948e+00;8.353566e+00;6.995913e+00;-2.825460e-01;-9.392168e+00;-5.226848e+00;-5.525123e+00;3.113537e+00;3.336222e+00;-5.784142e+00;2.878365e+00
8;0.080000;4.024622e+00;4.189692e+00;-4.789844e+00;-7.604116e+00;7.011007e+00;9.139223e+00;-2.118793e+00;-1.280893e+01;-2.702404e+00;-1.770411e+00;8.123556e+00;4.649923e+00;-8.812730e+00;1.456879e+00
9;0.090000;4.136629e+00;3.438741e+00;-3.144850e+00;-8.208614e+00;8.174920e+00;1.182168e+01;-4.802964e+00;-1.736596e+01;-6.274555e-01;1.180862e+00;1.052886e+01;5.146792e+00;-8.498948e+00;-2.822189e-01
