frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-3.146500e+00;-8.140052e-01;4.820032e-01;5.208192e+00;1.338758e+01;1.207962e+01;1.896767e+01;1.891324e+00;2.937938e+00;-1.592122e+00;6.921751e-01;4.880897e+00;5.069970e+00;-6.818016e+00
1;0.010000;-5.081845e+00;-1.826524e+00;2.751589e+00;6.879009e+00;1.595713e+01;1.068044e+01;1.766173e+01;2.550806e+00;5.213696e+00;-1.056664e+00;2.964361e+00;5.474839e+00;3.916183e+00;-3.795387e+00
2;0.020000;-7.213798e+00;-3.552601e+00;3.759871e+00;5.873395e+00;1.986718e+01;9.407978e+00;1.743554e+01;2.055079e+00;7.764961e+00;3.412957e+00;2.644928e+00;6.075323e+00;3.016806e+00;-2.108002e+00
3;0.030000;-8.012593e+00;-3.672756e+00;1.873554e+00;2.844337e+00;2.253870e+01;6.782930e+00;1.824174e+01;3.836551e+00;9.659950e+00;5.128299e+00;-5.080415e+00;6.623456e+00;1.165831e+00;-1.920547e+00
4;0.040000;-6.702083e+00;-3.131027e+00;-2.076938e+00;2.693169e+00;2.171202e+01;7.441444e-01;1.565756e+01;5.922026e+00;8.981901e+00;5.070099e+00;-8.613214e+00;1.097052e+01;2.211687e+00;-2.638748e+00
5;0.050000;-5.735023e+00;-3.804438e+00;-4.691865e+00;4.676591e+00;1.878132e+01;-1.339201e+00;1.429659e+01;5.607333e+00;5.728569e+00;3.970491e+00;-6.989472e+00;1.185627e+01;4.530218e+00;-4.159988e+00
6;0.060000;-5.022887e+00;-3.708457e+00;-3.027173e+00;7.230994e+00;1.774309e+01;7.688777e+00;1.553379e+01;5.604792e+00;3.992065e+00;1.212952e+00;-2.489307e+00;1.210576e+01;7.776487e+00;-6.360756e+00
7;0.070000;-4.192788e+00;-3.302262e+00;-1.113343e+00;7.471283e+00;1.583488e+01;1.641372e+01;1.728023e+01;7.126091e+00;3.612435e+00;2.965703e+00;4.339591e+00;1.053098e+01;1.000715e+01;-7.927475e+00
8;0.080000;-4.813700e+00;-2.557128e+00;-2.523112e+00;8.051769e+00;1.587773e+01;7.912235e+00;1.952727e+01;7.972523e+00;7.506391e+00;-1.162842e+00;3.031986e+00;1.242194e+01;3.644642e+00;-5.810623e+00
9;0.090000;-5.964564e+00;-3.349087e+00;-6.921646e+00;7.648360e+00;1.180732e+01;-2.270643e+00;1.957478e+01;1.045571e+01;1.477329e+01;-3.559873e-01;-6.208944e-02;1.134968e+01;-6.161488e+00;-1.809311e-01
10;0.100000;-6.351066e+00;-3.122994e+00;-8.244346e+00;6.842270e+00;8.236033e+00;-6.263605e+00;1.744067e+01;1.024209e+01;1.816283e+01;3.113276e+00;6.822753e-01;1.099238e+01;-8.843060e+00;2.924477e+00
11;0.110000;-6.808524e+00;-2.595805e+00;-6.649724e+00;3.575613e+00;6.799751e+00;-6.208742e+00;1.445201e+01;8.538752e+00;1.918840e+01;4.047032e+00;-1.841528e+00;1.232717e+01;-9.308594e+00;3.598946e+00
12;0.120000;-6.273999e+00;-1.243081e+00;1.578951e-02;-5.588350e-01;7.017320e+00;-6.628323e+00;1.018942e+01;2.780211e+00;7.872425e+00;-2.167416e+00;-8.075466e+00;9.582000e+00;-1.027794e+01;4.850136e+00
