frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-8.292550e+00;1.413490e+00;2.100714e+00;1.297753e+01;9.612580e+00;5.021873e+00;1.383266e+01;5.144945e+00;1.136803e+01;3.669590e+00;9.077787e+00;1.500626e+00;1.586070e+00;-1.667576e+01
1;0.010000;-8.736558e+00;1.899834e+00;1.877717e+00;1.554416e+01;1.046079e+01;4.834597e+00;1.221293e+01;2.648436e+00;1.099796e+01;3.330400e+00;1.103027e+01;-8.690464e-01;-4.679942e-01;-1.768356e+01
2;0.020000;-9.528811e+00;1.277574e+00;1.594684e+00;1.467241e+01;1.113832e+01;7.084380e+00;1.485954e+01;3.794137e+00;1.075653e+01;3.606404e+00;1.538522e+01;5.435351e+00;3.325037e+00;-1.885064e+01
3;0.030000;-9.758639e+00;1.168943e+00;1.725325e+00;1.300114e+01;9.910023e+00;7.254616e+00;1.290885e+01;3.083670e+00;1.342067e+01;4.669686e+00;1.421931e+01;5.983800e+00;4.988971e+00;-1.953576e+01
4;0.040000;-9.005429e+00;2.300169e+00;2.793018e+00;1.263962e+01;8.918540e+00;7.236960e+00;1.077827e+01;1.279701e+00;1.397638e+01;5.904388e+00;1.069713e+01;2.847199e+00;2.889712e+00;-1.994697e+01
5;0.050000;-8.281582e+00;1.639341e+00;1.660167e+00;1.374052e+01;7.821196e+00;5.908756e+00;8.742659e+00;3.881876e-01;1.177888e+01;3.576588e+00;7.669197e+00;1.624887e+00;1.905979e+00;-1.977540e+01
6;0.060000;-7.278141e+00;-3.755328e+00;-1.960596e+00;1.571443e+01;1.098886e+01;6.563547e+00;3.492523e+00;-5.713981e+00;8.551468e+00;5.801461e-01;3.480258e+00;-1.917753e+00;-9.134641e-01;-1.686497e+01
7;0.070000;-2.677227e+00;-4.752463e+00;-4.465143e+00;9.966253e+00;8.807610e+00;3.625396e+00;3.523383e+00;-4.472423e+00;1.294019e+00;-6.150001e+00;-1.142974e+00;2.155045e-01;-6.788130e-01;-1.116100e+01
8;0.080000;2.406748e+00;-5.866392e+00;-9.973825e+00;5.542755e+00;6.164200e+00;2.243025e+00;9.155436e-01;-2.645122e+00;-5.322289e+00;-8.450447e+00;-3.838746e+00;1.612248e+00;-2.628273e+00;-4.344681e+00
9;0.090000;4.930341e+00;-7.500160e+00;-1.004360e+01;6.168604e+00;6.890780e+00;5.169775e+00;-4.721575e-01;4.634483e-01;-6.722939e+00;-4.909781e+00;-4.510921e+00;2.052572e+00;-1.144394e+00;3.116302e-01
