frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-7.404826e+00;2.296181e+00;-1.102068e+00;4.446449e-01;-1.417735e+00;4.028535e+00;5.522229e+00;6.263162e+00;-1.864002e+00;-1.153220e+00;1.108768e+01;-1.927805e-01;1.609852e+00;3.708939e+00
1;0.100000;-6.419070e+00;1.985061e+00;4.708224e+00;1.225993e+00;-5.151162e+00;1.025019e+00;4.749491e+00;6.138509e+00;1.937512e+00;5.072274e-01;8.153845e+00;2.500988e+00;1.175580e+00;2.915916e+00
2;0.200000;-2.354433e+00;-3.524144e+00;5.761804e+00;-1.698508e+00;-5.254312e+00;-1.190182e+00;5.637604e+00;2.212879e+00;-2.748823e-02;-7.361025e-02;1.028891e+00;5.289691e+00;-1.237451e+00;2.282921e+00
3;0.300000;1.541395e-01;-4.255780e+00;1.137221e+00;-1.850786e+00;-6.736760e+00;-9.891357e-01;3.485034e+00;-1.539732e+00;-6.200080e-01;-4.755419e+00;6.326904e-01;5.823024e+00;-1.039763e+00;1.111244e+00
4;0.400000;-1.247214e+00;-6.276870e-01;-3.433435e+00;6.921163e-01;-8.070977e+00;5.445042e-01;3.475073e+00;-3.970567e+00;-3.715878e-01;-6.885292e+00;3.012256e+00;3.469748e+00;-8.288234e-01;1.048088e+00
5;0.500000;-2.273156e+00;3.182011e+00;-4.929496e+00;2.970859e+00;-7.660663e+00;2.253800e+00;2.542592e+00;-7.566508e+00;-6.340208e-01;-6.558934e+00;4.086278e+00;7.959809e-01;-2.237745e+00;3.497925e-01
6;0.600000;-1.484354e+00;4.209094e+00;-4.409965e+00;3.557435e+00;-1.028769e+00;2.751416e+00;-2.266941e+00;-7.683002e+00;-4.742780e-01;-1.445061e+00;4.768372e+00;-2.569272e+00;1.505044e+00;-9.611740e-01
7;0.700000;6.232872e-01;6.983707e-01;1.508327e+00;-9.119034e-02;4.104142e+00;1.226526e+00;-4.498865e+00;-3.515304e+00;-4.027561e+00;2.548100e+00;1.339557e+00;-4.071439e+00;1.841240e+00;-2.194229e+00
8;0.800000;3.950507e+00;-6.555250e-01;1.750741e+00;-4.000292e+00;8.504704e+00;-5.943794e-01;-4.166362e+00;1.210407e+00;-7.551579e-01;5.517756e+00;-6.197906e+00;-5.576764e+00;-2.001274e-02;-2.725456e+00
9;0.900000;4.871832e+00;-1.579968e+00;-2.278268e+00;-2.094564e+00;9.990318e+00;-1.437088e+00;-4.010744e+00;4.641936e+00;3.171857e+00;5.308901e+00;-8.343140e+00;-2.967413e+00;-3.841852e-01;-7.402725e-01
10;1.000000;5.170497e+00;-1.540269e+00;-1.168881e+00;-8.311729e-01;7.570605e+00;-3.505936e+00;-4.753348e+00;3.305701e+00;2.239079e+00;4.026062e+00;-9.836302e+00;-1.790525e+00;-4.078981e-01;-5.757065e-01
11;1.100000;6.412781e+00;-1.873469e-01;2.455794e+00;1.675470e+00;5.150619e+00;-4.113085e+00;-5.715763e+00;5.025194e-01;1.425656e+00;2.963489e+00;-9.732222e+00;-7.112331e-01;2.416408e-02;-4.220032e+00
