frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;4.422696e+00;-5.960537e+00;-1.323443e+00;7.142559e+00;2.454330e+00;-1.178624e+01;9.013266e+00;2.842199e+00;-8.718067e+00;-1.355523e+00;-3.273442e+00;4.489411e+00;-8.932190e-01;-5.186989e+00
1;0.100000;1.442417e+00;-6.736066e+00;-2.017838e+00;5.081526e+00;6.217149e+00;-1.164304e+01;1.193710e+01;-1.917987e+00;-2.695745e+00;-5.820717e+00;-1.902143e+00;6.102924e+00;-1.893458e+00;-1.601288e+00
2;0.200000;1.138232e+00;-6.231488e+00;-5.943877e+00;5.976608e+00;5.051360e+00;-8.057702e+00;1.088891e+01;-1.367919e+00;-2.827099e+00;-5.192040e+00;-1.692438e+00;6.590103e+00;7.569113e-01;2.684616e+00
3;0.300000;4.893675e-01;-1.789870e+00;-9.965182e+00;9.546435e+00;1.302211e+00;-5.679283e+00;8.297659e+00;-3.086419e-01;-2.197181e+00;-5.955916e+00;1.778374e-01;3.876192e+00;2.924031e+00;4.546570e+00
4;0.400000;-1.495335e+00;2.204777e+00;-7.967550e+00;7.278486e+00;9.951258e-02;-4.596088e+00;2.798675e+00;1.148636e+00;6.528568e-01;-8.803927e+00;8.548975e-01;1.589473e+00;2.064503e+00;3.726120e+00
5;0.500000;-5.069943e+00;1.815870e+00;1.428090e+00;2.174450e+00;-4.945049e-01;-3.557869e+00;-2.222714e+00;1.356919e+00;2.918752e+00;-7.030256e+00;-1.714904e+00;-1.586533e+00;2.100596e-01;2.297256e+00
6;0.600000;-3.008813e+00;-1.397005e+00;3.425245e-01;-3.935970e+00;2.020147e+00;5.844508e-01;-1.755723e+00;-4.682078e-01;1.832502e+00;-2.095075e+00;-1.644325e-01;-1.145971e+00;-7.586403e-01;3.096664e+00
7;0.700000;1.497595e+00;-4.543840e+00;-3.778058e+00;-1.648092e+00;1.950417e+00;2.604957e-01;-1.538882e+00;2.549437e+00;6.509099e-01;3.412547e-01;-1.004869e+00;-1.799444e+00;-6.201553e-02;4.443291e+00
8;0.800000;-1.516612e+00;-2.053024e+00;-6.214464e+00;8.313866e-01;2.640393e+00;-3.669334e+00;1.136626e+00;5.707224e+00;-2.709275e+00;2.649622e+00;-1.476153e+00;-4.839870e+00;2.399321e+00;6.471291e+00
9;0.900000;-8.937731e+00;2.115262e+00;-1.893325e+00;-1.903687e+00;3.501243e+00;-2.165580e+00;3.557839e-01;7.349532e+00;-1.395424e+00;2.244243e+00;-8.463202e-01;-5.110755e+00;3.499317e+00;6.744675e+00
10;1.000000;-1.510930e+01;5.797297e+00;7.336837e+00;-1.740095e+00;1.038025e+00;2.294955e+00;3.314169e+00;6.559129e+00;1.695223e+00;8.245740e+00;1.168177e+00;-4.333838e+00;6.931649e+00;3.259781e+00
11;1.100000;-1.360429e+01;4.210737e+00;1.285197e+01;3.155762e+00;3.577161e-02;1.232519e+00;1.904459e+00;3.726473e+00;7.860107e-01;7.944232e+00;1.546475e+00;-3.063325e+00;5.115853e+00;1.124908e+00
12;1.200000;-5.703653e+00;2.067434e-01;1.134966e+01;-2.102320e+00;-4.491715e+00;5.703974e-01;2.928242e+00;3.034722e+00;9.113169e-01;1.433426e+00;-1.136537e+00;1.139531e+00;1.775692e+00;-7.899094e-01
13;1.300000;2.625217e+00;8.435357e-02;4.812230e+00;-5.270140e+00;-8.243582e+00;3.675760e+00;-5.408876e+00;-1.979758e+00;2.462995e+00;-1.189102e+00;-3.062610e+00;-5.418737e-01;-1.145786e+00;-2.661621e+00
14;1.400000;6.233477e+00;8.467435e-01;2.698214e+00;-2.899776e+00;-1.122064e+01;1.045771e+01;-9.704359e+00;-7.578366e+00;6.539854e+00;-1.345065e+00;-5.043920e+00;-3.736825e+00;-3.125230e+00;-4.308655e+00
15;1.500000;7.054109e+00;2.551202e+00;2.293921e+00;-4.048136e+00;-4.018985e+00;8.629749e+00;-6.904575e+00;-8.585907e+00;3.608525e+00;3.695606e+00;-1.943514e+00;6.630750e-01;-4.052886e+00;-5.315407e+00
16;1.600000;9.655816e+00;3.849084e+00;-3.398472e+00;-6.839626e+00;3.361873e+00;5.754535e+00;-5.460073e+00;-3.713665e+00;-6.429410e-01;7.271553e+00;4.371150e+00;2.904734e+00;-3.429489e+00;-5.206673e+00
17;1.700000;1.065032e+01;2.760844e+00;-2.555677e+00;-7.058046e+00;1.697127e+00;8.015112e+00;-8.113524e+00;-3.044508e+00;-6.842456e-01;5.793883e+00;6.783872e+00;1.276951e+00;-4.774831e+00;-5.514137e+00
18;1.800000;9.236419e+00;2.268920e+00;1.944450e+00;-3.741327e+00;-2.900138e+00;9.679461e+00;-1.146616e+01;-5.309309e+00;-1.889696e-01;-8.319449e-01;8.358877e+00;-2.473960e+00;-5.541781e+00;-7.810791e+00
