frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.732481e+00;-8.957307e+00;-2.437788e+00;3.918676e+00;4.710345e+00;4.604870e+00;4.497187e+00;-4.961197e-01;2.485441e+00;-7.335324e-01;-6.739035e+00;3.331502e+00;-4.069248e+00;-5.036896e+00
1;0.100000;3.196463e+00;-4.798439e+00;-7.157883e+00;-2.450728e+00;2.507310e+00;-3.806004e+00;4.162652e+00;-6.059591e+00;4.693027e+00;2.705293e+00;-5.880800e+00;4.824972e-02;-7.990420e+00;-1.817184e+00
2;0.200000;2.725826e+00;-3.269657e+00;-9.178366e+00;-9.042341e+00;4.346474e+00;-5.066772e+00;1.320458e+00;-7.728706e+00;4.095973e+00;9.018423e+00;-1.004827e+01;-5.729758e+00;-2.616657e+00;6.156235e-01
3;0.300000;7.276592e-01;-4.014585e+00;-6.208547e+00;-1.010264e+01;3.532746e+00;-4.453415e+00;3.080225e-01;-3.193841e+00;3.300083e+00;8.299441e+00;-1.468675e+01;-5.314392e+00;-1.053032e+00;2.977646e+00
4;0.400000;-1.077137e-01;-3.613981e+00;-3.027603e+00;-8.035278e+00;2.785360e+00;-5.426523e+00;7.555833e-01;-3.519740e-01;1.159461e+00;5.691277e+00;-1.680271e+01;-4.439811e+00;-2.520103e+00;2.663200e+00
5;0.500000;-2.930021e-01;-1.577639e+00;-8.161979e-01;-4.693660e+00;8.284855e-01;-4.611044e+00;1.337344e+00;4.661862e-02;-1.398760e+00;3.464969e+00;-1.550070e+01;-4.013495e+00;-3.339809e+00;-6.023407e-01
6;0.600000;-6.253920e-01;2.728834e+00;-3.089082e+00;-3.775116e+00;-1.663104e+00;1.181841e+00;3.342706e+00;-9.873636e-01;-1.409716e+00;-7.400856e-01;-7.815742e+00;-3.605071e+00;-1.704095e+00;-3.711189e+00
7;0.700000;1.859630e+00;5.352170e+00;-6.095694e+00;-6.002390e+00;-8.374405e-02;3.553652e+00;5.042854e+00;2.376067e-01;-1.498745e+00;-2.210161e+00;-4.245116e+00;-4.425711e+00;-3.783919e+00;-2.708397e+00
8;0.800000;4.206733e+00;6.510724e+00;-6.313271e+00;-5.947173e+00;2.566348e+00;5.146362e+00;6.206570e+00;1.513739e+00;-1.173312e+00;-1.946512e+00;-4.158405e+00;-4.732431e+00;-4.618991e+00;-4.578690e+00
9;0.900000;3.657045e+00;4.334629e+00;-5.101400e+00;-2.811381e+00;4.224288e+00;9.341199e+00;5.821196e+00;3.939076e+00;-4.359150e-01;-4.823448e+00;-3.440375e+00;-3.690476e+00;-1.887285e+00;-7.980614e+00
10;1.000000;2.138052e+00;-6.289177e-03;-7.563124e+00;-6.779878e+00;1.525315e+00;7.904673e+00;4.805058e+00;1.957937e+00;-6.301708e+00;-6.817249e+00;-3.383909e+00;-4.080808e+00;1.020955e+00;-2.070610e+00
