frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;7.583072e+00;-1.485410e+00;-3.575836e+00;-7.664222e+00;5.984402e-01;-4.563122e-01;4.792176e+00;-9.795229e+00;4.357877e+00;-2.863668e+00;-7.415236e+00;-7.132225e+00;2.415400e+00;-1.830696e+00
1;0.100000;8.651924e+00;-3.775095e-01;-2.082163e+00;-5.498247e+00;4.884472e-01;4.018860e-01;2.942203e+00;-7.942714e+00;7.400908e+00;-1.006104e+00;-5.559952e+00;-3.769375e+00;4.130070e+00;-6.406563e+00
2;0.200000;9.175891e+00;8.005732e-01;-1.718926e+00;-1.072027e+00;1.173520e+01;1.951727e+00;2.701139e+00;-1.767416e+00;7.322304e+00;1.199448e+00;-8.652609e+00;-1.313082e+00;1.003620e+00;-1.067159e+01
3;0.300000;7.294737e+00;-5.143227e+00;-3.355709e+00;5.236004e+00;1.483033e+01;2.760719e+00;9.971582e+00;4.406930e+00;3.773447e+00;-2.256688e+00;-1.171624e+01;-8.683650e+00;-5.412399e+00;-2.081047e+00
4;0.400000;6.806588e+00;-5.792249e+00;-3.092187e+00;6.622321e+00;1.034879e+01;3.181135e+00;9.374088e+00;4.600553e+00;3.714839e+00;-5.158206e+00;-1.114150e+01;-1.060497e+01;-6.999333e+00;4.018486e+00
5;0.500000;6.352411e+00;-5.380142e+00;-3.199405e+00;6.542706e+00;5.882560e+00;2.396547e+00;8.324833e+00;3.520016e+00;2.703227e+00;-6.387644e+00;-9.653416e+00;-1.020619e+01;-7.011136e+00;5.364243e+00
6;0.600000;4.542687e+00;-3.006773e+00;-2.527709e+00;3.687532e+00;-1.262300e+00;-1.482697e+00;4.605819e+00;5.171371e-01;-1.323905e+00;-3.295923e+00;-6.380011e+00;-5.958878e+00;-3.213660e+00;3.644371e+00
7;0.700000;9.834146e-01;5.824815e-01;2.769157e+00;4.669628e-01;-9.210083e+00;-9.773216e-01;-2.969217e-01;-5.985111e+00;-4.910292e+00;9.606523e-01;-3.619162e+00;-5.883648e+00;3.660625e+00;1.835251e+00
8;0.800000;7.056761e-01;-1.074345e-01;2.687450e+00;1.823610e+00;-1.031396e+01;-2.907597e+00;-2.135973e+00;-8.168007e+00;-2.388825e+00;-4.565626e-01;-2.840283e+00;-7.424076e+00;2.206499e+00;1.912041e+00
9;0.900000;2.368812e+00;-1.425290e+00;-3.963985e-01;8.459153e-01;-9.262568e+00;-6.271379e+00;-1.645231e-01;-5.274669e+00;7.940292e-01;-1.297845e+00;-5.585117e-01;-4.981270e+00;-4.042849e+00;3.398041e+00
10;1.000000;3.182816e+00;-2.122340e+00;1.717100e+00;-1.664401e+00;-1.136853e+01;-4.960171e+00;1.036613e+00;-3.033599e+00;-5.780544e-01;-7.854800e-01;-6.775281e-01;-6.920673e+00;-5.981655e+00;3.962318e+00
11;1.100000;3.478906e+00;-1.829680e+00;5.079688e+00;-3.103789e+00;-1.533901e+01;-2.665874e+00;-4.874096e-01;-1.597484e+00;-4.128827e+00;8.301437e-01;-1.344793e+00;-8.804898e+00;-5.017105e+00;1.752441e+00
12;1.200000;1.505405e+00;3.430054e+00;4.993638e+00;-1.013582e+00;-1.543061e+01;-2.693962e+00;-8.699169e-01;-3.874546e+00;-2.604321e+00;3.099093e+00;-6.049953e-01;-5.823407e+00;-2.151747e+00;-1.846085e+00
13;1.300000;-3.647936e+00;7.683545e+00;1.278863e+00;5.397653e+00;-1.283827e+00;8.915253e-01;-2.507748e+00;-4.893522e+00;2.447964e+00;1.802023e+00;1.075956e+00;1.589795e+00;-2.129779e+00;-4.550919e+00
14;1.400000;-7.506140e+00;5.814562e+00;3.430915e-02;1.096467e+01;1.137125e+01;1.051299e+01;4.101580e+00;2.486674e+00;5.565645e+00;-9.350625e-01;3.403833e-01;2.172806e+00;-5.714809e+00;-6.860435e+00
15;1.500000;-6.914154e+00;3.199007e+00;8.374829e-01;1.443552e+01;1.412810e+01;1.534076e+01;1.226302e+01;6.689821e+00;3.733258e+00;-2.673921e-01;-1.095366e+00;-5.284768e+00;-1.225281e+01;-1.009626e+01
16;1.600000;-2.841038e+00;-5.357876e+00;4.430760e+00;1.496157e+01;1.199644e+01;1.691385e+01;1.015455e+01;7.584242e+00;1.365437e+00;2.911608e+00;2.863761e+00;-7.759890e+00;-1.113897e+01;-1.077034e+01
17;1.700000;6.200790e-03;-4.657487e+00;5.393089e+00;1.252341e+01;8.438584e+00;1.051171e+01;2.696672e+00;2.292068e+00;-5.994568e-01;3.609776e+00;7.174331e+00;-2.050640e+00;-6.011932e+00;-9.665680e+00
