frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.720428e-01;5.601393e+00;-6.200838e+00;-3.786236e+00;4.303284e-01;9.991615e+00;4.125947e+00;-4.712329e+00;2.282214e-01;2.060500e+00;3.648055e+00;5.278426e+00;5.503848e+00;1.316277e+00
1;0.100000;-4.701948e-01;6.173684e+00;-5.924723e+00;-6.519236e+00;-3.604969e+00;4.663982e+00;3.554628e+00;-5.870763e+00;-1.925515e+00;4.777635e-01;3.344016e+00;5.751235e+00;1.874039e+00;3.779297e+00
2;0.200000;-4.459992e+00;7.240572e+00;-9.022306e+00;-4.061104e+00;-1.080432e+00;-1.518853e+00;3.759157e+00;-6.069527e+00;-3.043099e+00;6.773578e-01;1.874447e+00;5.373224e+00;1.093388e-01;5.603012e+00
3;0.300000;-7.440340e+00;8.852388e+00;-6.446968e+00;3.968992e+00;1.987234e+00;-6.172535e+00;6.063256e+00;-4.119677e+00;-3.712552e+00;-3.092277e-01;-8.263960e-01;4.925360e+00;2.853775e-01;4.255531e+00
4;0.400000;-5.566715e+00;6.457582e+00;-7.682234e+00;6.345365e+00;3.488905e+00;-5.888198e+00;7.703903e+00;4.290068e-02;3.234827e+00;1.760882e+00;-6.377479e+00;-1.759419e+00;1.388310e+00;3.565674e+00
5;0.500000;-2.151969e+00;-8.832250e-01;-9.741898e+00;-7.424221e-01;3.898207e+00;9.875565e-01;5.954071e+00;1.791402e+00;8.599394e+00;5.440377e+00;-2.544265e+00;-4.748261e+00;1.451395e+00;3.773750e+00
6;0.600000;1.309772e+00;-5.689376e+00;-7.726439e+00;-7.688110e+00;5.567249e+00;1.452069e+00;5.813066e+00;-1.026926e+00;7.883961e+00;6.963700e+00;-1.430799e+00;-4.976916e+00;9.426632e-01;2.375206e+00
7;0.700000;1.284644e+00;-3.793791e+00;-9.522858e+00;-5.805548e+00;2.429047e+00;3.566659e+00;4.222860e+00;-6.189450e-01;7.099877e+00;9.601734e+00;-1.321000e+00;-5.948506e+00;3.141268e+00;2.160332e+00
8;0.800000;-1.917553e+00;1.914476e+00;-1.207436e+01;-3.107395e-01;9.286213e-01;3.704904e+00;6.338954e+00;5.552180e-01;1.027341e+01;1.085568e+01;-1.720387e+00;-5.548833e+00;6.344656e+00;2.540108e+00
9;0.900000;-5.072701e+00;8.124765e+00;-9.646509e+00;4.245095e+00;1.227804e+00;2.440333e+00;8.230192e+00;-1.173796e+00;1.028643e+01;7.089866e+00;-4.464070e+00;-5.060448e+00;2.392596e+00;2.893753e-01
10;1.000000;-8.218134e+00;1.052650e+01;5.090956e+00;5.990715e+00;-6.308420e+00;1.928036e+00;4.975746e+00;-6.760154e+00;1.330800e-01;-4.624698e+00;4.102783e-01;-2.218050e+00;-7.675560e+00;-1.204056e+00
