frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;4.241340e+00;3.099178e+00;-1.689162e+00;-4.165208e+00;9.147573e+00;5.525797e+00;-1.178098e+00;3.614661e+00;-5.536706e+00;1.407349e+00;6.069697e-01;-6.249704e-01;-3.064408e+00;4.649696e+00
1;0.100000;3.223485e+00;1.131074e+00;-2.259074e+00;-2.768476e+00;6.118070e+00;5.164805e+00;-2.405262e+00;4.057663e+00;-3.634311e+00;1.539024e+00;-1.201549e+00;-9.922810e-01;-3.809839e+00;3.061615e+00
2;0.200000;3.367055e+00;1.205152e+00;-4.615605e+00;-4.893103e-01;6.500646e+00;6.856755e+00;-3.959856e-01;1.939686e+00;-2.139648e+00;7.258868e-01;2.842305e+00;2.483912e-01;-3.180811e+00;-1.243858e+00
3;0.300000;5.031162e+00;7.503891e-02;-6.236156e+00;-8.963108e-01;9.132338e+00;3.241663e+00;-1.573599e+00;3.825247e-01;-5.089629e+00;9.107718e-01;1.013630e+01;2.194629e-01;-2.061426e+00;-9.690857e-01
4;0.400000;6.029962e+00;-2.611365e+00;-6.506253e+00;-6.839080e-01;7.450688e+00;1.787778e+00;-3.634443e+00;6.754737e-01;-6.279305e+00;3.075695e+00;5.564198e+00;1.123047e-01;-2.268998e+00;-5.545731e-01
5;0.500000;4.238182e+00;-3.571165e+00;-8.754516e+00;2.117367e-01;8.596143e+00;-4.249866e+00;-1.315400e+00;-1.325843e-01;-3.427483e+00;3.834677e-01;-7.730276e-01;-9.058809e-02;-4.380905e+00;-1.367188e+00
6;0.600000;8.475971e-02;8.281202e-01;-7.858882e+00;4.649448e+00;5.316588e+00;-4.457478e+00;2.086299e+00;-2.059908e+00;2.684671e+00;-4.833142e+00;-2.680014e+00;-3.866648e+00;-1.154962e+00;-3.288803e-01
7;0.700000;-4.508556e+00;5.474348e+00;-2.358897e+00;4.227568e+00;-3.925171e+00;-4.154785e+00;-1.649327e+00;-8.400594e+00;2.985083e+00;-8.491560e+00;-3.029293e+00;-4.374202e+00;7.581966e-01;5.066681e-02
8;0.800000;-7.752239e+00;7.629149e+00;7.663607e+00;1.651678e+00;-1.146699e+01;-5.202726e+00;-2.091396e+00;-1.295537e+01;-4.079512e+00;-5.786551e+00;1.499736e+00;-2.947359e+00;1.872382e+00;-2.013321e-01
9;0.900000;-7.257440e+00;4.780576e+00;1.084781e+01;-4.973516e-01;-1.188170e+01;-6.563511e+00;-6.012793e-01;-1.114454e+01;-7.084916e+00;-3.071923e+00;2.181957e+00;-2.703781e+00;1.588128e+00;-6.604996e-01
10;1.000000;-7.557802e+00;6.195348e+00;5.106876e+00;3.497409e+00;-9.458899e+00;-5.015184e+00;3.487496e+00;-4.848135e+00;2.352781e-01;-8.974028e-02;2.436332e+00;-1.600385e-01;2.900564e+00;-1.272850e+00
11;1.100000;-6.399359e+00;2.573001e+00;-6.787290e+00;2.951699e+00;-7.325539e+00;-3.805632e+00;2.725448e+00;-7.450550e-01;6.966005e+00;-4.670595e+00;-3.846926e+00;-4.238358e+00;-1.267961e+00;1.000153e+00
12;1.200000;-5.457866e+00;-2.083548e+00;-4.643250e+00;-5.149622e-01;-1.038070e+01;-4.066713e+00;4.659634e-01;-9.230625e-01;4.674311e+00;-4.853964e+00;-5.815479e+00;-5.407931e+00;-2.175287e+00;3.073372e+00
13;1.300000;-2.766289e+00;-2.903527e+00;4.962899e+00;-9.558277e-01;-7.578951e+00;-2.213211e-01;3.045031e+00;4.530725e+00;6.147874e+00;1.901036e+00;-4.340518e-01;4.119382e-01;3.288813e+00;2.061760e+00
14;1.400000;9.197984e-01;-3.297695e+00;1.269159e+01;-1.827950e+00;-2.686079e+00;3.059965e+00;4.324784e+00;7.378888e+00;6.318404e+00;7.713523e+00;2.061680e+00;5.635641e+00;8.045931e+00;-1.522621e+00
15;1.500000;4.687834e+00;-4.734946e+00;3.227079e+00;1.471843e+00;4.825595e+00;4.492017e+00;2.351015e+00;9.125503e+00;6.932409e+00;8.358311e+00;-5.110884e-01;1.051845e+01;5.552377e+00;-2.305321e+00
16;1.600000;5.048810e+00;-5.637151e+00;1.348703e+00;-5.127554e-01;6.023237e+00;4.165005e+00;-1.355572e-01;7.352010e+00;3.713535e+00;4.414900e+00;-2.570859e+00;7.474895e+00;1.346939e+00;-1.423904e+00
17;1.700000;4.827153e+00;-8.151586e+00;5.860561e+00;-5.349325e+00;1.593139e+00;3.443460e+00;-3.505698e+00;2.152111e+00;-3.386074e+00;1.367516e+00;-6.467188e+00;7.850752e-01;-1.988733e+00;-2.047134e+00
