frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.852130e+00;-9.828293e+00;-3.318272e+00;8.731979e+00;5.101585e-02;4.442450e+00;2.173232e+00;-5.302807e+00;-1.962390e-01;-6.078883e+00;-6.908385e+00;5.872120e+00;3.818753e+00;2.620636e+00
1;0.100000;2.759048e+00;-5.688323e+00;-4.399714e+00;8.849168e+00;-1.524527e+00;3.398326e+00;3.817172e-01;-5.413586e+00;3.863340e+00;-5.269447e+00;-7.130256e+00;3.390624e+00;4.077051e+00;8.520660e-01
2;0.200000;3.135473e+00;1.536490e+00;-6.537731e+00;3.994596e+00;1.592056e+00;2.998947e+00;-1.784673e+00;-3.254323e+00;5.275633e+00;-4.296920e+00;-1.665428e+00;5.776801e-01;1.744199e+00;-2.279602e+00
3;0.300000;2.999291e+00;9.639311e-01;-7.619679e+00;-4.486019e+00;5.489925e+00;7.135826e+00;-3.721383e+00;-1.302244e+00;-2.310333e-01;4.018211e-01;3.805462e+00;-2.366197e+00;-1.455370e+00;-1.057549e+00
4;0.400000;2.353374e+00;-2.577605e+00;-6.984191e+00;-2.972612e+00;5.919372e+00;4.908827e+00;-5.503767e+00;2.034457e+00;-2.156771e+00;3.897752e+00;1.306699e+00;-2.939718e+00;-2.403251e+00;1.108147e+00
5;0.500000;-2.183194e+00;1.788746e+00;-8.132077e+00;-1.053681e-01;8.212185e+00;-2.716699e+00;1.438079e-01;-1.302165e+00;2.721826e+00;3.380236e+00;1.539104e+00;-3.141701e+00;-6.191821e-01;2.170258e+00
6;0.600000;-6.366538e+00;9.030380e+00;-4.387081e+00;-2.125611e-01;8.211091e+00;-7.043841e+00;-6.577587e-02;-2.579812e+00;3.400686e+00;2.616354e+00;1.703760e+00;-9.456334e-01;3.223395e-01;8.494568e-01
7;0.700000;-7.714443e+00;8.598222e+00;5.173053e+00;-1.983542e+00;-2.056278e+00;-5.334460e+00;3.606877e+00;-4.155633e+00;9.794643e-01;6.943892e-01;3.834981e+00;6.210227e-01;-1.210079e+00;7.518539e-01
8;0.800000;-4.078717e+00;3.947783e-01;9.855350e+00;-3.188535e+00;-6.700683e+00;-4.651993e+00;3.684705e+00;2.339079e+00;1.095881e-01;-3.046702e-01;1.927528e+00;-9.301944e-01;-9.552011e-01;2.355385e+00
9;0.900000;-1.452783e+00;-3.715744e+00;1.174371e+01;-3.817057e+00;-7.523572e+00;-2.973974e+00;1.086080e+00;8.277895e+00;-3.718382e+00;2.168587e+00;-6.378231e-01;2.158818e-01;-4.896097e-01;1.473473e+00
10;1.000000;1.867266e+00;-3.194058e+00;1.049035e+01;-3.023839e+00;-7.685922e+00;-1.078105e+00;-7.054596e-01;9.652721e+00;-6.457463e+00;1.684462e+00;-7.640123e-01;2.108474e-01;1.725783e-01;-2.059570e+00
11;1.100000;6.829093e+00;2.691479e+00;4.116271e+00;-1.786216e+00;-3.984666e+00;9.146934e-01;7.046387e-01;1.006416e+00;-3.590653e+00;1.106319e+00;2.988365e+00;-5.647292e-01;-3.002229e+00;-6.784637e+00
