frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;5.374941e+00;3.704134e+00;-1.537383e+00;-4.246681e+00;2.350941e-01;1.162566e+00;-4.863682e+00;-2.082974e+00;-4.902903e+00;3.873638e+00;-4.141335e-01;-8.056170e+00;-6.411979e+00;-2.399422e+00
1;0.100000;4.869766e-01;2.752560e+00;2.142599e+00;-5.531311e+00;-2.878775e+00;-1.581124e+00;-6.572884e+00;-2.996460e+00;-5.459344e+00;3.929171e+00;-1.338037e+00;-7.713587e+00;-4.123875e+00;1.108566e+00
2;0.200000;-2.028454e+00;4.800231e+00;4.913387e+00;-4.315199e+00;-5.261323e+00;-2.699252e+00;-7.679645e+00;-2.232831e+00;-4.150530e+00;4.573806e+00;-4.024215e-01;-8.499739e+00;-2.007668e+00;1.125328e+00
3;0.300000;-1.823652e+00;6.296854e+00;7.069748e+00;-1.266382e+00;-8.593862e+00;-3.622119e+00;-3.167488e+00;2.139654e-01;-3.413704e+00;7.253807e+00;4.377370e+00;-8.871572e+00;-5.106569e+00;-6.526642e-01
4;0.400000;7.306175e-01;2.200210e+00;6.545686e+00;1.695232e+00;-1.269545e+01;-2.702100e+00;2.881863e+00;-2.122638e+00;-2.221908e+00;6.190413e+00;2.923514e+00;-8.375824e+00;-1.330010e+01;-1.079414e+00
5;0.500000;2.806787e+00;-1.794355e+00;3.632248e+00;-1.832920e+00;-7.346652e+00;4.892867e+00;7.870185e+00;-1.682419e+00;-7.668523e+00;2.847392e+00;1.147700e+00;-9.736742e+00;-1.407060e+01;-1.266479e+00
6;0.600000;4.459529e+00;-3.960950e+00;-5.575937e+00;-6.144796e+00;1.539121e+00;9.683009e+00;1.160316e+00;3.950714e+00;-9.418795e+00;-2.643023e-01;-1.368291e+00;-1.004889e+01;-2.473935e+00;-4.099655e-01
7;0.700000;2.682083e+00;-4.254634e+00;-9.125346e+00;-7.301590e+00;1.231789e+00;8.448309e+00;-3.563499e+00;2.909279e+00;-7.479807e-01;-1.179066e+00;-1.709594e+00;-1.428858e+00;4.907764e+00;1.707008e+00
8;0.800000;9.402971e-01;-2.260643e+00;-7.692507e+00;-4.939249e+00;-6.322696e+00;4.834493e+00;-5.186093e+00;-1.274177e+00;1.740867e+00;-5.695069e-02;-7.408195e-01;1.119846e+00;5.353090e+00;2.043091e+00
9;0.900000;-5.872345e-02;4.059054e+00;-1.265871e+00;-6.629791e-01;-1.459954e+01;1.022099e+00;-5.181928e+00;-5.788984e+00;1.558711e+00;1.089273e+00;-1.855497e+00;2.461414e-01;2.675368e+00;6.060791e-02
