frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;5.916503e+00;-8.493027e+00;3.073510e+00;3.509597e+00;5.632278e+00;-2.245694e+00;9.434278e+00;4.863731e+00;-9.038715e-01;8.796024e+00;8.421383e+00;8.362556e+00;1.222872e+00;3.216003e+00
1;0.100000;2.515368e+00;-5.423825e+00;-1.798300e+00;2.017355e+00;2.531855e+00;7.337017e-01;8.836023e+00;7.964292e+00;-1.052266e+00;7.356112e+00;9.490285e+00;6.908041e+00;2.581321e+00;4.171379e+00
2;0.200000;-1.794240e+00;1.350563e+00;-5.641459e+00;-7.454929e-01;1.633412e+00;3.591072e+00;1.221746e+01;7.423117e+00;-1.240330e-01;4.413471e+00;7.702924e+00;5.484742e+00;1.576611e+00;2.031967e+00
3;0.300000;-3.023273e+00;9.832313e+00;-2.486513e+00;-3.346817e+00;1.411553e+00;6.907914e+00;1.296641e+01;2.241500e+00;-2.086582e+00;4.839749e+00;3.524222e+00;6.761227e-01;1.621554e+00;-1.813873e+00
4;0.400000;-6.188354e-01;1.187339e+01;4.526968e+00;-5.585649e+00;-3.879051e-01;3.001652e+00;1.017140e+01;6.293456e+00;-2.578252e+00;7.909487e+00;1.649157e+00;-2.707443e+00;6.807700e+00;-4.740425e+00
5;0.500000;4.485764e+00;4.579459e+00;6.298109e+00;-9.537579e+00;1.902632e+00;-1.062257e+00;7.929309e+00;8.986965e+00;-3.938562e+00;4.260977e+00;-1.514433e+00;4.269213e+00;6.886973e+00;-3.710876e+00
6;0.600000;5.538527e+00;2.197490e+00;4.357079e+00;-1.267079e+01;-1.272077e+00;2.286622e+00;6.305255e+00;7.644878e+00;-4.710632e+00;-2.229342e+00;-2.430893e+00;5.901203e+00;5.495857e+00;-2.446136e-01
7;0.700000;5.701066e+00;6.800528e-01;4.017245e+00;-1.614954e+01;-3.259698e+00;7.105346e+00;1.386863e+00;6.204394e+00;-8.930874e+00;-6.046994e+00;-4.236485e+00;4.971993e+00;4.158761e+00;4.745331e-01
8;0.800000;4.082214e+00;-5.013833e-01;1.878674e+00;-1.919393e+01;-3.785181e+00;8.129498e+00;-3.413647e+00;1.879879e+00;-1.165386e+01;-7.198623e+00;-5.934164e+00;3.837341e+00;1.822888e+00;-1.661446e+00
9;0.900000;4.989147e-01;1.626885e+00;-7.697582e-01;-1.401025e+01;1.814788e+00;4.678583e+00;-4.901276e-01;-4.107998e+00;-2.368462e+00;-2.402948e+00;-4.039170e+00;4.770852e+00;2.700368e+00;-4.952141e+00
