frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;4.731110e+00;-3.440661e+00;8.544893e-01;1.784579e+00;-5.219862e+00;2.462645e+00;2.914877e+00;6.169868e+00;4.979002e+00;1.077662e-01;2.696165e+00;1.942242e+00;-5.084887e+00;-1.742531e+00
1;0.100000;4.570693e+00;-9.496790e+00;-1.927634e+00;1.612936e+00;-1.222538e+00;2.676056e+00;7.319375e+00;2.474444e+00;7.305907e+00;-3.995806e+00;-1.360335e+00;-6.321869e-01;3.184720e+00;-6.741257e-01
2;0.200000;4.242523e+00;-1.193528e+01;-4.532096e+00;4.521847e-01;5.241051e-01;3.595215e+00;5.302982e+00;-5.832977e-01;4.117133e+00;-6.250718e+00;-5.857540e+00;-3.645124e+00;5.776371e+00;-4.606247e-01
3;0.300000;2.202593e+00;-6.072947e+00;-4.284465e+00;1.972449e+00;1.171041e+00;2.676470e+00;2.244441e+00;2.825089e-01;-1.382415e+00;-5.315472e+00;-1.254477e+01;-2.390978e+00;2.024182e+00;2.808456e-01
4;0.400000;-2.829475e-01;9.873189e-01;1.299978e+00;3.309764e+00;2.079268e+00;-1.313030e+00;1.944578e+00;2.978849e+00;-6.495075e-01;-3.739398e+00;-1.091364e+01;1.273518e+00;1.480133e+00;2.473221e-01
5;0.500000;1.213987e+00;-3.585668e-01;9.080086e-01;2.792083e+00;2.242884e+00;-1.874437e+00;7.175195e-01;-2.039259e+00;2.876654e-01;2.759808e+00;-4.480308e+00;1.963070e+00;-2.987725e+00;8.365860e-01
6;0.600000;4.673788e+00;-3.493057e+00;-2.009639e+00;-5.007162e-01;3.268670e+00;1.270367e+00;5.343385e-01;-5.220720e+00;1.471743e+00;3.353405e+00;3.711664e-01;-1.691546e+00;-4.898751e+00;8.423386e-01
7;0.700000;4.618507e+00;-1.812528e+00;-3.948240e+00;-5.197860e+00;5.313251e+00;4.881785e+00;-3.458092e+00;-4.796583e+00;-5.054188e-01;5.075839e+00;3.713264e+00;-6.078438e+00;-2.771618e+00;2.246780e-01
8;0.800000;-1.005133e+00;5.102744e+00;-4.865729e+00;-7.640262e+00;7.316338e+00;7.128344e+00;-7.671252e+00;-4.032171e+00;-2.736556e+00;4.535060e+00;2.601874e+00;-5.097362e+00;-9.754801e-01;6.354218e-01
9;0.900000;-6.763275e+00;1.088515e+01;-1.883284e+00;-6.011882e+00;8.229138e+00;4.318737e+00;-6.035519e+00;-8.576412e-01;-4.291168e+00;1.492285e+00;4.625975e+00;-2.265969e+00;-9.069304e-01;7.703400e-01
10;1.000000;-1.094308e+01;9.753620e+00;4.118588e+00;-2.424067e+00;-4.609114e+00;-7.710888e+00;-3.057742e+00;2.175024e+00;-5.893814e+00;4.710736e-01;8.302239e+00;2.371972e+00;-1.283835e+00;-5.059814e-02
11;1.100000;-7.039328e+00;7.077982e+00;7.324472e+00;3.148211e+00;-1.016124e+01;-1.045126e+01;-1.263428e-01;2.810166e+00;-2.126998e+00;1.196526e+00;7.132442e+00;6.781431e+00;2.149909e+00;4.673004e-01
12;1.200000;-2.194443e-01;2.803018e+00;8.945557e+00;6.702590e+00;-8.931952e+00;-7.659990e+00;-6.291604e-01;6.388206e-01;-5.755692e-01;3.096306e-01;5.713465e+00;7.469374e+00;4.293909e+00;-1.376907e+00
