frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;8.716099e+00;-1.190698e+00;-8.334382e+00;-4.469777e+00;8.290546e+00;3.105042e+00;-2.500227e+00;-1.057121e+01;-3.916873e+00;-9.610596e-01;1.004637e+00;-2.585745e-01;5.558718e+00;-2.476814e+00
1;0.100000;6.793198e+00;-7.949519e+00;-7.960803e+00;-2.763191e+00;7.587736e+00;4.293197e+00;-1.167027e+00;1.147591e+00;8.632703e-01;4.843636e+00;3.503587e+00;4.525777e+00;4.455586e+00;6.473007e-01
2;0.200000;4.903958e+00;-9.556430e+00;-5.346270e+00;-1.499549e+00;4.549591e+00;2.460817e+00;-2.814350e-01;6.477216e+00;2.664803e+00;5.772921e+00;2.371386e+00;4.276620e+00;2.836831e+00;1.785332e+00
3;0.300000;3.162213e+00;-7.842494e+00;7.444404e-01;-1.351068e+00;-8.028526e-01;-2.914125e+00;-4.361362e+00;7.722890e+00;-2.841540e+00;3.376154e+00;-2.730242e+00;-8.604956e-01;-1.443828e+00;7.532806e-01
4;0.400000;1.569529e+00;-3.678524e+00;8.061723e+00;-8.972847e-01;-4.080427e+00;-6.050940e-01;-3.778742e+00;8.851288e+00;-5.823546e+00;4.866489e+00;-1.120252e+00;-4.618893e+00;-3.415812e+00;-5.025482e-02
5;0.500000;1.912722e+00;-2.721702e+00;7.563651e+00;1.070335e-01;-2.293060e+00;-1.969585e-01;-5.638357e+00;8.691740e+00;-2.444382e+00;6.258731e+00;-2.521741e+00;-6.045805e+00;-2.660007e-01;-5.432053e-01
6;0.600000;2.852794e+00;-6.351556e+00;1.160313e+00;-1.838782e+00;-3.387018e+00;-4.259977e+00;-8.540688e+00;7.214398e+00;1.376259e+00;5.817257e+00;-2.153405e+00;-1.319852e+00;2.246637e+00;5.398407e-01
7;0.700000;1.538761e+00;-5.768565e+00;7.386627e-01;-8.185732e-01;-4.693094e+00;-3.999851e+00;-3.339073e+00;5.435869e+00;5.435719e+00;7.139030e+00;3.787408e+00;3.806733e+00;3.399871e+00;1.548775e+00
8;0.800000;-2.189667e+00;-8.704891e-01;3.086769e-01;9.989847e-01;-5.104361e+00;-5.750788e+00;2.179524e+00;-8.714561e-01;3.766577e+00;4.039803e+00;3.165138e+00;2.428710e+00;-2.247507e+00;-4.165344e-01
9;0.900000;-3.294258e+00;8.633936e+00;4.624836e+00;5.967757e+00;3.718376e-02;-3.603041e+00;6.670334e+00;-4.599047e+00;-4.681935e-01;4.157203e+00;2.380695e+00;1.884039e+00;-2.049639e+00;-4.546562e+00
10;1.000000;-2.914841e+00;5.516928e+00;1.067516e+01;6.633014e+00;1.645498e+00;2.698985e+00;-3.071899e-01;-4.722832e+00;-5.846935e+00;-3.785063e+00;-1.882703e+00;-4.112722e+00;-2.877001e+00;-3.255928e+00
11;1.100000;-5.323488e+00;6.627074e+00;8.909279e+00;1.610933e+00;6.670380e-02;-1.089981e+00;-1.015739e-01;-8.293575e+00;-5.011701e+00;-6.291939e+00;-1.215257e+00;-6.689974e+00;-4.017677e-01;-2.406006e-01
12;1.200000;-6.137682e+00;8.291693e+00;3.378567e+00;-6.374834e-01;1.183413e+00;-6.444788e+00;-4.428158e-01;-8.815081e+00;-3.049427e+00;-5.630985e+00;-2.825744e-01;-1.611898e+00;3.672316e+00;1.253975e+00
13;1.300000;-4.407204e+00;7.036116e+00;-1.467882e+00;5.822678e-01;3.026064e+00;-7.853579e+00;1.662975e+00;-2.334405e+00;1.011506e+00;-5.284243e+00;-2.755108e+00;9.517422e-01;3.214294e+00;1.516304e+00
14;1.400000;-2.788912e+00;-8.533564e-01;-3.281759e+00;-2.844839e-01;-1.726315e+00;-2.674459e+00;5.053720e+00;5.155749e+00;6.358201e+00;-4.872385e+00;-3.387194e+00;2.642586e+00;-1.326370e+00;1.795990e+00
15;1.500000;-2.746092e+00;-4.704524e+00;-4.341124e+00;-2.126110e+00;-2.738434e+00;-1.162863e+00;6.360965e+00;6.436286e+00;8.480147e+00;-3.754448e+00;-1.209150e+00;5.601695e+00;-9.741411e-01;1.678276e+00
16;1.600000;-2.779800e+00;-1.859186e+00;-7.111211e+00;-2.464795e+00;4.165367e+00;1.164341e-01;5.885887e+00;2.037340e+00;6.255015e+00;-3.705816e+00;-2.854756e+00;1.966102e+00;-1.919235e+00;1.482742e+00
17;1.700000;-3.188000e-01;-1.406323e+00;-8.909129e+00;-5.647797e+00;7.331900e+00;4.435103e+00;8.078651e-01;-3.147022e+00;7.970459e+00;-2.253935e+00;-5.801319e+00;-3.305035e+00;-4.076615e+00;9.811172e-01
18;1.800000;3.434095e+00;-5.895616e+00;-3.300481e+00;-4.419141e+00;3.513906e+00;6.820327e+00;-1.644266e+00;4.112815e+00;6.890933e+00;2.264289e+00;-1.569848e-01;-2.937256e+00;-2.038695e+00;1.023430e+00
19;1.900000;1.899807e+00;-5.113685e+00;-8.850157e-02;-2.167854e+00;-5.029583e-01;2.050235e+00;-4.377171e+00;5.292623e+00;1.359016e+00;2.387616e+00;1.291305e+00;-1.224013e+00;7.016182e-02;5.092697e-01
20;2.000000;-2.485647e+00;2.061471e+00;2.228972e+00;3.860353e+00;-9.785614e-01;-3.287785e+00;-1.278416e+00;-9.703836e-01;3.778505e-02;4.930735e-01;4.038806e+00;9.880819e-01;1.309470e+00;-7.041931e-03
21;2.100000;-4.966805e+00;8.549832e+00;4.745883e+00;6.049211e+00;-2.000540e+00;-3.471561e+00;7.858400e-01;-7.076042e+00;-1.781106e+00;1.231708e+00;5.381896e+00;6.834393e-01;-7.178793e-01;-9.855957e-01
22;2.200000;-4.084232e+00;8.697512e+00;2.016142e+00;-3.891556e-01;-5.425550e+00;2.639234e+00;4.765771e+00;-1.087799e+01;-7.557259e+00;-4.650780e+00;1.462524e+00;-3.606332e+00;-2.651284e+00;-1.718002e+00
23;2.300000;2.624604e+00;6.981571e+00;-5.455698e-01;6.173182e-02;-2.923016e+00;1.095648e+01;6.143408e+00;-5.089836e+00;-7.227810e+00;-4.332495e+00;1.569584e+00;4.681482e-01;9.935579e-01;-1.402672e+00
