frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;6.457716e+00;2.504388e+00;-1.011643e-01;1.550428e+01;5.695724e+00;1.802019e+01;1.130192e+01;4.060652e+00;1.472831e+01;3.851484e+00;-1.652812e-01;-7.022116e+00;1.021776e+00;5.313751e+00
1;0.100000;3.373524e+00;5.364161e+00;-3.310509e+00;1.376665e+01;7.203149e+00;1.509410e+01;1.059657e+01;1.135289e+00;1.386804e+01;3.169224e+00;-1.434676e+00;-6.694337e+00;2.609533e+00;3.826721e+00
2;0.200000;1.857242e+00;8.574394e+00;-5.997782e+00;5.027985e+00;2.498187e+00;6.521226e+00;3.899860e+00;-4.485559e+00;7.007258e+00;3.383515e+00;-2.117824e+00;-6.059330e+00;3.786388e+00;-1.090240e-01
3;0.300000;3.553464e+00;6.874386e+00;-3.426248e+00;-5.396942e+00;3.570910e-01;4.407979e+00;-7.820415e-01;-2.929624e+00;-1.022962e+00;4.251506e+00;-1.370396e+00;-7.135635e+00;2.387643e+00;-2.711960e+00
4;0.400000;4.871274e+00;5.424155e+00;-5.243134e-01;-7.018486e+00;4.089817e+00;1.066299e+01;-3.466475e+00;3.112148e+00;-8.898993e-01;2.926431e-01;3.567516e+00;-1.448246e+00;2.642237e+00;-3.143555e+00
5;0.500000;4.875216e+00;4.535852e+00;-4.572087e+00;-7.518574e+00;4.232719e+00;1.703405e+01;-5.176645e+00;4.417648e+00;1.287413e-01;-1.905227e-02;7.002402e+00;-4.944816e-01;7.771826e-02;-9.225006e-01
6;0.600000;5.805226e+00;2.887200e+00;-7.092046e+00;-9.045794e+00;3.918448e+00;1.865003e+01;-5.582788e+00;5.171609e+00;-9.926901e-01;3.078005e+00;5.779919e+00;-4.117846e+00;-8.478533e-01;-1.423950e-01
7;0.700000;6.525687e+00;6.993337e-01;-5.696360e+00;-6.777336e+00;3.883372e+00;1.427152e+01;-6.288078e+00;4.177515e+00;-2.292364e+00;3.864524e+00;9.875007e-01;-8.067703e+00;-2.410653e+00;-1.205139e+00
8;0.800000;7.361217e+00;-4.884410e-01;-2.809049e+00;-3.634182e+00;3.448393e+00;6.536325e+00;-7.526945e+00;-6.654401e-01;-3.600155e+00;2.607243e+00;-3.914681e+00;-1.048297e+01;-6.780415e+00;-4.089249e+00
9;0.900000;5.858095e+00;-5.089812e-01;-1.110896e+00;4.469805e-01;1.936253e+00;-2.123489e+00;4.458227e-01;-1.880131e+00;-1.600949e+00;-3.516502e+00;-1.277347e+00;-6.363448e+00;-1.253884e+01;-5.854362e+00
10;1.000000;8.744659e-01;2.629724e-01;-3.768172e-01;1.431548e+00;-5.708529e+00;-6.506797e+00;5.165184e+00;7.813650e+00;5.361090e+00;-1.065538e+01;-9.262938e-01;-7.344949e+00;-1.208320e+01;-2.469696e+00
11;1.100000;-7.394142e-01;-7.381806e-01;-2.586566e+00;-8.971863e-01;-8.219240e+00;-9.108541e+00;2.510343e+00;9.616895e+00;6.848112e+00;-1.084128e+01;4.409630e-01;-7.810488e+00;-9.292661e+00;8.913345e-01
12;1.200000;-5.685053e-01;-6.105433e-01;-3.376881e+00;-2.458876e+00;-6.927362e+00;-1.017922e+01;5.793877e-01;7.711719e+00;5.982038e+00;-8.243342e+00;1.406468e+00;-5.892834e+00;-7.064393e+00;6.774216e-01
13;1.300000;6.044550e-01;-2.001948e+00;-5.311718e+00;-6.696333e+00;4.032609e+00;-2.251042e+00;-1.019554e+00;1.380450e+00;2.500609e+00;2.671681e+00;7.609519e-01;6.030476e-02;-6.121567e+00;7.246857e-01
