frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;3.736450e+00;1.078982e+01;-7.123744e+00;-1.354293e+01;-1.026327e+01;3.291248e+00;-1.866823e+00;-1.283989e+01;-5.969719e+00;-1.577673e+01;-5.476346e+00;-2.823408e+00;1.609457e+00;-2.408508e+00
1;0.020000;4.835704e+00;1.077859e+01;-6.946394e+00;-1.277774e+01;-5.594432e+00;1.381011e+00;-1.589737e-01;-1.110279e+01;-1.034961e+01;-1.700039e+01;-1.154678e+01;-6.466391e+00;-5.311663e-01;-3.592827e+00
2;0.040000;7.959941e+00;1.212007e+01;-2.966362e+00;-9.971746e+00;-3.759546e-01;1.492767e+00;3.537216e+00;-5.659244e+00;-1.136987e+01;-1.397204e+01;-9.218092e+00;-7.029623e+00;-1.898203e-01;-7.525810e+00
3;0.060000;4.863230e+00;4.349017e+00;-4.588423e-01;2.777056e+00;9.287325e+00;-7.322238e+00;-6.105835e+00;-2.386111e+00;-4.597994e+00;-3.240694e+00;-1.595860e+01;-9.177485e+00;7.678915e+00;-4.853737e+00
4;0.080000;1.840376e+00;1.440535e-01;-2.483664e+00;3.821566e+00;6.197912e+00;-9.081391e+00;-6.746016e+00;1.794209e-01;-8.003554e-01;4.626719e+00;-1.096566e+01;-8.753053e+00;4.931069e+00;1.706635e+00
5;0.100000;9.261904e-01;-4.237621e+00;-5.745000e+00;1.581576e+00;3.529148e-01;-8.716239e+00;-7.081268e+00;9.595180e-01;2.197145e+00;4.025002e+00;-8.712070e+00;-9.152568e+00;-9.949541e-02;4.995644e+00
6;0.120000;-8.327942e-01;-1.002347e+01;-7.487275e+00;1.678286e-01;-4.814174e+00;-3.569724e+00;-6.119158e+00;2.122904e+00;5.537086e+00;-1.143073e+00;-5.834475e+00;-9.425109e+00;-3.195918e+00;6.322136e+00
7;0.140000;-2.433713e+00;-1.377207e+01;-5.401250e+00;2.463678e+00;-4.938707e-01;7.076320e+00;-2.139223e+00;7.837993e+00;5.749477e+00;-3.123926e+00;-4.237610e+00;-9.673524e+00;2.785857e-01;7.425064e+00
8;0.160000;-4.296611e+00;-1.587131e+01;-4.280110e+00;3.885210e+00;2.592955e+00;1.270115e+01;-1.515612e+00;9.284992e+00;1.056502e+00;-4.743785e+00;-6.004361e+00;-7.682075e+00;3.592610e+00;7.614655e+00
9;0.180000;-5.343418e+00;-1.583925e+01;-3.721143e+00;4.918489e+00;5.094636e+00;1.439382e+01;4.401302e-01;9.254396e+00;1.058813e+00;-4.435303e+00;-6.258867e+00;-4.673470e+00;5.446433e+00;7.091019e+00
10;0.200000;-6.190085e+00;-1.612068e+01;-4.820024e+00;4.771852e+00;6.051965e+00;1.363021e+01;1.452894e+00;6.394018e+00;9.693222e-01;-6.529235e+00;-7.396266e+00;-4.714117e+00;5.673066e+00;5.097061e+00
11;0.220000;-5.778931e+00;-1.864524e+01;-8.670149e+00;-1.183285e+00;3.143740e-01;8.450087e+00;8.518028e-01;8.117676e-03;-1.476764e+00;-1.038008e+01;-9.922352e+00;-5.113460e+00;5.821957e+00;5.038284e+00
12;0.240000;-1.597760e+00;-1.413007e+01;-5.097186e+00;-3.857574e-01;6.177082e-01;7.258430e+00;3.079586e+00;-3.188682e-01;-3.814168e-01;-5.490339e+00;-8.443656e+00;-1.386431e+00;6.587911e+00;6.354393e+00
13;0.260000;2.722931e-01;-9.782804e+00;-3.005879e+00;-1.567154e-01;9.733281e-01;4.279665e+00;3.447112e+00;-1.931081e+00;-1.343549e+00;-2.025780e+00;-9.117372e+00;1.233400e+00;5.715593e+00;5.293930e+00
14;0.280000;1.491433e+00;-7.250058e+00;-7.049794e-01;1.222066e+00;2.486987e+00;3.132999e+00;3.646740e+00;-1.995040e+00;-1.653212e+00;-4.597279e-01;-8.307297e+00;2.817306e+00;5.252058e+00;1.557472e+00
