frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.338739e+00;6.664701e+00;3.393136e+00;1.639751e+01;1.178905e+01;-4.002034e+00;8.384727e+00;2.786664e+00;4.649234e+00;6.112830e+00;-4.935813e-01;-1.046761e+00;7.543982e+00;-2.077818e+01
1;0.020000;5.060962e+00;4.752073e+00;6.539841e+00;1.334115e+01;2.929451e+00;4.022243e+00;1.669521e+00;-2.442174e-01;-1.221287e+00;5.751192e+00;1.347457e+00;-4.640540e+00;7.049591e+00;-1.225124e+01
2;0.040000;5.527338e+00;1.566846e+00;5.134587e+00;6.500039e+00;6.506348e-01;1.304251e+01;-3.887376e+00;3.679022e+00;-6.626565e+00;1.150600e+00;5.215908e+00;-2.903162e+00;7.066036e+00;-4.672028e+00
3;0.060000;5.580907e+00;-6.161633e-01;2.462662e+00;-1.283579e-01;-2.232756e+00;1.507178e+01;-9.345588e+00;8.435013e+00;-9.198948e+00;-1.033812e+00;7.397333e+00;-1.662992e+00;5.854442e+00;3.102646e-01
4;0.080000;5.971286e+00;-1.701754e+00;2.082026e-01;-4.254324e+00;-4.539116e+00;1.466046e+01;-1.172203e+01;1.133366e+01;-1.090509e+01;-2.227432e+00;7.375524e+00;-1.143475e-01;3.868791e+00;2.048920e+00
5;0.100000;6.869209e+00;-7.401252e-01;-3.847647e-02;-5.630692e+00;-4.479454e+00;1.449604e+01;-8.793223e+00;1.137841e+01;-1.033878e+01;-1.521158e+00;6.446231e+00;2.014009e+00;3.171435e+00;1.158607e+00
6;0.120000;7.236435e+00;1.978633e+00;5.348727e-01;-4.230959e+00;-2.091965e+00;1.153189e+01;-1.429495e+00;8.028366e+00;-6.999247e+00;6.934881e-01;3.210156e+00;1.859930e+00;4.434395e+00;-2.239174e+00
7;0.140000;4.973410e+00;5.612498e+00;1.766037e+00;6.725826e-01;4.293983e+00;4.616417e+00;6.853495e+00;2.204026e+00;-4.161304e+00;2.082196e+00;1.233170e+00;1.623484e+00;4.495390e+00;-6.881966e+00
8;0.160000;-3.762820e+00;3.826539e+00;9.914461e-02;7.192530e+00;6.478191e+00;-4.869031e+00;9.799829e+00;-3.717634e+00;8.799510e-01;1.674643e+00;-2.063022e-01;1.033214e+01;6.830425e-01;-4.350700e+00
9;0.180000;-3.969592e+00;1.307392e+00;-3.623564e+00;3.578645e+00;2.959348e+00;-7.726637e+00;6.507124e+00;-7.259522e+00;7.990389e-01;3.010934e+00;1.010931e+00;8.610745e+00;-3.164503e+00;1.914459e+00
