frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.090672e+01;1.260625e+01;-7.080896e+00;1.750445e+01;4.018148e+00;1.108875e+01;7.782467e+00;-2.480590e+00;1.822263e+00;-8.081984e+00;1.358114e+01;-5.052074e+00;3.346241e+00;-1.082198e+01
1;0.020000;-1.165870e+01;1.487927e+01;-7.161232e+00;1.930976e+01;5.136688e+00;1.135861e+01;8.578864e+00;-9.927132e-01;1.811781e+00;-7.309919e+00;1.384366e+01;-3.486858e+00;3.495330e+00;-1.045878e+01
2;0.040000;-1.155078e+01;1.581807e+01;-7.190907e+00;1.977118e+01;4.118464e+00;1.105143e+01;7.461970e+00;-1.555011e+00;3.232949e+00;-7.104353e+00;1.395146e+01;-3.246437e+00;3.836269e+00;-9.424698e+00
3;0.060000;-5.480402e+00;1.148215e+01;-1.458794e+01;9.178628e+00;-1.922693e+00;9.759800e+00;5.181939e+00;1.438116e+00;7.717072e+00;-1.478521e+01;4.116569e+00;-2.629052e+00;7.890494e+00;-4.260933e+00
4;0.080000;-8.598289e-01;7.766581e-01;-1.285651e+01;-9.815292e-01;-1.112283e+00;7.034563e+00;-3.680769e+00;2.410311e+00;3.860276e+00;-1.634772e+01;-3.657177e+00;-2.069351e+00;8.318247e+00;2.736732e+00
5;0.100000;7.538080e-01;-6.537416e+00;-9.244546e+00;-5.192579e+00;1.451065e+00;7.887775e+00;-7.131591e+00;4.430769e+00;-1.246935e+00;-1.058667e+01;-1.114638e+01;-1.653192e+00;7.312919e+00;7.341522e+00
6;0.120000;-9.517822e-01;-8.494382e+00;-1.022070e+01;-4.381300e+00;2.156670e+00;1.031259e+01;-8.666135e+00;3.533096e+00;-1.081532e+00;-7.895543e+00;-1.441325e+01;-2.984835e+00;6.768582e+00;9.206909e+00
7;0.140000;-2.968273e+00;-8.239405e+00;-1.150660e+01;-1.846239e+00;3.507496e+00;1.477988e+01;-7.199224e+00;1.411247e+00;2.026922e+00;-4.205803e+00;-1.414593e+01;-4.840757e+00;6.553572e+00;8.926941e+00
8;0.160000;-2.415052e+00;-7.125178e+00;-1.145474e+01;-2.383392e+00;4.987478e-01;1.320119e+01;-7.730968e+00;-1.102648e-01;3.431273e+00;-2.037255e+00;-1.154738e+01;-6.169420e+00;4.992312e+00;9.034180e+00
9;0.180000;2.025356e-01;-5.340280e+00;-1.026460e+01;-3.287384e+00;-2.213240e+00;9.401552e+00;-9.606809e+00;-1.608505e+00;1.092867e+00;-1.448414e+00;-9.050370e+00;-6.304786e+00;3.313583e+00;7.758438e+00
