frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.736932e+01;1.770807e+01;-2.593245e+00;2.215076e+01;8.674459e+00;1.230692e+00;8.634279e+00;3.172679e+00;6.622496e+00;-4.464754e+00;4.854922e+00;-3.733419e+00;7.016701e+00;-4.936569e+00
1;0.020000;-1.670176e+01;1.944830e+01;3.782179e-01;1.747116e+01;8.378469e+00;1.914126e+00;7.401273e+00;2.648485e+00;4.798733e+00;-4.164797e+00;5.828521e+00;-1.758015e+00;6.040193e+00;-5.025696e+00
2;0.040000;-1.453660e+01;1.882354e+01;2.721854e+00;1.274381e+01;9.867785e+00;1.418085e+00;3.268467e+00;9.051333e-01;2.412606e+00;-8.264026e+00;9.716420e-01;-3.160483e+00;4.262948e+00;-4.677254e+00
3;0.060000;-8.803202e+00;1.808097e+01;3.431696e+00;7.752981e+00;7.572659e+00;1.470482e-01;-2.069664e-02;-7.302633e-01;1.876518e+00;-7.646722e+00;2.006623e+00;-4.660119e+00;1.007243e-01;-5.653496e+00
4;0.080000;7.406807e-02;1.493519e+01;-1.226855e+00;2.391265e+00;4.657545e+00;2.852933e+00;2.420162e+00;-4.311166e+00;-2.317973e+00;-5.468222e+00;6.137775e+00;-5.534711e+00;-3.170786e+00;-7.146652e+00
5;0.100000;2.857026e+00;1.009338e+01;-1.781031e+00;-6.744703e+00;3.922636e+00;4.058422e+00;1.215824e+00;-6.217155e+00;-1.062708e+01;4.428687e+00;5.961687e+00;-5.805129e+00;-2.807735e-01;-3.567802e+00
6;0.120000;2.861984e+00;5.416859e+00;-2.023991e+00;-1.334081e+01;4.045958e+00;2.873808e+00;-1.578836e+00;-3.444106e+00;-9.096602e+00;1.108272e+01;4.535079e+00;-3.815661e+00;1.747006e+00;1.343384e+00
7;0.140000;2.887417e+00;3.108615e+00;-1.962557e+00;-1.757456e+01;2.714381e+00;3.257344e+00;-3.411245e+00;-4.045906e-01;-6.982941e+00;1.331524e+01;3.959474e+00;-3.941991e+00;3.392656e+00;3.957054e+00
8;0.160000;3.293051e+00;2.532097e+00;-1.362737e+00;-1.920257e+01;4.721546e-02;3.002026e+00;-2.362719e+00;1.858519e+00;-5.677861e+00;1.056401e+01;2.987186e+00;-5.646513e+00;2.537364e+00;4.151062e+00
9;0.180000;3.714164e+00;2.902635e+00;-8.954341e-01;-1.962119e+01;-3.057598e+00;2.528914e+00;2.993282e+00;2.298871e+00;-2.230768e+00;4.001661e+00;3.235651e+00;-6.584650e+00;1.384231e+00;3.038696e+00
10;0.200000;4.358135e+00;4.674073e+00;-3.288469e-01;-1.971486e+01;-4.903171e+00;4.817757e-01;4.740136e+00;-4.588563e-01;6.082220e-01;-1.640029e-01;3.544668e+00;-6.970849e+00;-1.223023e-01;1.719872e+00
11;0.220000;3.841896e+00;5.749730e+00;1.233371e+00;-1.773827e+01;-5.872502e+00;-2.586195e+00;2.167581e+00;-1.365493e+00;2.088472e+00;-9.049852e-01;2.816414e+00;-7.444264e+00;-1.536252e+00;8.794861e-01
12;0.240000;2.710803e+00;4.736871e+00;4.527560e+00;-1.488294e+01;-3.646004e+00;-3.236389e+00;1.413309e+00;-6.008331e-01;1.414343e+00;1.908150e-01;6.070628e-01;-8.704063e+00;-2.431891e+00;4.888000e-01
13;0.260000;2.502829e+00;4.813619e+00;6.443885e+00;-1.342229e+01;-1.754949e+00;-1.968131e+00;2.573865e+00;-9.250911e-01;-2.890873e-02;6.548600e-01;-1.787066e+00;-8.228718e+00;-8.308250e-01;-2.862244e-01
14;0.280000;3.032865e+00;5.684106e+00;7.722042e+00;-1.317590e+01;-1.596299e+00;-1.015209e+00;2.565129e+00;-3.502445e+00;-1.381344e+00;2.191647e+00;-2.711519e+00;-5.611472e+00;2.618004e+00;-9.555283e-01
15;0.300000;3.975242e+00;6.138938e+00;7.647334e+00;-1.226601e+01;-9.048347e-01;4.351737e-01;3.084097e+00;-7.760875e+00;-2.942680e+00;5.487644e+00;-1.687879e+00;-4.350232e+00;1.740246e+00;-2.002579e+00
16;0.320000;6.203017e+00;6.234054e+00;6.909720e+00;-9.363073e+00;-9.953494e-01;9.200558e-01;4.598153e+00;-1.090892e+01;-5.658815e+00;6.864892e+00;-4.138193e-01;-3.178689e+00;9.315822e-01;-3.661926e+00
17;0.340000;4.131917e+00;1.067733e+00;7.486777e+00;-5.802250e-02;-5.261182e+00;-7.085636e-01;-1.296969e+00;8.451083e-02;-2.053819e+00;-1.624909e+00;-1.667681e+00;-4.851665e-01;-1.634944e+00;-2.079292e+00
18;0.360000;-4.090727e+00;-2.176067e+00;1.465782e+01;-1.497798e+00;-9.266335e+00;-7.086884e+00;-6.835299e+00;6.322872e+00;-2.782195e+00;4.571157e+00;-4.435122e+00;2.725394e+00;1.184914e+00;3.934326e+00
19;0.380000;-7.541160e+00;-1.605764e+00;1.806182e+01;-5.238461e+00;-1.049372e+01;-1.073973e+01;-9.767225e+00;4.937104e+00;-6.709610e+00;1.134744e+01;-5.579937e+00;6.308133e+00;1.656321e+00;7.285011e+00
20;0.400000;-9.180327e+00;8.051430e-01;1.957640e+01;-1.024830e+01;-1.115048e+01;-9.383272e+00;-7.123009e+00;2.401965e+00;-9.809147e+00;1.578940e+01;-6.636152e+00;6.710591e+00;-1.288213e+00;8.492134e+00
21;0.420000;-8.997407e+00;1.687845e+00;1.869343e+01;-1.325548e+01;-1.208933e+01;-7.025190e+00;-4.479628e+00;-6.455749e-02;-1.196885e+01;1.818523e+01;-6.433966e+00;6.031111e+00;-4.689427e+00;9.175499e+00
22;0.440000;-8.642949e+00;1.200079e+00;1.759990e+01;-1.283802e+01;-1.134114e+01;-6.733464e+00;-4.145153e+00;7.660995e-01;-1.161998e+01;1.831573e+01;-7.418625e+00;4.875690e+00;-6.433281e+00;9.397926e+00
23;0.460000;-8.318602e+00;3.103020e-01;1.552466e+01;-1.198918e+01;-1.178618e+01;-8.928855e+00;-3.623203e+00;2.757683e+00;-1.195232e+01;1.726004e+01;-7.167340e+00;4.642601e+00;-8.163736e+00;8.619514e+00
24;0.480000;-7.852056e+00;-1.240331e+00;1.284342e+01;-1.065516e+01;-1.150411e+01;-1.278568e+01;-2.225918e+00;5.112102e+00;-9.230337e+00;1.570775e+01;-4.685618e+00;7.583111e+00;-8.466269e+00;7.454826e+00
