frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-6.490612e+00;1.838223e+01;-4.347804e+00;3.331772e+00;9.751971e+00;-1.221952e+01;-9.664179e+00;-3.848790e+00;9.237535e+00;1.425137e+00;5.106557e+00;-1.278770e+01;-9.473201e+00;-1.934624e+00
1;0.020000;-8.551658e+00;1.866312e+01;1.002904e+00;2.041688e+00;1.157440e+01;-7.929525e+00;-1.033105e+01;-7.311867e-01;6.770117e+00;-1.486441e+00;7.361111e+00;-1.119625e+01;-8.468551e+00;-2.283447e+00
2;0.040000;-6.499854e+00;1.741316e+01;3.174943e+00;-8.630834e-01;9.832475e+00;-2.711868e+00;-8.995592e+00;-7.716801e-01;5.139666e+00;-3.653153e+00;7.770236e+00;-7.000952e+00;-4.301307e+00;-3.460762e+00
3;0.060000;1.657994e+00;1.229394e+01;-1.529011e+00;-6.049001e+00;8.326688e+00;5.106554e+00;-4.639623e+00;-5.921112e+00;4.072757e-01;-1.988285e+00;9.791566e+00;-5.042583e-01;-1.205369e+00;-3.705399e+00
4;0.080000;5.314188e+00;5.870928e+00;-4.083779e+00;-1.158549e+01;4.513019e+00;5.063384e+00;-4.756890e+00;-2.315269e+00;-6.307101e+00;5.460391e+00;6.115073e+00;2.779369e+00;9.059081e-01;-9.614563e-01
5;0.100000;5.367151e+00;4.293307e+00;-4.382854e+00;-1.697423e+01;1.925117e+00;4.266260e+00;-6.919481e+00;3.442991e+00;-1.009586e+01;9.041155e+00;2.837935e+00;2.286172e+00;1.210241e+00;1.184616e+00
6;0.120000;5.907773e+00;3.148537e+00;-3.146179e+00;-2.004965e+01;3.349068e-01;4.354527e+00;-7.349514e+00;8.194421e+00;-1.243308e+01;8.374484e+00;-1.436276e+00;-2.085144e-01;1.584398e+00;1.084190e+00
7;0.140000;6.147809e+00;2.107341e+00;-9.656436e-01;-2.040785e+01;1.031530e-02;4.658399e+00;-2.103068e+00;8.365539e+00;-9.985365e+00;3.798113e+00;-2.804091e+00;-2.312181e+00;1.157598e+00;6.114960e-02
8;0.160000;6.393766e+00;2.421667e+00;2.021996e+00;-1.859840e+01;6.816415e-01;3.198783e+00;6.155529e-01;4.023085e+00;-5.605571e+00;1.452553e-02;-1.223520e+00;-2.323542e+00;5.214739e-02;-1.076714e+00
9;0.180000;6.403068e+00;2.200024e+00;4.496560e+00;-1.394641e+01;1.071282e+00;1.900507e+00;-1.787033e+00;-5.266156e-01;-5.477081e+00;-1.750976e+00;-2.506230e+00;-3.237854e+00;-1.790157e+00;-3.061790e+00
10;0.200000;6.932538e+00;3.111185e+00;6.918235e+00;-8.671160e+00;1.436964e+00;3.049927e+00;-1.145973e+00;-3.689369e+00;-6.081046e+00;-1.770330e+00;-5.571081e+00;-1.670169e+00;1.366139e+00;-5.307816e+00
11;0.220000;7.546274e+00;4.900931e+00;7.262542e+00;-5.379444e+00;2.903581e-01;1.768872e+00;2.691287e+00;-6.090081e+00;-5.936881e+00;-2.712677e+00;-9.609329e+00;-1.913176e-01;3.162972e+00;-7.294289e+00
12;0.240000;5.122797e+00;1.498392e+00;1.087212e+01;9.975553e-01;-8.168380e+00;-1.485694e+00;7.341566e-01;1.225242e+00;-6.183202e+00;-7.535666e+00;1.066344e+00;-2.603309e+00;2.313547e-01;-4.472824e+00
13;0.260000;-2.790489e-01;-4.172497e-01;1.543364e+01;9.615660e-01;-1.506749e+01;-4.795088e+00;-6.653984e+00;3.568261e+00;-9.659477e+00;7.197622e-01;5.272098e+00;4.852138e-01;4.894712e+00;7.594681e-01
14;0.280000;-5.001982e+00;-3.997636e-01;1.722139e+01;-4.067111e+00;-1.663198e+01;-6.042149e+00;-7.652916e+00;3.396617e+00;-1.288859e+01;9.643497e+00;5.591036e+00;4.774132e+00;7.515950e+00;3.360504e+00
15;0.300000;-8.378407e+00;7.920194e-01;1.701420e+01;-1.014587e+01;-1.520566e+01;-2.799725e+00;-5.908276e+00;3.168673e+00;-1.295730e+01;1.735089e+01;3.740576e+00;5.454031e+00;7.631907e+00;4.155205e+00
16;0.320000;-9.655180e+00;1.811647e-02;1.580040e+01;-1.242863e+01;-1.365806e+01;-1.912956e+00;-5.065593e+00;4.812037e+00;-1.110720e+01;1.911192e+01;5.642896e-01;3.690451e+00;5.850081e+00;5.004333e+00
17;0.340000;-9.213805e+00;-1.550673e+00;1.412758e+01;-1.280311e+01;-1.390050e+01;-2.101965e+00;-4.609846e+00;7.874562e+00;-1.109818e+01;1.896450e+01;-7.449150e-03;2.871091e+00;5.065894e+00;5.966438e+00
18;0.360000;-8.325062e+00;-2.247182e+00;1.263001e+01;-1.259664e+01;-1.427046e+01;-4.661798e+00;-4.584116e+00;7.429287e+00;-1.139554e+01;1.729622e+01;1.715488e-01;1.392818e+00;1.695847e+00;7.000534e+00
19;0.380000;-7.329484e+00;-2.359558e+00;1.266153e+01;-1.085893e+01;-1.278276e+01;-6.844378e+00;-3.449059e+00;7.028986e+00;-1.274376e+01;1.352291e+01;-1.702656e+00;-1.186978e+00;-3.337511e+00;7.026543e+00
20;0.400000;-5.365081e+00;-2.603562e+00;1.278225e+01;-7.807239e+00;-1.044143e+01;-8.587401e+00;-1.183752e+00;1.020442e+01;-1.207520e+01;1.194069e+01;-2.187735e+00;-9.267689e-01;-3.962814e+00;5.122551e+00
21;0.420000;-2.422024e+00;-3.685717e+00;1.185516e+01;-4.790403e+00;-7.700337e+00;-1.156461e+01;-4.129496e-01;1.084396e+01;-6.488780e+00;1.079884e+01;-1.736232e+00;2.883791e+00;-2.501779e-01;2.011711e+00
22;0.440000;-1.820827e-01;-2.873689e+00;1.023096e+01;-2.727481e+00;-8.687909e+00;-9.788295e+00;-3.456713e+00;4.313114e+00;2.780748e+00;3.261542e+00;-2.681561e+00;4.895522e+00;-2.236730e+00;9.924927e-01
23;0.460000;-3.767096e+00;4.257227e+00;5.979162e+00;1.843673e+00;-1.296648e+01;-9.015235e+00;-1.249198e+00;-2.118165e+00;3.537323e+00;-2.637765e+00;-2.050811e+00;2.232374e+00;-4.027721e+00;1.248329e+00
24;0.480000;-6.935941e+00;1.168426e+01;2.985193e+00;4.058708e+00;-1.526488e+01;-7.368138e+00;4.887516e+00;-3.440852e+00;2.332335e+00;-5.965549e+00;-6.175995e-02;6.366223e-02;-3.588196e+00;2.018890e-01
