frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;5.576106e+00;7.215041e+00;1.050845e+00;-1.638685e+01;-3.305464e-01;1.485805e+01;-1.107175e+01;1.470048e+00;-1.029642e+01;-5.944331e-01;6.117129e+00;8.346069e+00;1.794004e+00;-4.346085e+00
1;0.020000;3.451689e+00;8.376302e+00;-8.760965e-02;-1.307770e+01;-6.980743e-01;1.494971e+01;-1.149069e+01;4.624486e-03;-6.704967e+00;-1.791109e+00;9.687111e+00;6.500774e+00;2.388510e+00;-9.356689e-01
2;0.040000;5.553761e-01;1.086988e+01;-3.105089e+00;-7.548307e+00;8.397818e-02;1.225998e+01;-8.845753e+00;-2.900067e+00;-2.056584e+00;-3.427423e+00;1.310893e+01;7.339825e+00;5.931790e-01;3.228760e-01
3;0.060000;-3.153261e+00;1.276696e+01;-5.853343e+00;6.244841e-01;1.840051e+00;8.032042e+00;-4.212784e+00;-3.021322e+00;2.120856e+00;-2.866341e+00;1.399563e+01;9.211243e+00;-1.988702e+00;-4.318161e-01
4;0.080000;-7.782601e+00;1.102184e+01;-5.060857e+00;6.104033e+00;6.375560e+00;6.569189e+00;-3.099186e+00;-1.657574e+00;3.244537e+00;-2.711734e+00;1.192427e+01;6.343869e+00;-3.250564e+00;-1.140732e+00
5;0.100000;-5.269008e+00;9.601843e+00;-6.209031e+00;-3.711448e-01;4.240717e+00;6.267981e+00;-4.003839e+00;-2.687126e+00;2.827013e-01;-2.458116e+00;1.157158e+01;4.702863e+00;-2.354952e+00;1.833290e+00
6;0.120000;-1.564028e+00;7.680479e+00;-5.674417e+00;-6.252081e+00;2.191908e+00;8.413418e+00;-5.334145e+00;-3.805128e+00;-1.906811e+00;-1.180868e+00;1.072557e+01;3.692346e+00;-2.134679e+00;3.760643e+00
7;0.140000;1.778758e+00;5.193609e+00;-5.975955e+00;-1.087477e+01;-1.318019e+00;1.132625e+01;-8.589172e+00;-5.434717e+00;-5.278454e+00;3.363867e+00;7.341352e+00;6.436723e+00;-3.081772e+00;3.866463e+00
8;0.160000;4.815316e+00;3.274809e+00;-5.929259e+00;-1.186248e+01;-5.562644e+00;1.398239e+01;-1.134296e+01;-4.923317e+00;-9.604848e+00;6.029005e+00;3.756553e+00;1.106182e+01;-5.376961e+00;2.716118e+00
9;0.180000;6.826765e+00;3.589521e+00;-4.037184e+00;-1.109364e+01;-6.296095e+00;1.575549e+01;-1.112720e+01;-4.282163e+00;-1.004043e+01;5.303286e+00;3.378965e+00;1.278569e+01;-5.736301e+00;-3.370361e-01
10;0.200000;7.811103e+00;4.806254e+00;-1.311155e+00;-1.046298e+01;-3.811609e+00;1.571810e+01;-6.992283e+00;-4.421293e+00;-7.191701e+00;3.463733e+00;4.499258e+00;1.275489e+01;-3.889816e+00;-6.186607e+00
11;0.220000;7.549170e+00;5.100473e+00;-3.389454e-01;-1.129663e+01;-2.400414e+00;1.402530e+01;-4.703707e+00;-3.846614e+00;1.062060e+00;6.447644e-01;1.111879e+01;1.215582e+01;-7.204671e-01;-1.191515e+01
12;0.240000;5.262300e+00;-2.912599e+00;1.182746e+00;-6.811607e-02;-4.166281e+00;-2.140409e+00;4.280128e-01;-6.868851e-02;5.237916e+00;-2.662499e+00;4.811480e+00;6.594222e+00;-9.708066e-01;-1.032616e+01
13;0.260000;4.403423e+00;-6.193030e+00;5.461459e+00;1.641707e+00;-7.215069e+00;-1.108490e+01;-3.206860e+00;4.649043e+00;4.088356e+00;-2.497726e+00;-3.012284e-01;-2.343893e-02;-3.433485e+00;-2.812912e+00
14;0.280000;4.730177e+00;-7.123674e+00;6.672926e+00;-1.314849e+00;-8.407377e+00;-1.178113e+01;-4.557295e+00;1.150639e+01;1.061070e-01;-3.464179e-01;-1.413319e+00;2.399822e+00;-3.857271e+00;2.584366e+00
15;0.300000;3.951329e+00;-7.647918e+00;6.079283e+00;-4.484724e+00;-9.448801e+00;-1.156408e+01;-3.096296e+00;1.569660e+01;-1.927620e+00;-2.677040e-01;-2.187012e+00;3.068967e+00;-3.020616e+00;4.981483e+00
16;0.320000;2.848153e+00;-8.574067e+00;4.255787e+00;-5.589680e+00;-9.772284e+00;-1.017701e+01;-1.461689e+00;1.841672e+01;3.107691e-01;-3.848834e-01;-2.261760e+00;1.042002e+00;-7.285628e-01;5.401245e+00
17;0.340000;3.163446e+00;-8.402372e+00;3.501593e+00;-3.667664e+00;-7.568456e+00;-6.885463e+00;-1.947828e+00;1.916017e+01;3.729333e+00;3.635731e-01;-4.566226e+00;-1.875550e+00;1.377898e+00;4.653114e+00
18;0.360000;3.746302e+00;-6.518287e+00;3.153282e+00;-1.936092e+00;-4.503810e+00;-4.529701e+00;-3.143366e+00;1.500556e+01;6.650613e+00;1.179471e+00;-6.852523e+00;-2.458932e+00;1.473739e+00;2.563950e+00
19;0.380000;4.264817e+00;-5.957612e+00;-1.491438e+00;-2.165028e+00;-3.202083e+00;-1.102033e+00;-1.856108e-01;1.242987e+01;5.572839e+00;4.846954e+00;-1.114085e+01;-2.085703e+00;-5.526683e-01;1.800659e+00
20;0.400000;5.056172e+00;-7.871906e+00;-6.710970e+00;-4.004431e+00;-4.788137e+00;3.966825e+00;1.540718e-01;1.566588e+01;2.981429e+00;5.452476e+00;-1.251847e+01;-4.553005e+00;1.837588e+00;4.186806e+00
21;0.420000;4.137528e+00;-1.004078e+01;-1.041836e+01;-5.407368e+00;-3.769223e+00;6.306254e+00;1.668874e+00;1.474959e+01;3.234913e+00;3.873162e-01;-9.996316e+00;-7.396151e+00;2.176247e+00;5.010704e+00
22;0.440000;3.280545e+00;-1.405955e+01;-1.247662e+01;-4.437171e+00;2.283382e+00;6.405484e+00;3.984535e+00;9.943291e+00;1.278617e+00;-2.127456e+00;-7.652291e+00;-9.848671e+00;5.989828e-01;4.822899e+00
23;0.460000;3.784717e+00;-1.752193e+01;-1.122351e+01;-4.973822e+00;4.375405e+00;8.827931e+00;1.222281e+00;9.773652e+00;-1.811028e+00;-1.517307e+00;-8.026743e+00;-8.659679e+00;8.132074e-01;5.662086e+00
24;0.480000;3.733156e+00;-1.896531e+01;-9.075960e+00;-5.519342e+00;3.499826e+00;1.181156e+01;-1.210485e+00;1.196106e+01;-3.781728e+00;1.538882e-01;-9.544973e+00;-7.740451e+00;1.466784e+00;6.423164e+00
25;0.500000;2.904109e+00;-1.853901e+01;-7.075370e+00;-4.903585e+00;2.859743e+00;1.329551e+01;-2.532885e+00;1.401252e+01;-5.512831e+00;1.260320e+00;-1.140673e+01;-8.389267e+00;2.838818e+00;6.791595e+00
26;0.520000;1.884666e+00;-1.813945e+01;-6.168911e+00;-4.878580e+00;2.183322e+00;1.249980e+01;-2.724934e+00;1.536234e+01;-7.403068e+00;6.573706e-01;-1.359470e+01;-8.430481e+00;3.009859e+00;6.758705e+00
27;0.540000;2.082657e+00;-1.666652e+01;-6.328852e+00;-5.089265e+00;-3.341265e-01;8.294188e+00;-2.074656e+00;1.640352e+01;-6.244702e+00;1.826989e+00;-1.411836e+01;-6.896257e+00;1.354133e+00;6.471550e+00
28;0.560000;3.493190e+00;-1.300544e+01;-4.542415e+00;-4.009822e+00;-3.616334e+00;3.277323e+00;-2.802076e+00;1.557856e+01;-2.867027e+00;1.741945e+00;-1.264686e+01;-4.318989e+00;5.076737e-01;6.029198e+00
29;0.580000;4.732483e+00;-1.047620e+01;-1.137454e+00;-1.275242e+00;-6.913226e+00;1.860738e+00;-2.541872e+00;1.335163e+01;1.456219e+00;-2.220738e+00;-1.176631e+01;2.794075e-02;1.027659e+00;4.368774e+00
30;0.600000;2.967880e+00;-8.515593e+00;3.720796e+00;1.027602e+00;-8.331083e+00;5.017738e-01;3.309066e+00;3.169710e+00;4.794156e+00;-4.526069e+00;-9.819988e+00;8.531080e-01;2.384638e+00;2.271469e+00
31;0.620000;3.585644e-01;-5.558300e+00;9.230824e+00;1.197507e+00;-7.832002e+00;-3.796250e+00;-8.792248e-01;-6.679281e-01;-1.049163e+00;-2.909420e+00;-6.609651e+00;1.252160e-01;4.904880e+00;2.735085e+00
32;0.640000;1.574717e-01;-3.805710e+00;8.649103e+00;1.171227e+00;-5.365923e+00;-5.336199e+00;-6.641146e+00;2.750059e+00;-5.667286e+00;-1.176126e+00;-7.019489e+00;-3.635378e-01;7.726339e+00;2.700409e+00
33;0.660000;-1.551460e+00;5.392051e-01;4.114115e+00;1.536479e+00;4.379168e-01;-6.067334e+00;-7.921259e+00;2.873457e+00;-5.940583e+00;-3.142223e-01;-5.303960e+00;-3.563046e+00;9.249495e+00;1.844200e+00
34;0.680000;-4.955550e+00;6.283663e+00;4.233600e-01;1.263016e+00;5.516291e+00;-3.476947e+00;-6.289558e+00;1.973475e-01;1.816921e-01;-1.180623e+00;-3.386201e+00;-4.351348e+00;6.454988e+00;4.903564e-01
35;0.700000;-8.895308e+00;7.935413e+00;-9.194998e-01;2.298110e+00;7.576943e+00;-1.419950e+00;-3.595037e-01;1.556161e+00;3.079544e+00;-1.900641e+00;5.454446e-01;-9.499412e-01;2.172971e+00;-7.891006e-01
36;0.720000;-1.207896e+01;5.221204e+00;-3.001958e+00;2.400702e+00;9.362380e+00;-1.802213e+00;5.224608e+00;4.345841e+00;2.922634e+00;-1.234055e-02;2.555837e+00;-4.402852e-02;1.300541e+00;-1.871391e+00
37;0.740000;-9.965242e+00;5.070496e+00;-2.816220e+00;3.254806e+00;7.856847e+00;-8.838457e+00;2.629681e+00;4.547882e-02;-4.013098e+00;-5.917254e+00;-1.738561e+00;4.862282e-01;6.323500e-01;-1.454010e+00
38;0.760000;-4.092016e+00;5.561285e+00;-3.695238e-01;5.851038e+00;5.134099e+00;-1.216270e+01;1.326799e-01;-8.082836e+00;-3.351884e+00;-3.592976e+00;-5.807541e+00;2.286105e+00;1.555804e+00;2.319031e-01
39;0.780000;1.800079e-01;4.189579e+00;1.963245e+00;4.699400e+00;3.025102e+00;-1.119603e+01;-4.089781e+00;-9.995319e+00;1.517663e+00;1.368277e+00;-8.792291e+00;-7.231414e-01;3.753659e+00;6.755142e-01
