frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-9.183332e+00;2.376565e+01;-4.848235e+00;1.672760e+01;6.296019e+00;6.320741e+00;1.611319e+01;7.135273e+00;7.897302e+00;2.825186e+00;7.011539e+00;-4.571023e+00;9.430420e-01;-2.169942e+01
1;0.020000;-1.209938e+01;2.353563e+01;-4.846235e+00;1.510829e+01;8.615723e+00;8.048632e+00;1.436190e+01;6.505939e+00;6.358630e+00;1.140231e+00;7.206367e+00;-3.893803e+00;-5.596311e-01;-1.849368e+01
2;0.040000;-1.011628e+01;2.274240e+01;-5.836684e+00;9.452663e+00;2.537088e+00;4.558153e+00;8.817351e+00;1.111710e+00;-1.296601e+00;8.717651e-01;1.105676e+01;-2.406914e+00;-1.968076e+00;-1.281318e+01
3;0.060000;-4.430901e+00;1.445872e+01;-9.824379e+00;9.672976e+00;1.784793e+00;3.428093e+00;7.412254e+00;4.388981e-01;-5.356700e+00;-8.933903e+00;4.656181e+00;-1.085053e+00;-1.491049e+00;-5.301430e+00
4;0.080000;-6.808815e-01;3.061839e+00;-9.265007e+00;7.341110e+00;3.132531e+00;4.741421e+00;7.569290e+00;-3.193627e+00;-8.659542e+00;-1.022594e+01;5.202489e-01;1.904735e+00;-6.184437e-01;1.933670e-01
5;0.100000;9.563999e-01;-5.187415e+00;-5.500072e+00;1.521185e+00;9.974441e+00;3.702152e+00;8.724902e+00;-5.146630e+00;-9.478811e+00;-8.125438e+00;-2.900671e+00;5.149768e+00;-5.879800e-01;2.600090e+00
6;0.120000;8.883514e-01;-8.226943e+00;-3.949695e+00;-1.172373e+00;1.687949e+01;3.792886e+00;1.020142e+01;-5.437596e+00;-7.064491e+00;-5.262111e+00;-5.038221e+00;6.505219e+00;-9.153929e-01;2.419884e+00
7;0.140000;1.374902e+00;-6.905227e+00;-3.657652e+00;-3.643847e+00;2.409495e+01;4.693116e+00;1.157799e+01;-3.032125e+00;-6.820221e-01;9.197738e-01;-7.100838e+00;4.701582e+00;5.463350e-02;1.657005e+00
8;0.160000;1.561828e+00;-5.235749e+00;-5.412582e+00;-9.690260e+00;2.686957e+01;2.971658e+00;1.083687e+01;-2.440848e+00;2.069051e+00;4.329180e+00;-1.191707e+01;-2.028747e-01;2.645614e-01;1.417801e+00
9;0.180000;5.785570e-01;-5.153741e+00;-6.194423e+00;-1.368790e+01;2.634604e+01;-2.530107e-01;1.059781e+01;-2.586373e+00;3.229183e+00;4.638561e+00;-1.509184e+01;-3.770240e+00;-1.279012e+00;1.666313e+00
10;0.200000;7.468996e-01;-5.864223e+00;-4.571877e+00;-1.175094e+01;2.847102e+01;-1.702201e+00;1.144816e+01;-1.775357e+00;4.014932e+00;1.504602e+00;-1.318497e+01;-2.267888e+00;-2.438885e+00;2.864754e+00
11;0.220000;-1.341860e+00;-9.664851e+00;-3.567689e+00;-9.067333e+00;2.729417e+01;-2.584116e+00;8.815410e+00;-3.183619e+00;1.325346e+00;-5.769298e+00;-1.113829e+01;-6.388235e-02;-4.343984e+00;3.748238e+00
12;0.240000;-2.296358e+00;-1.057070e+01;8.513706e-01;-3.890594e+00;2.719726e+01;-1.192416e+00;9.443691e+00;-1.879505e+00;3.992081e-03;-9.001325e+00;-8.931608e+00;4.259899e+00;-6.008787e+00;4.720566e+00
13;0.260000;-2.076918e+00;-1.075775e+01;2.442079e+00;-3.074808e+00;2.173099e+01;-3.893628e+00;9.436463e+00;1.016651e+00;-1.784778e+00;-8.881567e+00;-8.228115e+00;9.261271e+00;-6.865389e+00;4.875595e+00
14;0.280000;-1.169699e+00;-1.043761e+01;-8.590927e-01;-6.235798e+00;1.170898e+01;-9.638670e+00;5.245885e+00;2.297683e+00;-4.188958e+00;-9.150294e+00;-1.143001e+01;9.974125e+00;-7.978955e+00;4.251076e+00
15;0.300000;1.055711e+00;-6.703889e+00;-5.538950e-01;-4.005421e+00;1.025414e+01;-1.160480e+01;4.356248e+00;3.049254e+00;-3.516456e+00;-7.501657e+00;-1.289363e+01;8.484091e+00;-7.690364e+00;2.853287e+00
16;0.320000;2.415081e+00;-4.428399e+00;5.332005e-01;-6.318645e-01;9.977161e+00;-1.463789e+01;1.400154e+00;1.339843e+00;-3.365736e+00;-6.604999e+00;-1.171603e+01;7.582426e+00;-7.277807e+00;-2.098007e-01
17;0.340000;2.808632e+00;-3.132045e+00;6.288872e+00;1.858276e+00;4.136551e+00;-1.703066e+01;5.450617e+00;3.665079e+00;-9.815540e-01;-1.438647e+00;-9.431746e+00;5.053371e+00;-1.422534e+01;-6.980896e-02
