frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;3.081254e+00;-4.489915e-01;-2.971639e+00;-4.298002e+00;6.337964e+00;-3.521782e+00;-7.574494e+00;9.654478e-01;2.855810e+00;6.319376e+00;-5.120054e+00;-8.088089e+00;-3.215706e+00;1.448616e+00
1;0.020000;4.253889e+00;1.992343e+00;-1.922534e+00;-1.757718e+00;6.385737e+00;-2.277493e+00;-5.748120e+00;6.593785e-01;3.520953e+00;5.410700e+00;-2.944072e+00;-4.812166e+00;-5.722192e+00;-2.399582e+00
2;0.040000;4.947852e+00;3.393434e+00;1.084762e+00;5.041082e+00;7.018173e+00;-6.997074e-01;4.465508e-01;2.456813e-02;4.980192e+00;-7.531744e-01;3.373547e-01;-1.855114e+00;-3.882246e+00;-7.915009e+00
3;0.060000;1.515906e+00;3.234289e+00;3.269255e+00;9.952234e+00;7.877973e+00;-2.050629e-01;2.010680e+00;-4.008489e+00;9.465057e+00;-2.616571e+00;-1.176592e+00;-1.321580e+00;2.613291e+00;-6.476028e+00
4;0.080000;5.144782e-01;-2.121925e+00;-3.221469e-01;8.749939e+00;2.873828e+00;-4.224712e+00;1.090580e+00;-6.310808e+00;9.580018e+00;2.633545e+00;1.023711e+00;-4.492046e+00;4.154441e+00;3.068237e-01
5;0.100000;2.171722e+00;-7.883069e+00;-2.669138e+00;9.231977e+00;-2.838771e+00;-5.606416e+00;4.501014e+00;-5.705207e+00;7.145460e+00;4.935634e+00;1.865188e+00;-5.941233e+00;3.894924e+00;4.839874e+00
6;0.120000;3.592412e+00;-1.326293e+01;-3.721991e+00;1.059524e+01;-9.112231e+00;1.745524e+00;5.308479e+00;-1.339136e+00;8.515348e+00;5.491565e+00;-4.920292e-02;-3.813569e+00;2.238263e+00;7.031502e+00
7;0.140000;3.663187e+00;-1.667502e+01;-5.924711e+00;1.051306e+01;-1.400197e+01;1.107370e+01;1.262052e+00;3.632294e+00;1.010289e+01;2.853883e+00;-7.967577e-01;-3.260983e+00;8.991709e-01;7.687401e+00
8;0.160000;1.358438e+00;-1.648326e+01;-7.617304e+00;5.485933e+00;-8.654067e+00;1.115687e+01;1.243379e+00;3.064421e+00;8.745295e+00;-6.298854e-01;-5.968894e+00;-2.900716e+00;-1.202984e+00;7.700737e+00
9;0.180000;-4.065351e-01;-1.403866e+01;-8.879792e+00;1.247626e+00;-1.164841e+00;7.231296e+00;1.359239e+00;2.407604e-01;6.489940e+00;-2.740929e+00;-1.186961e+01;-2.140424e+00;-2.248565e+00;7.058449e+00
10;0.200000;-3.648540e+00;-5.468642e+00;-1.284908e+01;3.408247e+00;-8.029222e-02;3.347548e+00;2.845288e+00;-2.877928e+00;1.094478e+01;-7.160340e+00;-5.821451e+00;-4.175788e+00;3.694332e+00;7.224136e+00
11;0.220000;-7.865208e+00;3.927633e+00;-1.441518e+01;5.641546e+00;-1.675401e+00;1.802883e+00;1.583525e+00;-1.970398e+00;1.157854e+01;-9.125204e+00;-1.915965e+00;-2.259302e+00;5.352613e+00;6.972443e+00
12;0.240000;-1.103262e+01;9.406069e+00;-1.077806e+01;7.088880e+00;-4.295068e+00;2.397198e+00;3.215016e+00;-5.306500e-01;1.325724e+01;-6.277282e+00;-4.365220e-01;-3.639193e+00;4.992203e+00;5.586937e+00
13;0.260000;-1.161236e+01;1.040801e+01;-1.163163e+01;7.394332e+00;-6.756374e+00;2.532568e+00;7.037043e+00;7.609814e-01;1.517953e+01;-1.557070e+00;3.267826e+00;-5.909286e+00;2.643990e+00;3.507118e+00
14;0.280000;-1.134633e+01;1.026763e+01;-1.355122e+01;7.415309e+00;-2.970009e+00;-2.086690e+00;1.240060e+01;6.908358e-01;1.467124e+01;-7.444360e-01;4.697528e+00;-4.070888e+00;-1.174743e-01;2.281136e+00
15;0.300000;-1.163732e+01;1.070424e+01;-9.569423e+00;3.769120e+00;4.599810e+00;-4.047906e+00;1.159369e+01;2.681959e+00;1.238270e+01;-6.069533e-01;6.583826e+00;-3.694150e+00;-1.341095e+00;2.498398e+00
16;0.320000;-8.596159e+00;1.111797e+01;-4.725683e+00;3.069193e+00;8.666689e+00;-6.038535e+00;4.881184e+00;-3.639383e+00;7.141444e+00;-8.347685e-01;6.921875e+00;-5.339605e+00;-1.629875e+00;2.398918e+00
17;0.340000;-3.134033e+00;5.868087e+00;-3.828556e+00;3.652262e+00;8.357697e+00;-3.138531e+00;4.041805e+00;-1.006602e+01;1.107662e+00;-1.229961e+00;6.667455e+00;-5.922672e+00;1.850744e+00;1.448769e+00
