frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;2.373137e+00;1.342797e-02;-5.669210e+00;4.043440e+00;-1.185867e+01;-1.533552e+01;-2.395545e+00;9.120969e+00;3.197880e+00;3.187113e-01;6.219404e-01;9.665354e+00;8.929920e-01;9.152222e-02
1;0.020000;3.125716e+00;-2.999578e+00;-6.622391e+00;1.390984e+00;-1.037354e+01;-1.670853e+01;-4.917673e+00;6.821259e+00;3.281546e+00;1.675724e+00;9.759198e-01;8.751891e+00;-1.898623e-01;2.218201e+00
2;0.040000;4.421659e+00;-5.776932e+00;-9.903648e+00;-2.749972e+00;-7.636287e+00;-1.378098e+01;-6.561162e+00;1.732808e+00;6.206045e-01;9.311295e-02;3.294078e+00;5.576950e+00;-2.355213e-01;8.460159e-01
3;0.060000;7.881638e+00;-2.910247e+00;-1.132671e+01;-4.221546e+00;-2.332923e+00;-1.308291e+00;-3.853714e+00;-3.509278e+00;-3.201886e+00;-6.004411e+00;3.608817e+00;-2.914642e+00;-4.086246e-01;-2.007133e+00
4;0.080000;1.054772e+01;1.507150e+00;-9.694286e+00;-5.469645e+00;-5.673599e-01;9.473303e+00;1.718236e+00;-3.136748e+00;-6.094507e+00;-8.370497e+00;2.629070e+00;-6.661981e+00;-2.659483e-01;-5.309479e+00
5;0.100000;1.174393e+01;2.108892e+00;-8.521788e+00;-2.199817e+00;1.229180e+00;5.757966e+00;5.173681e+00;3.704002e+00;-6.043846e+00;-2.014544e+00;2.791621e+00;-3.948768e+00;1.300669e+00;-8.374916e+00
6;0.120000;7.370434e-01;-5.730359e+00;6.553087e-01;5.374293e+00;7.400494e+00;-1.012829e+01;1.039615e+01;9.446121e+00;-2.668885e+00;4.922017e+00;-4.512372e-01;9.851118e+00;-2.318211e+00;-2.293274e+00
7;0.140000;-6.255906e+00;-1.018011e+01;-9.717693e-01;6.259379e+00;7.232122e+00;-1.145159e+01;8.082776e+00;9.689738e+00;7.018833e-01;8.178552e+00;1.202634e+00;1.304398e+01;-1.062298e-01;3.386620e+00
8;0.160000;-6.844924e+00;-8.376791e+00;9.328225e-01;7.101460e+00;7.176759e+00;-1.133852e+01;5.207713e+00;3.318480e+00;-3.876393e+00;2.801615e+00;-2.467609e+00;1.142924e+01;5.637546e-01;6.403305e+00
9;0.180000;-6.154704e+00;-4.703506e+00;4.636537e+00;5.229819e+00;2.940125e+00;-1.195819e+01;1.834492e+00;-3.612476e+00;-7.772416e+00;-6.375432e-01;-5.372660e+00;7.817515e+00;1.089026e+00;6.357338e+00
10;0.200000;-4.738531e+00;-6.381135e-01;9.720852e+00;-4.643273e-02;-6.546498e+00;-8.938975e+00;2.944993e+00;-7.819718e+00;-1.019595e+01;-3.771639e-02;-3.503153e+00;1.335572e+00;-1.271439e-02;4.314621e+00
11;0.220000;-2.811364e+00;2.807579e-01;1.368851e+01;-2.072338e+00;-1.299212e+01;-5.203609e+00;6.396788e+00;-5.822994e+00;-1.238304e+01;-4.402154e+00;-2.283542e-01;-5.964341e+00;-3.334841e+00;2.070572e+00
12;0.240000;-2.430977e+00;1.421922e+00;1.761077e+01;-1.533519e+00;-9.354655e+00;-2.883643e+00;8.608490e+00;-5.357742e-01;-9.675490e+00;-6.331813e+00;1.791329e+00;-5.486540e+00;-1.871809e+00;5.459137e-01
13;0.260000;-4.964989e+00;3.085203e+00;2.055462e+01;-5.207243e+00;-3.778937e+00;-2.992095e+00;9.773470e+00;-1.482849e-01;-8.292954e+00;-6.657947e+00;2.936141e+00;-4.793641e+00;-3.712369e+00;8.296967e-02
14;0.280000;-7.359540e+00;2.188986e+00;2.108816e+01;-7.093700e+00;-3.416646e+00;-4.983795e+00;9.480002e+00;-3.796932e+00;-1.034470e+01;-5.998060e+00;3.406204e+00;-5.656363e+00;-5.593738e+00;6.273651e-01
15;0.300000;-6.606204e+00;-1.902548e+00;1.741799e+01;-5.178541e+00;-4.842744e+00;-7.767499e+00;9.293081e+00;-1.712022e+00;-8.821851e+00;-2.205674e+00;2.244833e+00;-4.306258e+00;-5.077013e+00;2.168297e+00
16;0.320000;-4.146384e+00;-6.361211e+00;1.082189e+01;-1.730685e+00;-3.556430e+00;-1.146425e+01;6.668254e+00;-2.002068e-01;-5.574144e+00;4.000895e+00;-5.725608e-01;-2.387923e+00;-2.620170e+00;2.502449e+00
17;0.340000;4.606085e-01;-7.297987e+00;3.159279e+00;-2.970998e-01;-1.328011e-01;-1.030516e+01;1.523374e+00;-7.769785e-01;-6.262295e+00;8.263244e+00;-2.166249e+00;-2.973336e+00;-3.617405e+00;1.455627e+00
18;0.360000;3.872555e+00;-4.009083e+00;-3.350537e-01;-2.282492e+00;8.259258e-01;-2.490952e+00;-6.745051e+00;-3.742393e+00;-3.398694e+00;8.293316e+00;-1.950974e+00;-7.610862e+00;-3.615599e+00;2.903366e-01
19;0.380000;5.708308e+00;-1.273010e+00;1.289904e+00;-1.481167e-01;-8.275080e-01;1.362309e+00;-5.056899e+00;-8.731740e+00;-1.239667e+00;1.064946e+01;-1.116686e+00;-9.018691e+00;-1.956175e+00;-8.300323e-01
20;0.400000;5.888249e+00;2.742679e-01;3.299263e+00;4.106879e+00;4.474525e-01;-5.150311e+00;6.627570e+00;-1.333894e+01;-4.128992e+00;1.358791e+01;-4.474800e+00;-6.636084e+00;-1.333087e+00;-2.740822e+00
21;0.420000;4.435710e+00;1.680559e+00;4.877232e+00;7.708979e+00;2.630898e+00;-9.421315e+00;1.527069e+01;-1.226602e+01;-4.517296e+00;1.391732e+01;-1.073149e+01;-4.398044e+00;-3.124629e+00;-4.881302e+00
22;0.440000;3.539389e+00;-9.191566e-01;4.992633e+00;4.026308e+00;-2.731400e+00;-6.341910e+00;3.473321e+00;-9.909207e+00;-9.046993e-01;6.953617e+00;-1.243365e+01;2.570701e-02;-7.744723e+00;-2.022758e+00
23;0.460000;3.933405e+00;-3.192467e+00;2.571590e+00;1.259466e+00;-5.428735e+00;-1.132298e-01;-3.608226e+00;-6.960631e+00;-1.407915e+00;5.631945e+00;-7.293148e+00;2.075910e+00;-6.529907e+00;4.676208e-01
24;0.480000;4.713291e+00;-4.305850e+00;-8.159339e-01;-1.973762e+00;-6.834207e+00;4.446727e+00;-5.916831e+00;-2.813032e+00;-3.289556e+00;6.434262e+00;-2.398552e+00;4.030494e+00;-2.838064e+00;-1.446381e-01
25;0.500000;6.581182e+00;-2.542529e+00;-3.607323e+00;-6.029523e+00;-7.315259e+00;7.686197e+00;-1.710588e+00;7.513275e-01;-6.131556e+00;8.710831e+00;-3.109098e+00;3.994714e+00;2.541022e+00;-2.575630e+00
26;0.520000;8.429671e+00;-1.495246e+00;-3.956173e+00;-2.893586e+00;-8.476327e+00;4.249061e+00;3.642342e+00;-3.285043e+00;-4.715200e+00;9.720892e+00;-1.013060e+01;-4.991727e-01;5.870716e+00;-3.448547e+00
27;0.540000;8.506574e+00;-1.582726e+00;-3.745072e+00;4.336571e+00;-8.639123e+00;1.383791e+00;5.239326e+00;-9.161065e+00;-2.460284e+00;1.071807e+01;-1.414636e+01;-4.783617e+00;4.030621e+00;-4.494423e+00
28;0.560000;6.704766e+00;-9.311152e-02;-2.844266e+00;7.148635e+00;-1.926116e+00;5.580571e+00;4.499334e+00;-7.709559e+00;-5.628007e+00;9.192491e+00;-1.177568e+01;-7.085661e+00;2.650690e+00;-4.436516e+00
29;0.580000;6.364352e+00;-5.582786e-02;-5.588848e+00;1.215888e-01;2.050954e+00;5.799597e+00;-8.234968e-01;-7.969821e+00;-7.126954e+00;6.558475e+00;-4.935604e+00;-3.157777e+00;-3.870599e+00;-1.529152e+00
30;0.600000;6.494260e+00;-2.474362e+00;-3.985771e+00;-2.647435e+00;-1.362548e+00;4.636165e+00;4.593534e-01;-1.161775e+01;-3.738564e+00;7.824759e+00;-1.471656e+00;6.123543e-03;-5.602438e+00;1.276657e+00
31;0.620000;6.652049e+00;-5.886693e+00;-1.015799e-01;-5.612248e-01;-5.015620e+00;3.082156e+00;-1.017081e+00;-1.258574e+01;1.840225e+00;5.550845e+00;-3.337955e+00;1.541427e+00;-3.667520e+00;2.056671e+00
32;0.640000;6.439031e+00;-8.690287e+00;5.464847e+00;6.537286e-01;-5.213170e+00;4.939371e+00;-7.744666e+00;-4.734469e+00;6.389729e+00;-1.205873e+00;-1.917892e+00;-4.993491e-01;1.272724e+00;2.359398e+00
